,Report_Date,Botswana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,92.90897179464135,17.76664119195803,False,1,0.016652117212809656,0.15462241763255108
1,2020-01-23,0,92.90897179464135,17.76664119195803,False,2,0.018099724648512103,0.15462241763255108
2,2020-01-24,0,92.90897179464135,17.76664119195803,False,3,0.01967310627257582,0.15462241763255108
3,2020-01-25,0,92.90897179464135,17.76664119195803,False,4,0.02138317722768615,0.15462241763255108
4,2020-01-26,0,92.90897179464135,17.76664119195803,False,5,0.023241797618857793,0.15462241763255108
5,2020-01-27,0,92.90897179464135,17.76664119195803,False,6,0.025261853906083785,0.15462241763255108
6,2020-01-28,0,92.90897179464135,17.76664119195803,False,7,0.027457347232056107,0.15462241763255108
7,2020-01-29,0,92.90897179464135,17.76664119195803,False,8,0.029843489262111094,0.15462241763255108
8,2020-01-30,0,92.90897179464135,17.76664119195803,False,9,0.03243680615906466,0.15462241763255108
9,2020-01-31,0,92.90897179464135,17.76664119195803,False,10,0.03525525136423267,0.15462241763255108
10,2020-02-01,0,92.90897179464135,17.76664119195803,False,11,0.03831832790780204,0.15462241763255108
11,2020-02-02,0,92.90897179464135,17.76664119195803,False,12,0.041647221026936326,0.15462241763255108
12,2020-02-03,0,92.90897179464135,17.76664119195803,False,13,0.045264941928648,0.15462241763255108
13,2020-02-04,0,92.90897179464135,17.76664119195803,False,14,0.04919648359660642,0.15462241763255108
14,2020-02-05,0,92.90897179464135,17.76664119195803,False,15,0.05346898960669381,0.15462241763255108
15,2020-02-06,0,92.90897179464135,17.76664119195803,False,16,0.058111936985241704,0.15462241763255108
16,2020-02-07,0,92.90897179464135,17.76664119195803,False,17,0.0631573342163904,0.15462241763255108
17,2020-02-08,0,92.90897179464135,17.76664119195803,False,18,0.06863993558074734,0.15462241763255108
18,2020-02-09,0,92.90897179464135,17.76664119195803,False,19,0.07459747308622347,0.15462241763255108
19,2020-02-10,0,92.90897179464135,17.76664119195803,False,20,0.08107090733322747,0.15462241763255108
20,2020-02-11,0,92.90897179464135,17.76664119195803,False,21,0.08810469873978868,0.15462241763255108
