,Report_Date,Sri Lanka_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,109.59038981746882,839.9694531421649,True,1,1.288065729640379,1456.859266214918
1,2020-01-23,0,0,109.59038981746882,839.9694531421649,True,2,1.3759456337842229,1456.859266214918
2,2020-01-24,0,0,109.59038981746882,839.9694531421649,True,3,1.4698160050853553,1456.859266214918
3,2020-01-25,0,0,109.59038981746882,839.9694531421649,True,4,1.5700844521573185,1456.859266214918
4,2020-01-26,0,0,109.59038981746882,839.9694531421649,True,5,1.6771862139885574,1456.859266214918
5,2020-01-27,1,1,109.59038981746882,839.9694531421649,True,6,1.7915860181658219,1456.859266214918
6,2020-01-28,1,1,109.59038981746882,839.9694531421649,True,7,1.9137800619851848,1456.859266214918
7,2020-01-29,1,1,109.59038981746882,839.9694531421649,True,8,2.0442981242818257,1456.859266214918
8,2020-01-30,1,1,109.59038981746882,839.9694531421649,True,9,2.183705816266368,1456.859266214918
9,2020-01-31,1,1,109.59038981746882,839.9694531421649,True,10,2.332606980132548,1456.859266214918
10,2020-02-01,1,1,109.59038981746882,839.9694531421649,True,11,2.49164624469826,1456.859266214918
11,2020-02-02,1,1,109.59038981746882,839.9694531421649,True,12,2.661511747859248,1456.859266214918
12,2020-02-03,1,1,109.59038981746882,839.9694531421649,True,13,2.8429380361713896,1456.859266214918
13,2020-02-04,1,1,109.59038981746882,839.9694531421649,True,14,3.0367091524327874,1456.859266214918
14,2020-02-05,1,1,109.59038981746882,839.9694531421649,True,15,3.2436619227095336,1456.859266214918
15,2020-02-06,1,1,109.59038981746882,839.9694531421649,True,16,3.464689454837571,1456.859266214918
16,2020-02-07,1,1,109.59038981746882,839.9694531421649,True,17,3.7007448610353313,1456.859266214918
17,2020-02-08,1,0,109.59038981746882,839.9694531421649,True,18,3.952845217875314,1456.859266214918
18,2020-02-09,1,0,109.59038981746882,839.9694531421649,True,19,4.22207577748414,1456.859266214918
19,2020-02-10,1,0,109.59038981746882,839.9694531421649,True,20,4.50959444446596,1456.859266214918
20,2020-02-11,1,0,109.59038981746882,839.9694531421649,True,21,4.816636533668441,1456.859266214918
21,2020-02-12,1,0,109.59038981746882,839.9694531421649,True,22,5.144519824528297,1456.859266214918
22,2020-02-13,1,0,109.59038981746882,839.9694531421649,True,23,5.494649928337203,1456.859266214918
23,2020-02-14,1,0,109.59038981746882,839.9694531421649,True,24,5.868525985350997,1456.859266214918
24,2020-02-15,1,0,109.59038981746882,839.9694531421649,True,25,6.267746709215429,1456.859266214918
25,2020-02-16,1,0,109.59038981746882,839.9694531421649,True,26,6.694016796688904,1456.859266214918
26,2020-02-17,1,0,109.59038981746882,839.9694531421649,True,27,7.149153721093645,1456.859266214918
27,2020-02-18,1,0,109.59038981746882,839.9694531421649,True,28,7.635094928305781,1456.859266214918
28,2020-02-19,1,0,109.59038981746882,839.9694531421649,True,29,8.153905454384137,1456.859266214918
29,2020-02-20,1,0,109.59038981746882,839.9694531421649,True,30,8.707785984116624,1456.859266214918
30,2020-02-21,1,0,109.59038981746882,839.9694531421649,True,31,9.299081369808087,1456.859266214918
31,2020-02-22,1,0,109.59038981746882,839.9694531421649,True,32,9.930289629517272,1456.859266214918
32,2020-02-23,1,0,109.59038981746882,839.9694531421649,True,33,10.60407144364227,1456.859266214918
33,2020-02-24,1,0,109.59038981746882,839.9694531421649,True,34,11.323260168218077,1456.859266214918
34,2020-02-25,1,0,109.59038981746882,839.9694531421649,True,35,12.09087238248689,1456.859266214918
35,2020-02-26,1,0,109.59038981746882,839.9694531421649,True,36,12.910118987186065,1456.859266214918
36,2020-02-27,1,0,109.59038981746882,839.9694531421649,True,37,13.784416868519882,1456.859266214918
37,2020-02-28,1,0,109.59038981746882,839.9694531421649,True,38,14.717401140881243,1456.859266214918
38,2020-02-29,1,0,109.59038981746882,839.9694531421649,True,39,15.712937979005645,1456.859266214918
39,2020-03-01,1,0,109.59038981746882,839.9694531421649,True,40,16.77513804729936,1456.859266214918
40,2020-03-02,1,0,109.59038981746882,839.9694531421649,True,41,17.908370530508524,1456.859266214918
41,2020-03-03,1,0,109.59038981746882,839.9694531421649,True,42,19.11727776559791,1456.859266214918
42,2020-03-04,1,0,109.59038981746882,839.9694531421649,True,43,20.4067904695905,1456.859266214918
43,2020-03-05,1,0,109.59038981746882,839.9694531421649,True,44,21.782143552076853,1456.859266214918
44,2020-03-06,1,0,109.59038981746882,839.9694531421649,True,45,23.248892494020158,1456.859266214918
45,2020-03-07,1,0,109.59038981746882,839.9694531421649,True,46,24.812930266235057,1456.859266214918
46,2020-03-08,1,0,109.59038981746882,839.9694531421649,True,47,26.480504751370404,1456.859266214918
47,2020-03-09,1,0,109.59038981746882,839.9694531421649,True,48,28.25823662223549,1456.859266214918
48,2020-03-10,1,0,109.59038981746882,839.9694531421649,True,49,30.153137616722578,1456.859266214918
49,2020-03-11,2,1,109.59038981746882,839.9694531421649,True,50,32.17262913523852,1456.859266214918
50,2020-03-12,2,1,109.59038981746882,839.9694531421649,True,51,34.32456107029811,1456.859266214918
51,2020-03-13,6,5,109.59038981746882,839.9694531421649,True,52,36.617230759585,1456.859266214918
52,2020-03-14,10,9,109.59038981746882,839.9694531421649,True,53,39.059401933184546,1456.859266214918
53,2020-03-15,18,17,109.59038981746882,839.9694531421649,True,54,41.66032350267215,1456.859266214918
54,2020-03-16,28,27,109.59038981746882,839.9694531421649,True,55,44.429748014148416,1456.859266214918
55,2020-03-17,44,43,109.59038981746882,839.9694531421649,True,56,47.37794955900826,1456.859266214918
56,2020-03-18,51,50,109.59038981746882,839.9694531421649,True,57,50.515740905103435,1456.859266214918
57,2020-03-19,60,57,109.59038981746882,839.9694531421649,True,58,53.85448957692517,1456.859266214918
58,2020-03-20,73,70,109.59038981746882,839.9694531421649,True,59,57.406132576463385,1456.859266214918
59,2020-03-21,77,76,109.59038981746882,839.9694531421649,True,60,61.18318939651525,1456.859266214918
60,2020-03-22,82,79,109.59038981746882,839.9694531421649,True,61,65.1987729355226,1456.859266214918
61,2020-03-23,97,94,109.59038981746882,839.9694531421649,True,62,69.46659787770892,1456.859266214918
62,2020-03-24,102,100,109.59038981746882,839.9694531421649,True,63,74.00098605467561,1456.859266214918
63,2020-03-25,102,99,109.59038981746882,839.9694531421649,True,64,78.81686825515455,1456.859266214918
64,2020-03-26,106,99,109.59038981746882,839.9694531421649,True,65,83.9297818989136,1456.859266214918
65,2020-03-27,106,99,109.59038981746882,839.9694531421649,True,66,89.35586393968599,1456.859266214918
66,2020-03-28,113,103,109.59038981746882,839.9694531421649,True,67,95.11183831146606,1456.859266214918
67,2020-03-29,117,105,109.59038981746882,839.9694531421649,True,68,101.21499718386882,1456.859266214918
68,2020-03-30,122,105,109.59038981746882,839.9694531421649,True,69,107.68317524704499,1456.859266214918
69,2020-03-31,143,124,109.59038981746882,839.9694531421649,True,70,114.53471620673696,1456.859266214918
70,2020-04-01,146,122,109.59038981746882,839.9694531421649,True,71,121.78843063765311,1456.859266214918
71,2020-04-02,151,126,109.59038981746882,839.9694531421649,True,72,129.46354432094756,1456.859266214918
72,2020-04-03,159,131,109.59038981746882,839.9694531421649,True,73,137.57963618210124,1456.859266214918
73,2020-04-04,166,134,109.59038981746882,839.9694531421649,True,74,146.1565649521194,1456.859266214918
74,2020-04-05,176,138,109.59038981746882,839.9694531421649,True,75,155.2143837011934,1456.859266214918
75,2020-04-06,178,135,109.59038981746882,839.9694531421649,True,76,164.77324144360836,1456.859266214918
76,2020-04-07,185,137,109.59038981746882,839.9694531421649,True,77,174.8532710896406,1456.859266214918
77,2020-04-08,189,138,109.59038981746882,839.9694531421649,True,78,185.47446312850477,1456.859266214918
78,2020-04-09,190,134,109.59038981746882,839.9694531421649,True,79,196.6565245700044,1456.859266214918
79,2020-04-10,190,129,109.59038981746882,839.9694531421649,True,80,208.4187228550622,1456.859266214918
80,2020-04-11,198,137,109.59038981746882,839.9694531421649,True,81,220.7797146699323,1456.859266214918
81,2020-04-12,210,147,109.59038981746882,839.9694531421649,True,82,233.7573598679979,1456.859266214918
