,Report_Date,China_tianjin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,17.501319653617536,78.12342248853912,True,1,15.818239241873876,156.24134825644794
1,2020-01-23,4,17.501319653617536,78.12342248853912,True,2,17.801220019992318,156.24134825644794
2,2020-01-24,8,17.501319653617536,78.12342248853912,True,3,19.997388604428327,156.24134825644794
3,2020-01-25,10,17.501319653617536,78.12342248853912,True,4,22.420624138418464,156.24134825644794
4,2020-01-26,14,17.501319653617536,78.12342248853912,True,5,25.08344224693834,156.24134825644794
5,2020-01-27,23,17.501319653617536,78.12342248853912,True,6,27.99635381932935,156.24134825644794
6,2020-01-28,24,17.501319653617536,78.12342248853912,True,7,31.16715775586318,156.24134825644794
7,2020-01-29,27,17.501319653617536,78.12342248853912,True,8,34.60019474058307,156.24134825644794
8,2020-01-30,31,17.501319653617536,78.12342248853912,True,9,38.29560105954395,156.24134825644794
9,2020-01-31,32,17.501319653617536,78.12342248853912,True,10,42.24861307524387,156.24134825644794
10,2020-02-01,41,17.501319653617536,78.12342248853912,True,11,46.44898233401668,156.24134825644794
11,2020-02-02,48,17.501319653617536,78.12342248853912,True,12,50.88056621686849,156.24134825644794
12,2020-02-03,60,17.501319653617536,78.12342248853912,True,13,55.521157342604695,156.24134825644794
13,2020-02-04,67,17.501319653617536,78.12342248853912,True,14,60.34260490184738,156.24134825644794
14,2020-02-05,69,17.501319653617536,78.12342248853912,True,15,65.31126213294957,156.24134825644794
15,2020-02-06,79,17.501319653617536,78.12342248853912,True,16,70.38876720867624,156.24134825644794
16,2020-02-07,81,17.501319653617536,78.12342248853912,True,17,75.53313262965726,156.24134825644794
17,2020-02-08,88,17.501319653617536,78.12342248853912,True,18,80.70008511657863,156.24134825644794
18,2020-02-09,91,17.501319653617536,78.12342248853912,True,19,85.84456910727421,156.24134825644794
19,2020-02-10,95,17.501319653617536,78.12342248853912,True,20,90.92230722917763,156.24134825644794
20,2020-02-11,106,17.501319653617536,78.12342248853912,True,21,95.89130409324025,156.24134825644794
21,2020-02-12,112,17.501319653617536,78.12342248853912,True,22,100.71318674337888,156.24134825644794
22,2020-02-13,119,17.501319653617536,78.12342248853912,True,23,105.35429480151859,156.24134825644794
23,2020-02-14,120,17.501319653617536,78.12342248853912,True,24,109.78646221608672,156.24134825644794
24,2020-02-15,122,17.501319653617536,78.12342248853912,True,25,113.98746562165539,156.24134825644794
25,2020-02-16,124,17.501319653617536,78.12342248853912,True,26,117.94114649898265,156.24134825644794
26,2020-02-17,125,17.501319653617536,78.12342248853912,True,27,121.63724128503138,156.24134825644794
27,2020-02-18,128,17.501319653617536,78.12342248853912,True,28,125.07097257322346,156.24134825644794
28,2020-02-19,130,17.501319653617536,78.12342248853912,True,29,128.24246459782125,156.24134825644794
29,2020-02-20,131,17.501319653617536,78.12342248853912,True,30,131.15604791806766,156.24134825644794
30,2020-02-21,132,17.501319653617536,78.12342248853912,True,31,133.8195132987186,156.24134825644794
31,2020-02-22,135,17.501319653617536,78.12342248853912,True,32,136.24336542632628,156.24134825644794
32,2020-02-23,135,17.501319653617536,78.12342248853912,True,33,138.44011551218327,156.24134825644794
33,2020-02-24,135,17.501319653617536,78.12342248853912,True,34,140.42363987500485,156.24134825644794
34,2020-02-25,135,17.501319653617536,78.12342248853912,True,35,142.20862061272786,156.24134825644794
35,2020-02-26,135,17.501319653617536,78.12342248853912,True,36,143.8100752643053,156.24134825644794
36,2020-02-27,136,17.501319653617536,78.12342248853912,True,37,145.24297526187465,156.24134825644794
37,2020-02-28,136,17.501319653617536,78.12342248853912,True,38,146.5219479666475,156.24134825644794
38,2020-02-29,136,17.501319653617536,78.12342248853912,True,39,147.66105393427685,156.24134825644794
39,2020-03-01,136,17.501319653617536,78.12342248853912,True,40,148.67362942387916,156.24134825644794
40,2020-03-02,136,17.501319653617536,78.12342248853912,True,41,149.57218367830166,156.24134825644794
41,2020-03-03,136,17.501319653617536,78.12342248853912,True,42,150.36834081561983,156.24134825644794
42,2020-03-04,136,17.501319653617536,78.12342248853912,True,43,151.0728169902197,156.24134825644794
43,2020-03-05,136,17.501319653617536,78.12342248853912,True,44,151.69542457610086,156.24134825644794
44,2020-03-06,136,17.501319653617536,78.12342248853912,True,45,152.24509632653604,156.24134825644794
45,2020-03-07,136,17.501319653617536,78.12342248853912,True,46,152.72992365768948,156.24134825644794
46,2020-03-08,136,17.501319653617536,78.12342248853912,True,47,153.15720431704264,156.24134825644794
47,2020-03-09,136,17.501319653617536,78.12342248853912,True,48,153.53349569077932,156.24134825644794
48,2020-03-10,136,17.501319653617536,78.12342248853912,True,49,153.8646708610078,156.24134825644794
49,2020-03-11,136,17.501319653617536,78.12342248853912,True,50,154.1559752425814,156.24134825644794
50,2020-03-12,136,17.501319653617536,78.12342248853912,True,51,154.41208221850874,156.24134825644794
51,2020-03-13,136,17.501319653617536,78.12342248853912,True,52,154.6371466658643,156.24134825644794
52,2020-03-14,136,17.501319653617536,78.12342248853912,True,53,154.8348556362485,156.24134825644794
53,2020-03-15,136,17.501319653617536,78.12342248853912,True,54,155.0084757419955,156.24134825644794
54,2020-03-16,136,17.501319653617536,78.12342248853912,True,55,155.16089701638043,156.24134825644794
55,2020-03-17,136,17.501319653617536,78.12342248853912,True,56,155.29467317642064,156.24134825644794
56,2020-03-18,136,17.501319653617536,78.12342248853912,True,57,155.41205833209708,156.24134825644794
