,Report_Date,China_hubei_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,444,19.696922943898887,33878.34719874784,True,1,833.1637989059411,67756.68973678288
1,2020-01-23,444,19.696922943898887,33878.34719874784,True,2,1050.0285299310171,67756.68973678288
2,2020-01-24,549,19.696922943898887,33878.34719874784,True,3,1322.2258634292932,67756.68973678288
3,2020-01-25,761,19.696922943898887,33878.34719874784,True,4,1663.2251720745655,67756.68973678288
4,2020-01-26,1058,19.696922943898887,33878.34719874784,True,5,2089.401637796165,67756.68973678288
5,2020-01-27,1423,19.696922943898887,33878.34719874784,True,6,2620.4498467803937,67756.68973678288
6,2020-01-28,3554,19.696922943898887,33878.34719874784,True,7,3279.7296012428938,67756.68973678288
7,2020-01-29,3554,19.696922943898887,33878.34719874784,True,8,4094.451291019635,67756.68973678288
8,2020-01-30,4903,19.696922943898887,33878.34719874784,True,9,5095.564593496984,67756.68973678288
9,2020-01-31,5806,19.696922943898887,33878.34719874784,True,10,6317.165897202381,67756.68973678288
10,2020-02-01,7153,19.696922943898887,33878.34719874784,True,11,7795.198597302681,67756.68973678288
11,2020-02-02,11177,19.696922943898887,33878.34719874784,True,12,9565.209437380689,67756.68973678288
12,2020-02-03,13522,19.696922943898887,33878.34719874784,True,13,11658.979364578085,67756.68973678288
13,2020-02-04,16678,19.696922943898887,33878.34719874784,True,14,14100.01235824369,67756.68973678288
14,2020-02-05,19665,19.696922943898887,33878.34719874784,True,15,16898.17227711491,67756.68973678288
15,2020-02-06,22112,19.696922943898887,33878.34719874784,True,16,20044.190568552673,67756.68973678288
16,2020-02-07,24953,19.696922943898887,33878.34719874784,True,17,23505.222056019753,67756.68973678288
17,2020-02-08,27100,19.696922943898887,33878.34719874784,True,18,27222.893380903683,67756.68973678288
18,2020-02-09,29631,19.696922943898887,33878.34719874784,True,19,31115.116693053358,67756.68973678288
19,2020-02-10,31728,19.696922943898887,33878.34719874784,True,20,35082.18608493846,67756.68973678288
20,2020-02-11,33366,19.696922943898887,33878.34719874784,True,21,39016.47324574061,67756.68973678288
21,2020-02-12,33366,19.696922943898887,33878.34719874784,True,22,42813.84698251718,67756.68973678288
22,2020-02-13,48206,19.696922943898887,33878.34719874784,True,23,46384.324034538666,67756.68973678288
23,2020-02-14,54406,19.696922943898887,33878.34719874784,True,24,49659.737218684524,67756.68973678288
24,2020-02-15,56249,19.696922943898887,33878.34719874784,True,25,52597.23435469861,67756.68973678288
25,2020-02-16,58182,19.696922943898887,33878.34719874784,True,26,55178.6864777984,67756.68973678288
26,2020-02-17,59989,19.696922943898887,33878.34719874784,True,27,57407.05020121826,67756.68973678288
27,2020-02-18,61682,19.696922943898887,33878.34719874784,True,28,59301.12594912928,67756.68973678288
28,2020-02-19,62031,19.696922943898887,33878.34719874784,True,29,60890.03116274936,67756.68973678288
29,2020-02-20,62442,19.696922943898887,33878.34719874784,True,30,62208.29714779223,67756.68973678288
30,2020-02-21,62662,19.696922943898887,33878.34719874784,True,31,63292.03842531057,67756.68973678288
