,Report_Date,Lesotho_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,86.96340827896739,6.610399225627689e-06,True,1,3.134254802683668e-10,1.2975635405732945e-05
1,2020-01-23,0,86.96340827896739,6.610399225627689e-06,True,2,3.5476128505015466e-10,1.2975635405732945e-05
2,2020-01-24,0,86.96340827896739,6.610399225627689e-06,True,3,4.0154845536343076e-10,1.2975635405732945e-05
3,2020-01-25,0,86.96340827896739,6.610399225627689e-06,True,4,4.545058706869325e-10,1.2975635405732945e-05
4,2020-01-26,0,86.96340827896739,6.610399225627689e-06,True,5,5.144471970897858e-10,1.2975635405732945e-05
5,2020-01-27,0,86.96340827896739,6.610399225627689e-06,True,6,5.822933814707318e-10,1.2975635405732945e-05
6,2020-01-28,0,86.96340827896739,6.610399225627689e-06,True,7,6.59086791683502e-10,1.2975635405732945e-05
7,2020-01-29,0,86.96340827896739,6.610399225627689e-06,True,8,7.460072190725929e-10,1.2975635405732945e-05
8,2020-01-30,0,86.96340827896739,6.610399225627689e-06,True,9,8.443899883466437e-10,1.2975635405732945e-05
9,2020-01-31,0,86.96340827896739,6.610399225627689e-06,True,10,9.557464518223375e-10,1.2975635405732945e-05
10,2020-02-01,0,86.96340827896739,6.610399225627689e-06,True,11,1.0817871813564346e-09,1.2975635405732945e-05
11,2020-02-02,0,86.96340827896739,6.610399225627689e-06,True,12,1.2244482122827967e-09,1.2975635405732945e-05
12,2020-02-03,0,86.96340827896739,6.610399225627689e-06,True,13,1.3859207399869912e-09,1.2975635405732945e-05
13,2020-02-04,0,86.96340827896739,6.610399225627689e-06,True,14,1.5686847220589309e-09,1.2975635405732945e-05
14,2020-02-05,0,86.96340827896739,6.610399225627689e-06,True,15,1.775546898021668e-09,1.2975635405732945e-05
15,2020-02-06,0,86.96340827896739,6.610399225627689e-06,True,16,2.0096838052903742e-09,1.2975635405732945e-05
16,2020-02-07,0,86.96340827896739,6.610399225627689e-06,True,17,2.2746904452183024e-09,1.2975635405732945e-05
17,2020-02-08,0,86.96340827896739,6.610399225627689e-06,True,18,2.574635337894953e-09,1.2975635405732945e-05
18,2020-02-09,0,86.96340827896739,6.610399225627689e-06,True,19,2.914122799954986e-09,1.2975635405732945e-05
19,2020-02-10,0,86.96340827896739,6.610399225627689e-06,True,20,3.298363387344952e-09,1.2975635405732945e-05
20,2020-02-11,0,86.96340827896739,6.610399225627689e-06,True,21,3.7332535662304475e-09,1.2975635405732945e-05
21,2020-02-12,0,86.96340827896739,6.610399225627689e-06,True,22,4.2254658116121296e-09,1.2975635405732945e-05
22,2020-02-13,0,86.96340827896739,6.610399225627689e-06,True,23,4.782550486518619e-09,1.2975635405732945e-05
23,2020-02-14,0,86.96340827896739,6.610399225627689e-06,True,24,5.4130510267885005e-09,1.2975635405732945e-05
24,2020-02-15,0,86.96340827896739,6.610399225627689e-06,True,25,6.1266341495445064e-09,1.2975635405732945e-05
25,2020-02-16,0,86.96340827896739,6.610399225627689e-06,True,26,6.9342370197730665e-09,1.2975635405732945e-05
26,2020-02-17,0,86.96340827896739,6.610399225627689e-06,True,27,7.848233551388546e-09,1.2975635405732945e-05
27,2020-02-18,0,86.96340827896739,6.610399225627689e-06,True,28,8.882622289368351e-09,1.2975635405732945e-05
28,2020-02-19,0,86.96340827896739,6.610399225627689e-06,True,29,1.0053238620697499e-08,1.2975635405732945e-05
29,2020-02-20,0,86.96340827896739,6.610399225627689e-06,True,30,1.1377994396740147e-08,1.2975635405732945e-05
30,2020-02-21,0,86.96340827896739,6.610399225627689e-06,True,31,1.287714842105057e-08,1.2975635405732945e-05
31,2020-02-22,0,86.96340827896739,6.610399225627689e-06,True,32,1.4573611667250724e-08,1.2975635405732945e-05
32,2020-02-23,0,86.96340827896739,6.610399225627689e-06,True,33,1.6493291543919406e-08,1.2975635405732945e-05
33,2020-02-24,0,86.96340827896739,6.610399225627689e-06,True,34,1.8665480019537867e-08,1.2975635405732945e-05
34,2020-02-25,0,86.96340827896739,6.610399225627689e-06,True,35,2.1123290961846992e-08,1.2975635405732945e-05
35,2020-02-26,0,86.96340827896739,6.610399225627689e-06,True,36,2.3904152632936564e-08,1.2975635405732945e-05
36,2020-02-27,0,86.96340827896739,6.610399225627689e-06,True,37,2.705036191303639e-08,1.2975635405732945e-05
37,2020-02-28,0,86.96340827896739,6.610399225627689e-06,True,38,3.0609707499351734e-08,1.2975635405732945e-05
38,2020-02-29,0,86.96340827896739,6.610399225627689e-06,True,39,3.463617003569857e-08,1.2975635405732945e-05
39,2020-03-01,0,86.96340827896739,6.610399225627689e-06,True,40,3.9190707864792786e-08,1.2975635405732945e-05
40,2020-03-02,0,86.96340827896739,6.610399225627689e-06,True,41,4.434213784359465e-08,1.2975635405732945e-05
