,Report_Date,Lesotho_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
41,2020-03-03,0,86.96340827896739,6.610399225627689e-06,True,42,5.0168121402463045e-08,1.2975635405732945e-05
42,2020-03-04,0,86.96340827896739,6.610399225627689e-06,True,43,5.6756266732061044e-08,1.2975635405732945e-05
43,2020-03-05,0,86.96340827896739,6.610399225627689e-06,True,44,6.420535860828694e-08,1.2975635405732945e-05
44,2020-03-06,0,86.96340827896739,6.610399225627689e-06,True,45,7.262672786163498e-08,1.2975635405732945e-05
45,2020-03-07,0,86.96340827896739,6.610399225627689e-06,True,46,8.214577279271294e-08,1.2975635405732945e-05
46,2020-03-08,0,86.96340827896739,6.610399225627689e-06,True,47,9.29036448379805e-08,1.2975635405732945e-05
47,2020-03-09,0,86.96340827896739,6.610399225627689e-06,True,48,1.0505911038020903e-07,1.2975635405732945e-05
48,2020-03-10,0,86.96340827896739,6.610399225627689e-06,True,49,1.1879059962509385e-07,1.2975635405732945e-05
49,2020-03-11,0,86.96340827896739,6.610399225627689e-06,True,50,1.3429845173771927e-07,1.2975635405732945e-05
50,2020-03-12,0,86.96340827896739,6.610399225627689e-06,True,51,1.518073627119866e-07,1.2975635405732945e-05
51,2020-03-13,0,86.96340827896739,6.610399225627689e-06,True,52,1.7156903843946044e-07,1.2975635405732945e-05
52,2020-03-14,0,86.96340827896739,6.610399225627689e-06,True,53,1.9386504979535201e-07,1.2975635405732945e-05
53,2020-03-15,0,86.96340827896739,6.610399225627689e-06,True,54,2.1900987884290446e-07,1.2975635405732945e-05
54,2020-03-16,0,86.96340827896739,6.610399225627689e-06,True,55,2.4735413497366984e-07,1.2975635405732945e-05
55,2020-03-17,0,86.96340827896739,6.610399225627689e-06,True,56,2.792879063766949e-07,1.2975635405732945e-05
56,2020-03-18,0,86.96340827896739,6.610399225627689e-06,True,57,3.152441950250632e-07,1.2975635405732945e-05
57,2020-03-19,0,86.96340827896739,6.610399225627689e-06,True,58,3.557023616977522e-07,1.2975635405732945e-05
58,2020-03-20,0,86.96340827896739,6.610399225627689e-06,True,59,4.01191480723e-07,1.2975635405732945e-05
59,2020-03-21,0,86.96340827896739,6.610399225627689e-06,True,60,4.522934714929294e-07,1.2975635405732945e-05
60,2020-03-22,0,86.96340827896739,6.610399225627689e-06,True,61,5.096458348612783e-07,1.2975635405732945e-05
61,2020-03-23,0,86.96340827896739,6.610399225627689e-06,True,62,5.739437770843862e-07,1.2975635405732945e-05
62,2020-03-24,0,86.96340827896739,6.610399225627689e-06,True,63,6.459414522631787e-07,1.2975635405732945e-05
63,2020-03-25,0,86.96340827896739,6.610399225627689e-06,True,64,7.26451997281876e-07,1.2975635405732945e-05
64,2020-03-26,0,86.96340827896739,6.610399225627689e-06,True,65,8.163459730545611e-07,1.2975635405732945e-05
65,2020-03-27,0,86.96340827896739,6.610399225627689e-06,True,66,9.165477659432248e-07,1.2975635405732945e-05
66,2020-03-28,0,86.96340827896739,6.610399225627689e-06,True,67,1.0280294487952816e-06,1.2975635405732945e-05
67,2020-03-29,0,86.96340827896739,6.610399225627689e-06,True,68,1.1518015596943933e-06,1.2975635405732945e-05
68,2020-03-30,0,86.96340827896739,6.610399225627689e-06,True,69,1.2889002382913074e-06,1.2975635405732945e-05
69,2020-03-31,0,86.96340827896739,6.610399225627689e-06,True,70,1.4403701771576095e-06,1.2975635405732945e-05
70,2020-04-01,0,86.96340827896739,6.610399225627689e-06,True,71,1.6072429139397851e-06,1.2975635405732945e-05
71,2020-04-02,0,86.96340827896739,6.610399225627689e-06,True,72,1.7905101254643331e-06,1.2975635405732945e-05
72,2020-04-03,0,86.96340827896739,6.610399225627689e-06,True,73,1.9910918031545576e-06,1.2975635405732945e-05
73,2020-04-04,0,86.96340827896739,6.610399225627689e-06,True,74,2.209799502641253e-06,1.2975635405732945e-05
74,2020-04-05,0,86.96340827896739,6.610399225627689e-06,True,75,2.447295274516435e-06,1.2975635405732945e-05
75,2020-04-06,0,86.96340827896739,6.610399225627689e-06,True,76,2.70404739101852e-06,1.2975635405732945e-05
76,2020-04-07,0,86.96340827896739,6.610399225627689e-06,True,77,2.9802845612747037e-06,1.2975635405732945e-05
77,2020-04-08,0,86.96340827896739,6.610399225627689e-06,True,78,3.275950930685757e-06,1.2975635405732945e-05
78,2020-04-09,0,86.96340827896739,6.610399225627689e-06,True,79,3.5906647205179303e-06,1.2975635405732945e-05
79,2020-04-10,0,86.96340827896739,6.610399225627689e-06,True,80,3.923683794115103e-06,1.2975635405732945e-05
80,2020-04-11,0,86.96340827896739,6.610399225627689e-06,True,81,4.273881637232254e-06,1.2975635405732945e-05
81,2020-04-12,0,86.96340827896739,6.610399225627689e-06,True,82,4.639737116280579e-06,1.2975635405732945e-05
82,2020-04-13,0,86.96340827896739,6.610399225627689e-06,True,83,5.019340858270186e-06,1.2975635405732945e-05
83,2020-04-14,0,86.96340827896739,6.610399225627689e-06,True,84,5.410420154895552e-06,1.2975635405732945e-05
84,2020-04-15,0,86.96340827896739,6.610399225627689e-06,True,85,5.810382970777291e-06,1.2975635405732945e-05
85,2020-04-16,0,86.96340827896739,6.610399225627689e-06,True,86,6.216380046579356e-06,1.2975635405732945e-05
86,2020-04-17,0,86.96340827896739,6.610399225627689e-06,True,87,6.6253824127901075e-06,1.2975635405732945e-05
87,2020-04-18,0,86.96340827896739,6.610399225627689e-06,True,88,7.034270092870468e-06,1.2975635405732945e-05
88,2020-04-19,0,86.96340827896739,6.610399225627689e-06,True,89,7.439926601595017e-06,1.2975635405732945e-05
89,2020-04-20,0,86.96340827896739,6.610399225627689e-06,True,90,7.839333219496875e-06,1.2975635405732945e-05
90,2020-04-21,0,86.96340827896739,6.610399225627689e-06,True,91,8.229657048684209e-06,1.2975635405732945e-05
91,2020-04-22,0,86.96340827896739,6.610399225627689e-06,True,92,8.608327524935026e-06,1.2975635405732945e-05
92,2020-04-23,0,86.96340827896739,6.610399225627689e-06,True,93,8.973097267518245e-06,1.2975635405732945e-05
93,2020-04-24,0,86.96340827896739,6.610399225627689e-06,True,94,9.32208470326813e-06,1.2975635405732945e-05
94,2020-04-25,0,86.96340827896739,6.610399225627689e-06,True,95,9.65379757737141e-06,1.2975635405732945e-05
95,2020-04-26,0,86.96340827896739,6.610399225627689e-06,True,96,9.967138038526466e-06,1.2975635405732945e-05
96,2020-04-27,0,86.96340827896739,6.610399225627689e-06,True,97,1.0261391283650365e-05,1.2975635405732945e-05
97,2020-04-28,0,86.96340827896739,6.610399225627689e-06,True,98,1.0536200658305117e-05,1.2975635405732945e-05
98,2020-04-29,0,86.96340827896739,6.610399225627689e-06,True,99,1.0791532598477645e-05,1.2975635405732945e-05
99,2020-04-30,0,86.96340827896739,6.610399225627689e-06,True,100,1.1027634896440566e-05,1.2975635405732945e-05
100,2020-05-01,0,86.96340827896739,6.610399225627689e-06,True,101,1.1244991552161971e-05,1.2975635405732945e-05
101,2020-05-02,0,86.96340827896739,6.610399225627689e-06,True,102,1.1444277028565392e-05,1.2975635405732945e-05
102,2020-05-03,0,86.96340827896739,6.610399225627689e-06,True,103,1.1626312162589064e-05,1.2975635405732945e-05
103,2020-05-04,0,86.96340827896739,6.610399225627689e-06,True,104,1.1792023380852772e-05,1.2975635405732945e-05
104,2020-05-05,0,86.96340827896739,6.610399225627689e-06,True,105,1.194240629477738e-05,1.2975635405732945e-05
105,2020-05-06,0,86.96340827896739,6.610399225627689e-06,True,106,1.2078494248453618e-05,1.2975635405732945e-05
106,2020-05-07,0,86.96340827896739,6.610399225627689e-06,True,107,1.2201331985793266e-05,1.2975635405732945e-05
107,2020-05-08,0,86.96340827896739,6.610399225627689e-06,True,108,1.2311954297241496e-05,1.2975635405732945e-05
108,2020-05-09,0,86.96340827896739,6.610399225627689e-06,True,109,1.2411369294665088e-05,1.2975635405732945e-05
