,Report_Date,Kuwait_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,131.4797879661052,25622.745350538527,False,1,1.9985432713485254,51245.49070107708
1,2020-01-23,0,131.4797879661052,25622.745350538527,False,2,2.16024140561109,51245.49070107708
2,2020-01-24,0,131.4797879661052,25622.745350538527,False,3,2.3350216159968844,51245.49070107708
3,2020-01-25,0,131.4797879661052,25622.745350538527,False,4,2.523942198492969,51245.49070107708
4,2020-01-26,0,131.4797879661052,25622.745350538527,False,5,2.7281470447769767,51245.49070107708
5,2020-01-27,0,131.4797879661052,25622.745350538527,False,6,2.948872562409175,51245.49070107708
6,2020-01-28,0,131.4797879661052,25622.745350538527,False,7,3.1874551540253013,51245.49070107708
7,2020-01-29,0,131.4797879661052,25622.745350538527,False,8,3.4453393006045956,51245.49070107708
8,2020-01-30,0,131.4797879661052,25622.745350538527,False,9,3.72408629750837,51245.49070107708
9,2020-01-31,0,131.4797879661052,25622.745350538527,False,10,4.0253836958940035,51245.49070107708
10,2020-02-01,0,131.4797879661052,25622.745350538527,False,11,4.351055506329925,51245.49070107708
11,2020-02-02,0,131.4797879661052,25622.745350538527,False,12,4.703073225993434,51245.49070107708
12,2020-02-03,0,131.4797879661052,25622.745350538527,False,13,5.083567755751012,51245.49070107708
13,2020-02-04,0,131.4797879661052,25622.745350538527,False,14,5.494842278728507,51245.49070107708
14,2020-02-05,0,131.4797879661052,25622.745350538527,False,15,5.93938617770598,51245.49070107708
15,2020-02-06,0,131.4797879661052,25622.745350538527,False,16,6.419890074851944,51245.49070107708
16,2020-02-07,0,131.4797879661052,25622.745350538527,False,17,6.939262083978358,51245.49070107708
17,2020-02-08,0,131.4797879661052,25622.745350538527,False,18,7.500645372688937,51245.49070107708
18,2020-02-09,0,131.4797879661052,25622.745350538527,False,19,8.10743713954824,51245.49070107708
19,2020-02-10,0,131.4797879661052,25622.745350538527,False,20,8.763309119760981,51245.49070107708
20,2020-02-11,0,131.4797879661052,25622.745350538527,False,21,9.472229741865053,51245.49070107708
21,2020-02-12,0,131.4797879661052,25622.745350538527,False,22,10.238488067657093,51245.49070107708
22,2020-02-13,0,131.4797879661052,25622.745350538527,False,23,11.06671965803761,51245.49070107708
23,2020-02-14,0,131.4797879661052,25622.745350538527,False,24,11.961934518739522,51245.49070107708
24,2020-02-15,0,131.4797879661052,25622.745350538527,False,25,12.929547292048023,51245.49070107708
25,2020-02-16,0,131.4797879661052,25622.745350538527,False,26,13.975409873693852,51245.49070107708
26,2020-02-17,0,131.4797879661052,25622.745350538527,False,27,15.105846648172754,51245.49070107708
27,2020-02-18,0,131.4797879661052,25622.745350538527,False,28,16.32769255088139,51245.49070107708
28,2020-02-19,0,131.4797879661052,25622.745350538527,False,29,17.648334181738612,51245.49070107708
29,2020-02-20,0,131.4797879661052,25622.745350538527,False,30,19.075754212459298,51245.49070107708
30,2020-02-21,0,131.4797879661052,25622.745350538527,False,31,20.61857934844816,51245.49070107708
31,2020-02-22,0,131.4797879661052,25622.745350538527,False,32,22.286132126469084,51245.49070107708
32,2020-02-23,0,131.4797879661052,25622.745350538527,False,33,24.0884868509126,51245.49070107708
33,2020-02-24,1,131.4797879661052,25622.745350538527,False,34,26.03652999472287,51245.49070107708
34,2020-02-25,11,131.4797879661052,25622.745350538527,False,35,28.142025415953746,51245.49070107708
35,2020-02-26,26,131.4797879661052,25622.745350538527,False,36,30.417684767600527,51245.49070107708
36,2020-02-27,43,131.4797879661052,25622.745350538527,False,37,32.87724350690285,51245.49070107708
37,2020-02-28,45,131.4797879661052,25622.745350538527,False,38,35.535542940837594,51245.49070107708
38,2020-02-29,45,131.4797879661052,25622.745350538527,False,39,38.408618777123515,51245.49070107708
39,2020-03-01,45,131.4797879661052,25622.745350538527,False,40,41.51379668484482,51245.49070107708
40,2020-03-02,56,131.4797879661052,25622.745350538527,False,41,44.86979540587066,51245.49070107708
41,2020-03-03,56,131.4797879661052,25622.745350538527,False,42,48.496837997698144,51245.49070107708
42,2020-03-04,56,131.4797879661052,25622.745350538527,False,43,52.41677183026898,51245.49070107708
43,2020-03-05,58,131.4797879661052,25622.745350538527,False,44,56.653198003785356,51245.49070107708
44,2020-03-06,58,131.4797879661052,25622.745350538527,False,45,61.2316109016476,51245.49070107708
45,2020-03-07,61,131.4797879661052,25622.745350538527,False,46,66.17954864240713,51245.49070107708
46,2020-03-08,64,131.4797879661052,25622.745350538527,False,47,71.52675524710169,51245.49070107708
47,2020-03-09,64,131.4797879661052,25622.745350538527,False,48,77.3053553935191,51245.49070107708
48,2020-03-10,69,131.4797879661052,25622.745350538527,False,49,83.55004268678947,51245.49070107708
49,2020-03-11,72,131.4797879661052,25622.745350538527,False,50,90.2982824361572,51245.49070107708
50,2020-03-12,80,131.4797879661052,25622.745350538527,False,51,97.59052999070727,51245.49070107708
51,2020-03-13,80,131.4797879661052,25622.745350538527,False,52,105.47046575202346,51245.49070107708
52,2020-03-14,104,131.4797879661052,25622.745350538527,False,53,113.9852480489712,51245.49070107708
53,2020-03-15,112,131.4797879661052,25622.745350538527,False,54,123.18578512866577,51245.49070107708
54,2020-03-16,123,131.4797879661052,25622.745350538527,False,55,133.12702758773207,51245.49070107708
55,2020-03-17,130,131.4797879661052,25622.745350538527,False,56,143.86828263858453,51245.49070107708
56,2020-03-18,142,131.4797879661052,25622.745350538527,False,57,155.47355167590146,51245.49070107708
57,2020-03-19,148,131.4797879661052,25622.745350538527,False,58,168.01189267778057,51245.49070107708
58,2020-03-20,159,131.4797879661052,25622.745350538527,False,59,181.55780904309933,51245.49070107708
59,2020-03-21,176,131.4797879661052,25622.745350538527,False,60,196.1916665299433,51245.49070107708
60,2020-03-22,188,131.4797879661052,25622.745350538527,False,61,212.00014001790223,51245.49070107708
61,2020-03-23,189,131.4797879661052,25622.745350538527,False,62,229.07669186752844,51245.49070107708
62,2020-03-24,191,131.4797879661052,25622.745350538527,False,63,247.52208369084696,51245.49070107708
63,2020-03-25,195,131.4797879661052,25622.745350538527,False,64,267.44492337460605,51245.49070107708
64,2020-03-26,208,131.4797879661052,25622.745350538527,False,65,288.962249209545,51245.49070107708
65,2020-03-27,225,131.4797879661052,25622.745350538527,False,66,312.200152970279,51245.49070107708
66,2020-03-28,235,131.4797879661052,25622.745350538527,False,67,337.29444375677434,51245.49070107708
67,2020-03-29,255,131.4797879661052,25622.745350538527,False,68,364.3913543443088,51245.49070107708
68,2020-03-30,266,131.4797879661052,25622.745350538527,False,69,393.6482916879145,51245.49070107708
69,2020-03-31,289,131.4797879661052,25622.745350538527,False,70,425.2346330822572,51245.49070107708
70,2020-04-01,317,131.4797879661052,25622.745350538527,False,71,459.33256928025145,51245.49070107708
71,2020-04-02,342,131.4797879661052,25622.745350538527,False,72,496.1379956138035,51245.49070107708
72,2020-04-03,417,131.4797879661052,25622.745350538527,False,73,535.8614518269469,51245.49070107708
73,2020-04-04,479,131.4797879661052,25622.745350538527,False,74,578.729110912804,51245.49070107708
74,2020-04-05,556,131.4797879661052,25622.745350538527,False,75,624.9838167273385,51245.49070107708
75,2020-04-06,665,131.4797879661052,25622.745350538527,False,76,674.8861695190609,51245.49070107708
76,2020-04-07,743,131.4797879661052,25622.745350538527,False,77,728.7156577473481,51245.49070107708
77,2020-04-08,855,131.4797879661052,25622.745350538527,False,78,786.7718336437059,51245.49070107708
78,2020-04-09,910,131.4797879661052,25622.745350538527,False,79,849.3755288792103,51245.49070107708
79,2020-04-10,993,131.4797879661052,25622.745350538527,False,80,916.8701054149046,51245.49070107708
80,2020-04-11,1154,131.4797879661052,25622.745350538527,False,81,989.6227351060988,51245.49070107708
81,2020-04-12,1234,131.4797879661052,25622.745350538527,False,82,1068.0256998808266,51245.49070107708
82,2020-04-13,1300,131.4797879661052,25622.745350538527,False,83,1152.4977022912146,51245.49070107708
83,2020-04-14,1355,131.4797879661052,25622.745350538527,False,84,1243.485173917819,51245.49070107708
84,2020-04-15,1405,131.4797879661052,25622.745350538527,False,85,1341.463566465499,51245.49070107708
85,2020-04-16,1524,131.4797879661052,25622.745350538527,False,86,1446.93860740149,51245.49070107708
