,Report_Date,Mauritius_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.56658256112877,211.7460281661601,True,1,0.004941904702313897,406.1714293893742
1,2020-01-23,0,74.56658256112877,211.7460281661601,True,2,0.005766969920297683,406.1714293893742
2,2020-01-24,0,74.56658256112877,211.7460281661601,True,3,0.006729779962832798,406.1714293893742
3,2020-01-25,0,74.56658256112877,211.7460281661601,True,4,0.007853330567574989,406.1714293893742
4,2020-01-26,0,74.56658256112877,211.7460281661601,True,5,0.009164456197071636,406.1714293893742
5,2020-01-27,0,74.56658256112877,211.7460281661601,True,6,0.01069447074120666,406.1714293893742
6,2020-01-28,0,74.56658256112877,211.7460281661601,True,7,0.012479915118600424,406.1714293893742
7,2020-01-29,0,74.56658256112877,211.7460281661601,True,8,0.014563429599113328,406.1714293893742
8,2020-01-30,0,74.56658256112877,211.7460281661601,True,9,0.016994771635993382,406.1714293893742
9,2020-01-31,0,74.56658256112877,211.7460281661601,True,10,0.019832003454560394,406.1714293893742
10,2020-02-01,0,74.56658256112877,211.7460281661601,True,11,0.02314287767557744,406.1714293893742
11,2020-02-02,0,74.56658256112877,211.7460281661601,True,12,0.027006453949652624,406.1714293893742
12,2020-02-03,0,74.56658256112877,211.7460281661601,True,13,0.031514985053282554,406.1714293893742
13,2020-02-04,0,74.56658256112877,211.7460281661601,True,14,0.03677611727406044,406.1714293893742
14,2020-02-05,0,74.56658256112877,211.7460281661601,True,15,0.042915457338739575,406.1714293893742
15,2020-02-06,0,74.56658256112877,211.7460281661601,True,16,0.05007956678288328,406.1714293893742
16,2020-02-07,0,74.56658256112877,211.7460281661601,True,17,0.05843945472067277,406.1714293893742
17,2020-02-08,0,74.56658256112877,211.7460281661601,True,18,0.06819465167399409,406.1714293893742
18,2020-02-09,0,74.56658256112877,211.7460281661601,True,19,0.07957796072109717,406.1714293893742
19,2020-02-10,0,74.56658256112877,211.7460281661601,True,20,0.09286099802517538,406.1714293893742
20,2020-02-11,0,74.56658256112877,211.7460281661601,True,21,0.10836065314335112,406.1714293893742
21,2020-02-12,0,74.56658256112877,211.7460281661601,True,22,0.12644662078561328,406.1714293893742
22,2020-02-13,0,74.56658256112877,211.7460281661601,True,23,0.14755018033233946,406.1714293893742
23,2020-02-14,0,74.56658256112877,211.7460281661601,True,24,0.17217442792571136,406.1714293893742
24,2020-02-15,0,74.56658256112877,211.7460281661601,True,25,0.20090619888190725,406.1714293893742
25,2020-02-16,0,74.56658256112877,211.7460281661601,True,26,0.23442995614616827,406.1714293893742
26,2020-02-17,0,74.56658256112877,211.7460281661601,True,27,0.273543964210859,406.1714293893742
27,2020-02-18,0,74.56658256112877,211.7460281661601,True,28,0.3191791180720331,406.1714293893742
28,2020-02-19,0,74.56658256112877,211.7460281661601,True,29,0.3724208541914463,406.1714293893742
29,2020-02-20,0,74.56658256112877,211.7460281661601,True,30,0.4345346358611015,406.1714293893742
30,2020-02-21,0,74.56658256112877,211.7460281661601,True,31,0.5069955796297735,406.1714293893742
31,2020-02-22,0,74.56658256112877,211.7460281661601,True,32,0.5915228732788328,406.1714293893742
32,2020-02-23,0,74.56658256112877,211.7460281661601,True,33,0.6901197298245239,406.1714293893742
33,2020-02-24,0,74.56658256112877,211.7460281661601,True,34,0.8051197265238946,406.1714293893742
34,2020-02-25,0,74.56658256112877,211.7460281661601,True,35,0.9392404928129142,406.1714293893742
35,2020-02-26,0,74.56658256112877,211.7460281661601,True,36,1.0956458358184171,406.1714293893742
36,2020-02-27,0,74.56658256112877,211.7460281661601,True,37,1.2780175249308283,406.1714293893742
37,2020-02-28,0,74.56658256112877,211.7460281661601,True,38,1.4906380949093994,406.1714293893742
38,2020-02-29,0,74.56658256112877,211.7460281661601,True,39,1.7384861651875383,406.1714293893742
