,Report_Date,Burkina Faso_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,78.76288094713061,394.6306138230215,True,1,0.29047717801426887,787.3544293498153
1,2020-01-23,0,0,78.76288094713061,394.6306138230215,True,2,0.3215541648993939,787.3544293498153
2,2020-01-24,0,0,78.76288094713061,394.6306138230215,True,3,0.3559544537960655,787.3544293498153
3,2020-01-25,0,0,78.76288094713061,394.6306138230215,True,4,0.39403309293803934,787.3544293498153
4,2020-01-26,0,0,78.76288094713061,394.6306138230215,True,5,0.4361829862896941,787.3544293498153
5,2020-01-27,0,0,78.76288094713061,394.6306138230215,True,6,0.48283891260247075,787.3544293498153
6,2020-01-28,0,0,78.76288094713061,394.6306138230215,True,7,0.5344819672922154,787.3544293498153
7,2020-01-29,0,0,78.76288094713061,394.6306138230215,True,8,0.5916444707445565,787.3544293498153
8,2020-01-30,0,0,78.76288094713061,394.6306138230215,True,9,0.65491539095386,787.3544293498153
9,2020-01-31,0,0,78.76288094713061,394.6306138230215,True,10,0.7249463330775294,787.3544293498153
10,2020-02-01,0,0,78.76288094713061,394.6306138230215,True,11,0.8024581535636837,787.3544293498153
11,2020-02-02,0,0,78.76288094713061,394.6306138230215,True,12,0.8882482620071422,787.3544293498153
12,2020-02-03,0,0,78.76288094713061,394.6306138230215,True,13,0.9831986798241665,787.3544293498153
13,2020-02-04,0,0,78.76288094713061,394.6306138230215,True,14,1.0882849312245322,787.3544293498153
14,2020-02-05,0,0,78.76288094713061,394.6306138230215,True,15,1.2045858488086023,787.3544293498153
15,2020-02-06,0,0,78.76288094713061,394.6306138230215,True,16,1.3332943834277637,787.3544293498153
16,2020-02-07,0,0,78.76288094713061,394.6306138230215,True,17,1.4757295157090702,787.3544293498153
17,2020-02-08,0,0,78.76288094713061,394.6306138230215,True,18,1.633349374835766,787.3544293498153
18,2020-02-09,0,0,78.76288094713061,394.6306138230215,True,19,1.8077656787533305,787.3544293498153
19,2020-02-10,0,0,78.76288094713061,394.6306138230215,True,20,2.000759618871842,787.3544293498153
20,2020-02-11,0,0,78.76288094713061,394.6306138230215,True,21,2.214299321467021,787.3544293498153
21,2020-02-12,0,0,78.76288094713061,394.6306138230215,True,22,2.450559027215198,787.3544293498153
22,2020-02-13,0,0,78.76288094713061,394.6306138230215,True,23,2.71194013945722,787.3544293498153
23,2020-02-14,0,0,78.76288094713061,394.6306138230215,True,24,3.0010943006424937,787.3544293498153
24,2020-02-15,0,0,78.76288094713061,394.6306138230215,True,25,3.320948664657134,787.3544293498153
25,2020-02-16,0,0,78.76288094713061,394.6306138230215,True,26,3.674733540005286,787.3544293498153
26,2020-02-17,0,0,78.76288094713061,394.6306138230215,True,27,4.066012584602867,787.3544293498153
