,Report_Date,Tunisia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.78572735473776,508.05658281683685,True,1,0.0297446829515334,1015.1521666994124
1,2020-01-23,0,74.78572735473776,508.05658281683685,True,2,0.03426487132879577,1015.1521666994124
2,2020-01-24,0,74.78572735473776,508.05658281683685,True,3,0.03947194916694693,1015.1521666994124
3,2020-01-25,0,74.78572735473776,508.05658281683685,True,4,0.04547028771044078,1015.1521666994124
4,2020-01-26,0,74.78572735473776,508.05658281683685,True,5,0.05238011431610674,1015.1521666994124
5,2020-01-27,0,74.78572735473776,508.05658281683685,True,6,0.060339920385527095,1015.1521666994124
6,2020-01-28,0,74.78572735473776,508.05658281683685,True,7,0.06950923466434922,1015.1521666994124
7,2020-01-29,0,74.78572735473776,508.05658281683685,True,8,0.08007181724755602,1015.1521666994124
8,2020-01-30,0,74.78572735473776,508.05658281683685,True,9,0.09223933797878237,1015.1521666994124
9,2020-01-31,0,74.78572735473776,508.05658281683685,True,10,0.10625561252975904,1015.1521666994124
10,2020-02-01,0,74.78572735473776,508.05658281683685,True,11,0.12240148047619816,1015.1521666994124
11,2020-02-02,0,74.78572735473776,508.05658281683685,True,12,0.14100042235795615,1015.1521666994124
12,2020-02-03,0,74.78572735473776,508.05658281683685,True,13,0.16242502726213062,1015.1521666994124
13,2020-02-04,0,74.78572735473776,508.05658281683685,True,14,0.18710443916833672,1015.1521666994124
14,2020-02-05,0,74.78572735473776,508.05658281683685,True,15,0.21553292945240365,1015.1521666994124
15,2020-02-06,0,74.78572735473776,508.05658281683685,True,16,0.24827976490484618,1015.1521666994124
16,2020-02-07,0,74.78572735473776,508.05658281683685,True,17,0.28600056577446403,1015.1521666994124
17,2020-02-08,0,74.78572735473776,508.05658281683685,True,18,0.32945037713400144,1015.1521666994124
18,2020-02-09,0,74.78572735473776,508.05658281683685,True,19,0.3794987097741912,1015.1521666994124
19,2020-02-10,0,74.78572735473776,508.05658281683685,True,20,0.4371468444094025,1015.1521666994124
20,2020-02-11,0,74.78572735473776,508.05658281683685,True,21,0.5035477358235068,1015.1521666994124
21,2020-02-12,0,74.78572735473776,508.05658281683685,True,22,0.5800289023557781,1015.1521666994124
22,2020-02-13,0,74.78572735473776,508.05658281683685,True,23,0.6681187415346501,1015.1521666994124
23,2020-02-14,0,74.78572735473776,508.05658281683685,True,24,0.7695767754700262,1015.1521666994124
24,2020-02-15,0,74.78572735473776,508.05658281683685,True,25,0.8864284006054028,1015.1521666994124
25,2020-02-16,0,74.78572735473776,508.05658281683685,True,26,1.0210047964167719,1015.1521666994124
26,2020-02-17,0,74.78572735473776,508.05658281683685,True,27,1.1759887374169424,1015.1521666994124
27,2020-02-18,0,74.78572735473776,508.05658281683685,True,28,1.3544671531095278,1015.1521666994124
