,Report_Date,Germany_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
52,2020-03-14,4585,70.50922272796653,74343.91575830254,True,53,8061.927872735323,147282.45461000656
53,2020-03-15,5795,70.50922272796653,74343.91575830254,True,54,9401.45216398851,147282.45461000656
54,2020-03-16,7272,70.50922272796653,74343.91575830254,True,55,10946.21971138436,147282.45461000656
55,2020-03-17,9257,70.50922272796653,74343.91575830254,True,56,12721.627697583435,147282.45461000656
56,2020-03-18,12327,70.50922272796653,74343.91575830254,True,57,14754.150943070066,147282.45461000656
57,2020-03-19,15320,70.50922272796653,74343.91575830254,True,58,17070.63803249694,147282.45461000656
58,2020-03-20,19848,70.50922272796653,74343.91575830254,True,59,19697.33814917499,147282.45461000656
59,2020-03-21,22213,70.50922272796653,74343.91575830254,True,60,22658.633662319022,147282.45461000656
60,2020-03-22,24873,70.50922272796653,74343.91575830254,True,61,25975.47762241499,147282.45461000656
61,2020-03-23,29056,70.50922272796653,74343.91575830254,True,62,29663.57232961612,147282.45461000656
62,2020-03-24,32986,70.50922272796653,74343.91575830254,True,63,33731.37480402392,147282.45461000656
63,2020-03-25,37323,70.50922272796653,74343.91575830254,True,64,38178.07352991351,147282.45461000656
64,2020-03-26,43938,70.50922272796653,74343.91575830254,True,65,42991.73977174472,147282.45461000656
65,2020-03-27,50871,70.50922272796653,74343.91575830254,True,66,48147.9026725232,147282.45461000656
66,2020-03-28,57695,70.50922272796653,74343.91575830254,True,67,53608.81365002259,147282.45461000656
67,2020-03-29,62095,70.50922272796653,74343.91575830254,True,68,59323.636592816976,147282.45461000656
68,2020-03-30,66885,70.50922272796653,74343.91575830254,True,69,65229.71719490523,147282.45461000656
69,2020-03-31,71808,70.50922272796653,74343.91575830254,True,70,71254.95155153358,147282.45461000656
70,2020-04-01,77872,70.50922272796653,74343.91575830254,True,71,77321.1110486589,147282.45461000656
71,2020-04-02,84794,70.50922272796653,74343.91575830254,True,72,83347.82139694045,147282.45461000656
72,2020-04-03,91159,70.50922272796653,74343.91575830254,True,73,89256.7769708242,147282.45461000656
73,2020-04-04,96092,70.50922272796653,74343.91575830254,True,74,94975.72823360983,147282.45461000656
74,2020-04-05,100123,70.50922272796653,74343.91575830254,True,75,100441.82187449475,147282.45461000656
75,2020-04-06,103374,70.50922272796653,74343.91575830254,True,76,105603.98885682538,147282.45461000656
76,2020-04-07,107663,70.50922272796653,74343.91575830254,True,77,110424.23432003747,147282.45461000656
77,2020-04-08,113296,70.50922272796653,74343.91575830254,True,78,114877.84663335801,147282.45461000656
78,2020-04-09,118181,70.50922272796653,74343.91575830254,True,79,118952.67689887424,147282.45461000656
79,2020-04-10,122171,70.50922272796653,74343.91575830254,True,80,122647.7243724728,147282.45461000656
80,2020-04-11,124908,70.50922272796653,74343.91575830254,True,81,125971.29323489613,147282.45461000656
81,2020-04-12,127854,70.50922272796653,74343.91575830254,True,82,128938.97054513916,147282.45461000656
82,2020-04-13,130072,70.50922272796653,74343.91575830254,True,83,131571.62968659934,147282.45461000656
83,2020-04-14,131359,70.50922272796653,74343.91575830254,True,84,133893.60479556298,147282.45461000656
84,2020-04-15,134753,70.50922272796653,74343.91575830254,True,85,135931.12301874784,147282.45461000656
85,2020-04-16,137698,70.50922272796653,74343.91575830254,True,86,137711.03157166307,147282.45461000656
86,2020-04-17,141397,70.50922272796653,74343.91575830254,True,87,139259.81931575236,147282.45461000656
87,2020-04-18,143342,70.50922272796653,74343.91575830254,True,88,140602.9082359726,147282.45461000656
88,2020-04-19,145184,70.50922272796653,74343.91575830254,True,89,141764.17696346054,147282.45461000656
