,Report_Date,China_henan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,5,13.700337466751423,636.2551199691511,True,1,34.459541433487765,1272.5102375806096
1,2020-01-23,5,13.700337466751423,636.2551199691511,True,2,45.28625059558857,1272.5102375806096
2,2020-01-24,9,13.700337466751423,636.2551199691511,True,3,59.351490390774856,1272.5102375806096
3,2020-01-25,32,13.700337466751423,636.2551199691511,True,4,77.509281815762,1272.5102375806096
4,2020-01-26,83,13.700337466751423,636.2551199691511,True,5,100.76081538195761,1272.5102375806096
5,2020-01-27,128,13.700337466751423,636.2551199691511,True,6,130.2273117247189,1272.5102375806096
6,2020-01-28,168,13.700337466751423,636.2551199691511,True,7,167.08224875229283,1272.5102375806096
7,2020-01-29,206,13.700337466751423,636.2551199691511,True,8,212.42764050201924,1272.5102375806096
8,2020-01-30,278,13.700337466751423,636.2551199691511,True,9,267.1059286123778,1272.5102375806096
9,2020-01-31,352,13.700337466751423,636.2551199691511,True,10,331.4577046174227,1272.5102375806096
10,2020-02-01,422,13.700337466751423,636.2551199691511,True,11,405.06694772289427,1272.5102375806096
11,2020-02-02,493,13.700337466751423,636.2551199691511,True,12,486.5709521672298,1272.5102375806096
12,2020-02-03,566,13.700337466751423,636.2551199691511,True,13,573.6296733334646,1272.5102375806096
13,2020-02-04,675,13.700337466751423,636.2551199691511,True,14,663.1225424613068,1272.5102375806096
14,2020-02-05,764,13.700337466751423,636.2551199691511,True,15,751.5629465549599,1272.5102375806096
15,2020-02-06,851,13.700337466751423,636.2551199691511,True,16,835.6243310167858,1272.5102375806096
16,2020-02-07,914,13.700337466751423,636.2551199691511,True,17,912.6167855722181,1272.5102375806096
17,2020-02-08,981,13.700337466751423,636.2551199691511,True,18,980.7778345916452,1272.5102375806096
18,2020-02-09,1033,13.700337466751423,636.2551199691511,True,19,1039.3281213710031,1272.5102375806096
19,2020-02-10,1073,13.700337466751423,636.2551199691511,True,20,1088.3341106107923,1272.5102375806096
20,2020-02-11,1105,13.700337466751423,636.2551199691511,True,21,1128.4682889869543,1272.5102375806096
21,2020-02-12,1135,13.700337466751423,636.2551199691511,True,22,1160.7548032487725,1272.5102375806096
22,2020-02-13,1169,13.700337466751423,636.2551199691511,True,23,1186.3569097303393,1272.5102375806096
23,2020-02-14,1184,13.700337466751423,636.2551199691511,True,24,1206.4277269028912,1272.5102375806096
24,2020-02-15,1212,13.700337466751423,636.2551199691511,True,25,1222.0217132072828,1272.5102375806096
25,2020-02-16,1231,13.700337466751423,636.2551199691511,True,26,1234.0531708329747,1272.5102375806096
26,2020-02-17,1246,13.700337466751423,636.2551199691511,True,27,1243.2860878484194,1272.5102375806096
27,2020-02-18,1257,13.700337466751423,636.2551199691511,True,28,1250.3421511310385,1272.5102375806096
28,2020-02-19,1262,13.700337466751423,636.2551199691511,True,29,1255.7175648737964,1272.5102375806096
29,2020-02-20,1265,13.700337466751423,636.2551199691511,True,30,1259.802772366682,1272.5102375806096
30,2020-02-21,1267,13.700337466751423,636.2551199691511,True,31,1262.9017629395426,1272.5102375806096
31,2020-02-22,1270,13.700337466751423,636.2551199691511,True,32,1265.2493534992823,1272.5102375806096
32,2020-02-23,1271,13.700337466751423,636.2551199691511,True,33,1267.0258599910699,1272.5102375806096
33,2020-02-24,1271,13.700337466751423,636.2551199691511,True,34,1268.369134814206,1272.5102375806096
34,2020-02-25,1271,13.700337466751423,636.2551199691511,True,35,1269.3842165764806,1272.5102375806096
35,2020-02-26,1271,13.700337466751423,636.2551199691511,True,36,1270.150940878986,1272.5102375806096
36,2020-02-27,1272,13.700337466751423,636.2551199691511,True,37,1270.729873351346,1272.5102375806096
37,2020-02-28,1272,13.700337466751423,636.2551199691511,True,38,1271.166895738398,1272.5102375806096
38,2020-02-29,1272,13.700337466751423,636.2551199691511,True,39,1271.4967288313098,1272.5102375806096
39,2020-03-01,1272,13.700337466751423,636.2551199691511,True,40,1271.7456262775709,1272.5102375806096
40,2020-03-02,1272,13.700337466751423,636.2551199691511,True,41,1271.9334273679735,1272.5102375806096
41,2020-03-03,1272,13.700337466751423,636.2551199691511,True,42,1272.0751173513727,1272.5102375806096
42,2020-03-04,1272,13.700337466751423,636.2551199691511,True,43,1272.182011160585,1272.5102375806096
43,2020-03-05,1272,13.700337466751423,636.2551199691511,True,44,1272.2626501560028,1272.5102375806096
44,2020-03-06,1272,13.700337466751423,636.2551199691511,True,45,1272.3234807329638,1272.5102375806096
45,2020-03-07,1272,13.700337466751423,636.2551199691511,True,46,1272.3693674405404,1272.5102375806096
46,2020-03-08,1272,13.700337466751423,636.2551199691511,True,47,1272.4039807328213,1272.5102375806096
47,2020-03-09,1272,13.700337466751423,636.2551199691511,True,48,1272.4300898489773,1272.5102375806096
48,2020-03-10,1272,13.700337466751423,636.2551199691511,True,49,1272.4497839580356,1272.5102375806096
49,2020-03-11,1273,13.700337466751423,636.2551199691511,True,50,1272.464639095173,1272.5102375806096
50,2020-03-12,1273,13.700337466751423,636.2551199691511,True,51,1272.4758441528095,1272.5102375806096
51,2020-03-13,1273,13.700337466751423,636.2551199691511,True,52,1272.4842959552834,1272.5102375806096
52,2020-03-14,1273,13.700337466751423,636.2551199691511,True,53,1272.4906709955758,1272.5102375806096
53,2020-03-15,1273,13.700337466751423,636.2551199691511,True,54,1272.4954795583049,1272.5102375806096
54,2020-03-16,1273,13.700337466751423,636.2551199691511,True,55,1272.4991065511583,1272.5102375806096
55,2020-03-17,1273,13.700337466751423,636.2551199691511,True,56,1272.5018423074487,1272.5102375806096
56,2020-03-18,1273,13.700337466751423,636.2551199691511,True,57,1272.5039058222073,1272.5102375806096
57,2020-03-19,1273,13.700337466751423,636.2551199691511,True,58,1272.5054622800058,1272.5102375806096
58,2020-03-20,1273,13.700337466751423,636.2551199691511,True,59,1272.5066362765454,1272.5102375806096
59,2020-03-21,1273,13.700337466751423,636.2551199691511,True,60,1272.507521791815,1272.5102375806096
60,2020-03-22,1274,13.700337466751423,636.2551199691511,True,61,1272.508189712848,1272.5102375806096
61,2020-03-23,1274,13.700337466751423,636.2551199691511,True,62,1272.5086935080822,1272.5102375806096
62,2020-03-24,1274,13.700337466751423,636.2551199691511,True,63,1272.5090735074648,1272.5102375806096
63,2020-03-25,1274,13.700337466751423,636.2551199691511,True,64,1272.5093601308718,1272.5102375806096
64,2020-03-26,1275,13.700337466751423,636.2551199691511,True,65,1272.5095763232405,1272.5102375806096
65,2020-03-27,1275,13.700337466751423,636.2551199691511,True,66,1272.5097393913456,1272.5102375806096
66,2020-03-28,1275,13.700337466751423,636.2551199691511,True,67,1272.5098623892347,1272.5102375806096
67,2020-03-29,1276,13.700337466751423,636.2551199691511,True,68,1272.509955163231,1272.5102375806096
68,2020-03-30,1276,13.700337466751423,636.2551199691511,True,69,1272.5100251401566,1272.5102375806096
69,2020-03-31,1276,13.700337466751423,636.2551199691511,True,70,1272.5100779218637,1272.5102375806096
70,2020-04-01,1276,13.700337466751423,636.2551199691511,True,71,1272.510117733681,1272.5102375806096
71,2020-04-02,1276,13.700337466751423,636.2551199691511,True,72,1272.5101477626592,1272.5102375806096
72,2020-04-03,1276,13.700337466751423,636.2551199691511,True,73,1272.5101704127067,1272.5102375806096
73,2020-04-04,1276,13.700337466751423,636.2551199691511,True,74,1272.510187497025,1272.5102375806096
74,2020-04-05,1276,13.700337466751423,636.2551199691511,True,75,1272.5102003832649,1272.5102375806096
