,Report_Date,Cabo Verde_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,107.88210402933161,223.42500069350507,True,1,0.004971687484803157,429.584553541368
1,2020-01-23,0,0,107.88210402933161,223.42500069350507,True,2,0.005531592349024424,429.584553541368
2,2020-01-24,0,0,107.88210402933161,223.42500069350507,True,3,0.006154552089498952,429.584553541368
3,2020-01-25,0,0,107.88210402933161,223.42500069350507,True,4,0.006847667558496541,429.584553541368
4,2020-01-26,0,0,107.88210402933161,223.42500069350507,True,5,0.007618839213426171,429.584553541368
5,2020-01-27,0,0,107.88210402933161,223.42500069350507,True,6,0.008476857146215584,429.584553541368
6,2020-01-28,0,0,107.88210402933161,223.42500069350507,True,7,0.009431501246522658,429.584553541368
7,2020-01-29,0,0,107.88210402933161,223.42500069350507,True,8,0.010493652638794655,429.584553541368
8,2020-01-30,0,0,107.88210402933161,223.42500069350507,True,9,0.011675417661281011,429.584553541368
9,2020-01-31,0,0,107.88210402933161,223.42500069350507,True,10,0.012990265797549564,429.584553541368
10,2020-02-01,0,0,107.88210402933161,223.42500069350507,True,11,0.014453183129454103,429.584553541368
11,2020-02-02,0,0,107.88210402933161,223.42500069350507,True,12,0.016080843056629286,429.584553541368
12,2020-02-03,0,0,107.88210402933161,223.42500069350507,True,13,0.017891796223417463,429.584553541368
13,2020-02-04,0,0,107.88210402933161,223.42500069350507,True,14,0.019906681811848282,429.584553541368
14,2020-02-05,0,0,107.88210402933161,223.42500069350507,True,15,0.022148462601320255,429.584553541368
15,2020-02-06,0,0,107.88210402933161,223.42500069350507,True,16,0.024642686464664075,429.584553541368
16,2020-02-07,0,0,107.88210402933161,223.42500069350507,True,17,0.02741777726927919,429.584553541368
17,2020-02-08,0,0,107.88210402933161,223.42500069350507,True,18,0.03050535848433054,429.584553541368
18,2020-02-09,0,0,107.88210402933161,223.42500069350507,True,19,0.0339406131642255,429.584553541368
19,2020-02-10,0,0,107.88210402933161,223.42500069350507,True,20,0.037762684388808185,429.584553541368
20,2020-02-11,0,0,107.88210402933161,223.42500069350507,True,21,0.04201512069638095,429.584553541368
21,2020-02-12,0,0,107.88210402933161,223.42500069350507,True,22,0.0467463715517351,429.584553541368
22,2020-02-13,0,0,107.88210402933161,223.42500069350507,True,23,0.05201033845330242,429.584553541368
23,2020-02-14,0,0,107.88210402933161,223.42500069350507,True,24,0.057866987907345756,429.584553541368
24,2020-02-15,0,0,107.88210402933161,223.42500069350507,True,25,0.06438303318942662,429.584553541368
25,2020-02-16,0,0,107.88210402933161,223.42500069350507,True,26,0.07163269258152356,429.584553541368
26,2020-02-17,0,0,107.88210402933161,223.42500069350507,True,27,0.07969853262515185,429.584553541368
27,2020-02-18,0,0,107.88210402933161,223.42500069350507,True,28,0.08867240587546887,429.584553541368
28,2020-02-19,0,0,107.88210402933161,223.42500069350507,True,29,0.09865649368828619,429.584553541368
29,2020-02-20,0,0,107.88210402933161,223.42500069350507,True,30,0.10976446573171371,429.584553541368
30,2020-02-21,0,0,107.88210402933161,223.42500069350507,True,31,0.12212276919833902,429.584553541368
31,2020-02-22,0,0,107.88210402933161,223.42500069350507,True,32,0.13587206211493977,429.584553541368
32,2020-02-23,0,0,107.88210402933161,223.42500069350507,True,33,0.15116880671831825,429.584553541368
33,2020-02-24,0,0,107.88210402933161,223.42500069350507,True,34,0.16818704060264622,429.584553541368
34,2020-02-25,0,0,107.88210402933161,223.42500069350507,True,35,0.18712034526151702,429.584553541368
35,2020-02-26,0,0,107.88210402933161,223.42500069350507,True,36,0.20818403376367925,429.584553541368
36,2020-02-27,0,0,107.88210402933161,223.42500069350507,True,37,0.23161758163321147,429.584553541368
37,2020-02-28,0,0,107.88210402933161,223.42500069350507,True,38,0.2576873275717653,429.584553541368
38,2020-02-29,0,0,107.88210402933161,223.42500069350507,True,39,0.28668947348247287,429.584553541368
39,2020-03-01,0,0,107.88210402933161,223.42500069350507,True,40,0.3189534163529007,429.584553541368
40,2020-03-02,0,0,107.88210402933161,223.42500069350507,True,41,0.3548454479492669,429.584553541368
41,2020-03-03,0,0,107.88210402933161,223.42500069350507,True,42,0.3947728619873277,429.584553541368
42,2020-03-04,0,0,107.88210402933161,223.42500069350507,True,43,0.4391885124977568,429.584553541368
43,2020-03-05,0,0,107.88210402933161,223.42500069350507,True,44,0.48859587151529055,429.584553541368
44,2020-03-06,0,0,107.88210402933161,223.42500069350507,True,45,0.5435546390091269,429.584553541368
45,2020-03-07,0,0,107.88210402933161,223.42500069350507,True,46,0.6046869631515905,429.584553541368
46,2020-03-08,0,0,107.88210402933161,223.42500069350507,True,47,0.6726843346027291,429.584553541368
47,2020-03-09,0,0,107.88210402933161,223.42500069350507,True,48,0.7483152244733124,429.584553541368
48,2020-03-10,0,0,107.88210402933161,223.42500069350507,True,49,0.8324335420116239,429.584553541368
49,2020-03-11,0,0,107.88210402933161,223.42500069350507,True,50,0.9259879948219674,429.584553541368
50,2020-03-12,0,0,107.88210402933161,223.42500069350507,True,51,1.0300324415302815,429.584553541368
