,Report_Date,Nigeria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,123.31059358254603,8251.041176696192,False,1,0.18116821227328325,16502.08235339238
1,2020-01-23,0,123.31059358254603,8251.041176696192,False,2,0.19889760280714308,16502.08235339238
2,2020-01-24,0,123.31059358254603,8251.041176696192,False,3,0.2183619948920919,16502.08235339238
3,2020-01-25,0,123.31059358254603,8251.041176696192,False,4,0.23973117139858427,16502.08235339238
4,2020-01-26,0,123.31059358254603,8251.041176696192,False,5,0.263191528752373,16502.08235339238
5,2020-01-27,0,123.31059358254603,8251.041176696192,False,6,0.28894770240173007,16502.08235339238
6,2020-01-28,0,123.31059358254603,8251.041176696192,False,7,0.31722435127929904,16502.08235339238
7,2020-01-29,0,123.31059358254603,8251.041176696192,False,8,0.34826811680222164,16502.08235339238
8,2020-01-30,0,123.31059358254603,8251.041176696192,False,9,0.38234977347203825,16502.08235339238
9,2020-01-31,0,123.31059358254603,8251.041176696192,False,10,0.41976658980159226,16502.08235339238
10,2020-02-01,0,123.31059358254603,8251.041176696192,False,11,0.4608449201240933,16502.08235339238
11,2020-02-02,0,123.31059358254603,8251.041176696192,False,12,0.5059430498453266,16502.08235339238
12,2020-02-03,0,123.31059358254603,8251.041176696192,False,13,0.5554543189009523,16502.08235339238
13,2020-02-04,0,123.31059358254603,8251.041176696192,False,14,0.6098105505957513,16502.08235339238
14,2020-02-05,0,123.31059358254603,8251.041176696192,False,15,0.6694858156512183,16502.08235339238
15,2020-02-06,0,123.31059358254603,8251.041176696192,False,16,0.7350005641946598,16502.08235339238
16,2020-02-07,0,123.31059358254603,8251.041176696192,False,17,0.8069261616116992,16502.08235339238
17,2020-02-08,0,123.31059358254603,8251.041176696192,False,18,0.8858898676818862,16502.08235339238
18,2020-02-09,0,123.31059358254603,8251.041176696192,False,19,0.9725803022535963,16502.08235339238
19,2020-02-10,0,123.31059358254603,8251.041176696192,False,20,1.0677534449219923,16502.08235339238
20,2020-02-11,0,123.31059358254603,8251.041176696192,False,21,1.1722392207879169,16502.08235339238
21,2020-02-12,0,123.31059358254603,8251.041176696192,False,22,1.2869487294349125,16502.08235339238
