,Report_Date,Philippines_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,97.21046608230836,7971.26763466068,True,1,18.557095396277717,15082.034558164489
1,2020-01-23,0,0,97.21046608230836,7971.26763466068,True,2,19.905088500969466,15082.034558164489
2,2020-01-24,0,0,97.21046608230836,7971.26763466068,True,3,21.350868949183457,15082.034558164489
3,2020-01-25,0,0,97.21046608230836,7971.26763466068,True,4,22.901510757551883,15082.034558164489
4,2020-01-26,0,0,97.21046608230836,7971.26763466068,True,5,24.56459670886992,15082.034558164489
5,2020-01-27,0,0,97.21046608230836,7971.26763466068,True,6,26.34825449502697,15082.034558164489
6,2020-01-28,0,0,97.21046608230836,7971.26763466068,True,7,28.261195359994417,15082.034558164489
7,2020-01-29,0,0,97.21046608230836,7971.26763466068,True,8,30.31275540554353,15082.034558164489
8,2020-01-30,1,1,97.21046608230836,7971.26763466068,True,9,32.512939731365734,15082.034558164489
9,2020-01-31,1,1,97.21046608230836,7971.26763466068,True,10,34.87246959050594,15082.034558164489
10,2020-02-01,1,1,97.21046608230836,7971.26763466068,True,11,37.40283275045696,15082.034558164489
11,2020-02-02,2,1,97.21046608230836,7971.26763466068,True,12,40.116337259844414,15082.034558164489
12,2020-02-03,2,1,97.21046608230836,7971.26763466068,True,13,43.02616883029208,15082.034558164489
13,2020-02-04,2,1,97.21046608230836,7971.26763466068,True,14,46.14645205271332,15082.034558164489
14,2020-02-05,2,1,97.21046608230836,7971.26763466068,True,15,49.49231567682709,15082.034558164489
15,2020-02-06,2,1,97.21046608230836,7971.26763466068,True,16,53.07996219202458,15082.034558164489
16,2020-02-07,3,2,97.21046608230836,7971.26763466068,True,17,56.92674195667104,15082.034558164489
17,2020-02-08,3,2,97.21046608230836,7971.26763466068,True,18,61.051232131344506,15082.034558164489
18,2020-02-09,3,2,97.21046608230836,7971.26763466068,True,19,65.47332067918431,15082.034558164489
19,2020-02-10,3,2,97.21046608230836,7971.26763466068,True,20,70.21429570320839,15082.034558164489
20,2020-02-11,3,2,97.21046608230836,7971.26763466068,True,21,75.29694039587778,15082.034558164489
21,2020-02-12,3,1,97.21046608230836,7971.26763466068,True,22,80.74563388001086,15082.034558164489
22,2020-02-13,3,1,97.21046608230836,7971.26763466068,True,23,86.58645822199891,15082.034558164489
23,2020-02-14,3,1,97.21046608230836,7971.26763466068,True,24,92.84731189770567,15082.034558164489
24,2020-02-15,3,1,97.21046608230836,7971.26763466068,True,25,99.55802998793982,15082.034558164489
25,2020-02-16,3,1,97.21046608230836,7971.26763466068,True,26,106.7505113733856,15082.034558164489
26,2020-02-17,3,1,97.21046608230836,7971.26763466068,True,27,114.45885318769498,15082.034558164489
27,2020-02-18,3,1,97.21046608230836,7971.26763466068,True,28,122.71949277132205,15082.034558164489
28,2020-02-19,3,1,97.21046608230836,7971.26763466068,True,29,131.57135734675032,15082.034558164489
29,2020-02-20,3,1,97.21046608230836,7971.26763466068,True,30,141.05602160704768,15082.034558164489
30,2020-02-21,3,1,97.21046608230836,7971.26763466068,True,31,151.2178733730705,15082.034558164489
31,2020-02-22,3,1,97.21046608230836,7971.26763466068,True,32,162.10428742889474,15082.034558164489
32,2020-02-23,3,1,97.21046608230836,7971.26763466068,True,33,173.76580758878197,15082.034558164489
33,2020-02-24,3,1,97.21046608230836,7971.26763466068,True,34,186.2563369806502,15082.034558164489
34,2020-02-25,3,1,97.21046608230836,7971.26763466068,True,35,199.6333364489036,15082.034558164489
35,2020-02-26,3,1,97.21046608230836,7971.26763466068,True,36,213.95803088170064,15082.034558164489
36,2020-02-27,3,1,97.21046608230836,7971.26763466068,True,37,229.29562315223583,15082.034558164489
37,2020-02-28,3,1,97.21046608230836,7971.26763466068,True,38,245.7155152281557,15082.034558164489
38,2020-02-29,3,1,97.21046608230836,7971.26763466068,True,39,263.2915358453941,15082.034558164489
39,2020-03-01,3,1,97.21046608230836,7971.26763466068,True,40,282.10217395992584,15082.034558164489
40,2020-03-02,3,1,97.21046608230836,7971.26763466068,True,41,302.2308169804822,15082.034558164489
