,Report_Date,Djibouti_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,139.16498220406018,3588.913372703708,False,1,6.2019707492521094,7177.826745407416
1,2020-01-23,0,0,139.16498220406018,3588.913372703708,False,2,6.526492529525636,7177.826745407416
2,2020-01-24,0,0,139.16498220406018,3588.913372703708,False,3,6.86797884167802,7177.826745407416
3,2020-01-25,0,0,139.16498220406018,3588.913372703708,False,4,7.227314768627931,7177.826745407416
4,2020-01-26,0,0,139.16498220406018,3588.913372703708,False,5,7.605431382855037,7177.826745407416
5,2020-01-27,0,0,139.16498220406018,3588.913372703708,False,6,8.003308115916555,7177.826745407416
6,2020-01-28,0,0,139.16498220406018,3588.913372703708,False,7,8.421975247882315,7177.826745407416
7,2020-01-29,0,0,139.16498220406018,3588.913372703708,False,8,8.862516522523196,7177.826745407416
8,2020-01-30,0,0,139.16498220406018,3588.913372703708,False,9,9.326071894346125,7177.826745407416
9,2020-01-31,0,0,139.16498220406018,3588.913372703708,False,10,9.813840413835637,7177.826745407416
10,2020-02-01,0,0,139.16498220406018,3588.913372703708,False,11,10.327083257537364,7177.826745407416
11,2020-02-02,0,0,139.16498220406018,3588.913372703708,False,12,10.867126909902462,7177.826745407416
12,2020-02-03,0,0,139.16498220406018,3588.913372703708,False,13,11.435366504103815,7177.826745407416
13,2020-02-04,0,0,139.16498220406018,3588.913372703708,False,14,12.03326932933457,7177.826745407416
14,2020-02-05,0,0,139.16498220406018,3588.913372703708,False,15,12.662378512406828,7177.826745407416
15,2020-02-06,0,0,139.16498220406018,3588.913372703708,False,16,13.324316881782561,7177.826745407416
16,2020-02-07,0,0,139.16498220406018,3588.913372703708,False,17,14.020791022489815,7177.826745407416
17,2020-02-08,0,0,139.16498220406018,3588.913372703708,False,18,14.753595530703862,7177.826745407416
18,2020-02-09,0,0,139.16498220406018,3588.913372703708,False,19,15.524617477104796,7177.826745407416
19,2020-02-10,0,0,139.16498220406018,3588.913372703708,False,20,16.335841088458835,7177.826745407416
20,2020-02-11,0,0,139.16498220406018,3588.913372703708,False,21,17.189352657209383,7177.826745407416
