,Report_Date,Canada_recovered_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,20.9552430248445,5.539348498137201e-06,True,1,6.644636288956911e-10,1.107869699627433e-05
1,2020-01-23,0,20.9552430248445,5.539348498137201e-06,True,2,1.081503436350126e-09,1.107869699627433e-05
2,2020-01-24,0,20.9552430248445,5.539348498137201e-06,True,3,1.7602499166427624e-09,1.107869699627433e-05
3,2020-01-25,0,20.9552430248445,5.539348498137201e-06,True,4,2.864864336708452e-09,1.107869699627433e-05
4,2020-01-26,0,20.9552430248445,5.539348498137201e-06,True,5,4.662368684044407e-09,1.107869699627433e-05
5,2020-01-27,0,20.9552430248445,5.539348498137201e-06,True,6,7.586910216870391e-09,1.107869699627433e-05
6,2020-01-28,0,20.9552430248445,5.539348498137201e-06,True,7,1.2343870004383241e-08,1.107869699627433e-05
7,2020-01-29,0,20.9552430248445,5.539348498137201e-06,True,8,2.0078013856548284e-08,1.107869699627433e-05
8,2020-01-30,0,20.9552430248445,5.539348498137201e-06,True,9,3.264374875617798e-08,1.107869699627433e-05
9,2020-01-31,0,20.9552430248445,5.539348498137201e-06,True,10,5.3035976550781286e-08,1.107869699627433e-05
10,2020-02-01,0,20.9552430248445,5.539348498137201e-06,True,11,8.606777050009091e-08,1.107869699627433e-05
11,2020-02-02,0,20.9552430248445,5.539348498137201e-06,True,12,1.394122511431767e-07,1.107869699627433e-05
12,2020-02-03,0,20.9552430248445,5.539348498137201e-06,True,13,2.2514227631346015e-07,1.107869699627433e-05
13,2020-02-04,0,20.9552430248445,5.539348498137201e-06,True,14,3.618472158136145e-07,1.107869699627433e-05
14,2020-02-05,0,20.9552430248445,5.539348498137201e-06,True,15,5.771445984215289e-07,1.107869699627433e-05
15,2020-02-06,0,20.9552430248445,5.539348498137201e-06,True,16,9.096694218076295e-07,1.107869699627433e-05
16,2020-02-07,0,20.9552430248445,5.539348498137201e-06,True,17,1.4080915029965847e-06,1.107869699627433e-05
17,2020-02-08,0,20.9552430248445,5.539348498137201e-06,True,18,2.1226034731670468e-06,1.107869699627433e-05
18,2020-02-09,0,20.9552430248445,5.539348498137201e-06,True,19,3.0840560054357936e-06,1.107869699627433e-05
19,2020-02-10,0,20.9552430248445,5.539348498137201e-06,True,20,4.273217870377051e-06,1.107869699627433e-05
20,2020-02-11,0,20.9552430248445,5.539348498137201e-06,True,21,5.599736162081245e-06,1.107869699627433e-05
21,2020-02-12,0,20.9552430248445,5.539348498137201e-06,True,22,6.919363536719597e-06,1.107869699627433e-05
22,2020-02-13,0,20.9552430248445,5.539348498137201e-06,True,23,8.090747767795021e-06,1.107869699627433e-05
23,2020-02-14,0,20.9552430248445,5.539348498137201e-06,True,24,9.02991721050897e-06,1.107869699627433e-05
24,2020-02-15,0,20.9552430248445,5.539348498137201e-06,True,25,9.723339335450914e-06,1.107869699627433e-05
25,2020-02-16,0,20.9552430248445,5.539348498137201e-06,True,26,1.0204782051057422e-05,1.107869699627433e-05
26,2020-02-17,0,20.9552430248445,5.539348498137201e-06,True,27,1.0524948726809112e-05,1.107869699627433e-05
27,2020-02-18,0,20.9552430248445,5.539348498137201e-06,True,28,1.073180666600819e-05,1.107869699627433e-05
28,2020-02-19,0,20.9552430248445,5.539348498137201e-06,True,29,1.0862974676837622e-05,1.107869699627433e-05
29,2020-02-20,0,20.9552430248445,5.539348498137201e-06,True,30,1.0945161887676171e-05,1.107869699627433e-05
30,2020-02-21,0,20.9552430248445,5.539348498137201e-06,True,31,1.0996274491735176e-05,1.107869699627433e-05
31,2020-02-22,0,20.9552430248445,5.539348498137201e-06,True,32,1.102791373873946e-05,1.107869699627433e-05
32,2020-02-23,0,20.9552430248445,5.539348498137201e-06,True,33,1.1047442255884654e-05,1.107869699627433e-05
33,2020-02-24,0,20.9552430248445,5.539348498137201e-06,True,34,1.105947424274297e-05,1.107869699627433e-05
34,2020-02-25,0,20.9552430248445,5.539348498137201e-06,True,35,1.1066879288424481e-05,1.107869699627433e-05
35,2020-02-26,0,20.9552430248445,5.539348498137201e-06,True,36,1.1071433614077458e-05,1.107869699627433e-05
36,2020-02-27,0,20.9552430248445,5.539348498137201e-06,True,37,1.1074233494893377e-05,1.107869699627433e-05
37,2020-02-28,0,20.9552430248445,5.539348498137201e-06,True,38,1.1075954348007296e-05,1.107869699627433e-05
38,2020-02-29,0,20.9552430248445,5.539348498137201e-06,True,39,1.1077011846376847e-05,1.107869699627433e-05
39,2020-03-01,0,20.9552430248445,5.539348498137201e-06,True,40,1.1077661637247696e-05,1.107869699627433e-05
40,2020-03-02,0,20.9552430248445,5.539348498137201e-06,True,41,1.1078060884277049e-05,1.107869699627433e-05
41,2020-03-03,0,20.9552430248445,5.539348498137201e-06,True,42,1.107830618222898e-05,1.107869699627433e-05
42,2020-03-04,0,20.9552430248445,5.539348498137201e-06,True,43,1.1078456890263847e-05,1.107869699627433e-05
43,2020-03-05,0,20.9552430248445,5.539348498137201e-06,True,44,1.1078549482144487e-05,1.107869699627433e-05
44,2020-03-06,0,20.9552430248445,5.539348498137201e-06,True,45,1.1078606368187498e-05,1.107869699627433e-05
45,2020-03-07,0,20.9552430248445,5.539348498137201e-06,True,46,1.1078641317310788e-05,1.107869699627433e-05
46,2020-03-08,0,20.9552430248445,5.539348498137201e-06,True,47,1.1078662788962702e-05,1.107869699627433e-05
