,Report_Date,Burundi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.44492915704093,3.9638938892639395,True,1,9.147477003509967e-05,7.155426249323818
1,2020-01-23,0,80.44492915704093,3.9638938892639395,True,2,0.00010554918322934541,7.155426249323818
2,2020-01-24,0,80.44492915704093,3.9638938892639395,True,3,0.00012178906853734005,7.155426249323818
3,2020-01-25,0,80.44492915704093,3.9638938892639395,True,4,0.00014052759184281983,7.155426249323818
4,2020-01-26,0,80.44492915704093,3.9638938892639395,True,5,0.00016214917417793352,7.155426249323818
5,2020-01-27,0,80.44492915704093,3.9638938892639395,True,6,0.00018709737574436068,7.155426249323818
6,2020-01-28,0,80.44492915704093,3.9638938892639395,True,7,0.00021588399224627708,7.155426249323818
7,2020-01-29,0,80.44492915704093,3.9638938892639395,True,8,0.00024909954981721706,7.155426249323818
8,2020-01-30,0,80.44492915704093,3.9638938892639395,True,9,0.00028742541340262914,7.155426249323818
9,2020-01-31,0,80.44492915704093,3.9638938892639395,True,10,0.0003316477564098046,7.155426249323818
10,2020-02-01,0,80.44492915704093,3.9638938892639395,True,11,0.0003826736774202722,7.155426249323818
11,2020-02-02,0,80.44492915704093,3.9638938892639395,True,12,0.000441549793539157,7.155426249323818
12,2020-02-03,0,80.44492915704093,3.9638938892639395,True,13,0.0005094836904072256,7.155426249323818
13,2020-02-04,0,80.44492915704093,3.9638938892639395,True,14,0.0005878686670296546,7.155426249323818
14,2020-02-05,0,80.44492915704093,3.9638938892639395,True,15,0.0006783122805339064,7.155426249323818
15,2020-02-06,0,80.44492915704093,3.9638938892639395,True,16,0.0007826692730784273,7.155426249323818
16,2020-02-07,0,80.44492915704093,3.9638938892639395,True,17,0.0009030795519059735,7.155426249323818
17,2020-02-08,0,80.44492915704093,3.9638938892639395,True,18,0.001042011995698018,7.155426249323818
18,2020-02-09,0,80.44492915704093,3.9638938892639395,True,19,0.0012023149779115526,7.155426249323818
19,2020-02-10,0,80.44492915704093,3.9638938892639395,True,20,0.0013872746329123729,7.155426249323818
20,2020-02-11,0,80.44492915704093,3.9638938892639395,True,21,0.0016006820460119666,7.155426249323818
21,2020-02-12,0,80.44492915704093,3.9638938892639395,True,22,0.0018469107268617245,7.155426249323818
22,2020-02-13,0,80.44492915704093,3.9638938892639395,True,23,0.0021310059303280646,7.155426249323818
23,2020-02-14,0,80.44492915704093,3.9638938892639395,True,24,0.002458787623646753,7.155426249323818
24,2020-02-15,0,80.44492915704093,3.9638938892639395,True,25,0.0028369691674608867,7.155426249323818
25,2020-02-16,0,80.44492915704093,3.9638938892639395,True,26,0.0032732940858853764,7.155426249323818
26,2020-02-17,0,80.44492915704093,3.9638938892639395,True,27,0.0037766936521064017,7.155426249323818
27,2020-02-18,0,80.44492915704093,3.9638938892639395,True,28,0.004357468416813025,7.155426249323818
28,2020-02-19,0,80.44492915704093,3.9638938892639395,True,29,0.005027497263051593,7.155426249323818
29,2020-02-20,0,80.44492915704093,3.9638938892639395,True,30,0.005800478089412413,7.155426249323818
30,2020-02-21,0,80.44492915704093,3.9638938892639395,True,31,0.006692204810668865,7.155426249323818
31,2020-02-22,0,80.44492915704093,3.9638938892639395,True,32,0.007720886028146419,7.155426249323818
32,2020-02-23,0,80.44492915704093,3.9638938892639395,True,33,0.008907511468195595,7.155426249323818
33,2020-02-24,0,80.44492915704093,3.9638938892639395,True,34,0.010276273122736249,7.155426249323818
34,2020-02-25,0,80.44492915704093,3.9638938892639395,True,35,0.011855048956506837,7.155426249323818
35,2020-02-26,0,80.44492915704093,3.9638938892639395,True,36,0.01367595807521093,7.155426249323818
36,2020-02-27,0,80.44492915704093,3.9638938892639395,True,37,0.015775997378183908,7.155426249323818
37,2020-02-28,0,80.44492915704093,3.9638938892639395,True,38,0.01819777094515412,7.155426249323818
38,2020-02-29,0,80.44492915704093,3.9638938892639395,True,39,0.02099032471943367,7.155426249323818
39,2020-03-01,0,80.44492915704093,3.9638938892639395,True,40,0.024210100430648307,7.155426249323818
40,2020-03-02,0,80.44492915704093,3.9638938892639395,True,41,0.02792202411739352,7.155426249323818
41,2020-03-03,0,80.44492915704093,3.9638938892639395,True,42,0.03220074601498512,7.155426249323818
42,2020-03-04,0,80.44492915704093,3.9638938892639395,True,43,0.03713204989304338,7.155426249323818
43,2020-03-05,0,80.44492915704093,3.9638938892639395,True,44,0.04281445105756139,7.155426249323818
44,2020-03-06,0,80.44492915704093,3.9638938892639395,True,45,0.04936100302597529,7.155426249323818
45,2020-03-07,0,80.44492915704093,3.9638938892639395,True,46,0.05690133314046514,7.155426249323818
46,2020-03-08,0,80.44492915704093,3.9638938892639395,True,47,0.06558392683266834,7.155426249323818
47,2020-03-09,0,80.44492915704093,3.9638938892639395,True,48,0.07557867853110047,7.155426249323818
48,2020-03-10,0,80.44492915704093,3.9638938892639395,True,49,0.08707972383803012,7.155426249323818
49,2020-03-11,0,80.44492915704093,3.9638938892639395,True,50,0.100308561985737,7.155426249323818
50,2020-03-12,0,80.44492915704093,3.9638938892639395,True,51,0.1155174689399907,7.155426249323818
51,2020-03-13,0,80.44492915704093,3.9638938892639395,True,52,0.13299318888922193,7.155426249323818
52,2020-03-14,0,80.44492915704093,3.9638938892639395,True,53,0.1530608740702042,7.155426249323818
53,2020-03-15,0,80.44492915704093,3.9638938892639395,True,54,0.17608821854812326,7.155426249323818
54,2020-03-16,0,80.44492915704093,3.9638938892639395,True,55,0.20248969910544598,7.155426249323818
55,2020-03-17,0,80.44492915704093,3.9638938892639395,True,56,0.23273079407610245,7.155426249323818
56,2020-03-18,0,80.44492915704093,3.9638938892639395,True,57,0.2673319970521099,7.155426249323818
57,2020-03-19,0,80.44492915704093,3.9638938892639395,True,58,0.3068723753620667,7.155426249323818
58,2020-03-20,0,80.44492915704093,3.9638938892639395,True,59,0.3519923421192407,7.155426249323818
59,2020-03-21,0,80.44492915704093,3.9638938892639395,True,60,0.4033952156195071,7.155426249323818
60,2020-03-22,0,80.44492915704093,3.9638938892639395,True,61,0.46184703297489427,7.155426249323818
61,2020-03-23,0,80.44492915704093,3.9638938892639395,True,62,0.5281739710305434,7.155426249323818
62,2020-03-24,0,80.44492915704093,3.9638938892639395,True,63,0.6032566159032634,7.155426249323818
63,2020-03-25,0,80.44492915704093,3.9638938892639395,True,64,0.6880202274795132,7.155426249323818
64,2020-03-26,0,80.44492915704093,3.9638938892639395,True,65,0.7834200882737036,7.155426249323818
65,2020-03-27,0,80.44492915704093,3.9638938892639395,True,66,0.8904210360323235,7.155426249323818
66,2020-03-28,0,80.44492915704093,3.9638938892639395,True,67,1.0099703922733232,7.155426249323818
67,2020-03-29,0,80.44492915704093,3.9638938892639395,True,68,1.1429637549634075,7.155426249323818
68,2020-03-30,0,80.44492915704093,3.9638938892639395,True,69,1.2902035620096663,7.155426249323818
69,2020-03-31,2,80.44492915704093,3.9638938892639395,True,70,1.4523509817609592,7.155426249323818
70,2020-04-01,2,80.44492915704093,3.9638938892639395,True,71,1.6298725516664343,7.155426249323818
71,2020-04-02,3,80.44492915704093,3.9638938892639395,True,72,1.8229840306028045,7.155426249323818
72,2020-04-03,3,80.44492915704093,3.9638938892639395,True,73,2.031595062311718,7.155426249323818
73,2020-04-04,3,80.44492915704093,3.9638938892639395,True,74,2.2552593105177774,7.155426249323818
74,2020-04-05,3,80.44492915704093,3.9638938892639395,True,75,2.4931355054464683,7.155426249323818
75,2020-04-06,3,80.44492915704093,3.9638938892639395,True,76,2.743965089869283,7.155426249323818
76,2020-04-07,3,80.44492915704093,3.9638938892639395,True,77,3.0060716436034016,7.155426249323818
77,2020-04-08,3,80.44492915704093,3.9638938892639395,True,78,3.2773858612619184,7.155426249323818
78,2020-04-09,3,80.44492915704093,3.9638938892639395,True,79,3.555497581725175,7.155426249323818
79,2020-04-10,3,80.44492915704093,3.9638938892639395,True,80,3.8377334472148026,7.155426249323818
80,2020-04-11,5,80.44492915704093,3.9638938892639395,True,81,4.121255631337487,7.155426249323818
81,2020-04-12,5,80.44492915704093,3.9638938892639395,True,82,4.40317427127092,7.155426249323818
82,2020-04-13,5,80.44492915704093,3.9638938892639395,True,83,4.680664319599936,7.155426249323818
83,2020-04-14,5,80.44492915704093,3.9638938892639395,True,84,4.951076897240841,7.155426249323818
84,2020-04-15,5,80.44492915704093,3.9638938892639395,True,85,5.212036016714291,7.155426249323818
85,2020-04-16,5,80.44492915704093,3.9638938892639395,True,86,5.46151358566869,7.155426249323818
