,Report_Date,China_hunan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,12.907954756047863,508.99029454344856,True,1,32.92916719055548,1017.9805888031634
1,2020-01-23,9,12.907954756047863,508.99029454344856,True,2,43.34171563084859,1017.9805888031634
2,2020-01-24,24,12.907954756047863,508.99029454344856,True,3,56.85677613663521,1017.9805888031634
3,2020-01-25,43,12.907954756047863,508.99029454344856,True,4,74.26505728897212,1017.9805888031634
4,2020-01-26,69,12.907954756047863,508.99029454344856,True,5,96.4683900461653,1017.9805888031634
5,2020-01-27,100,12.907954756047863,508.99029454344856,True,6,124.43465526496334,1017.9805888031634
6,2020-01-28,143,12.907954756047863,508.99029454344856,True,7,159.10853045825576,1017.9805888031634
7,2020-01-29,221,12.907954756047863,508.99029454344856,True,8,201.26801247653307,1017.9805888031634
8,2020-01-30,277,12.907954756047863,508.99029454344856,True,9,251.32964318844446,1017.9805888031634
9,2020-01-31,332,12.907954756047863,508.99029454344856,True,10,309.13005640051756,1017.9805888031634
10,2020-02-01,389,12.907954756047863,508.99029454344856,True,11,373.74304402386053,1017.9805888031634
11,2020-02-02,463,12.907954756047863,508.99029454344856,True,12,443.41318097847204,1017.9805888031634
12,2020-02-03,521,12.907954756047863,508.99029454344856,True,13,515.6750404593671,1017.9805888031634
13,2020-02-04,593,12.907954756047863,508.99029454344856,True,14,587.6683826340244,1017.9805888031634
14,2020-02-05,661,12.907954756047863,508.99029454344856,True,15,656.5748424726752,1017.9805888031634
15,2020-02-06,711,12.907954756047863,508.99029454344856,True,16,720.0413380149935,1017.9805888031634
16,2020-02-07,772,12.907954756047863,508.99029454344856,True,17,776.462250032958,1017.9805888031634
17,2020-02-08,803,12.907954756047863,508.99029454344856,True,18,825.0613695256446,1017.9805888031634
18,2020-02-09,838,12.907954756047863,508.99029454344856,True,19,865.7979020890639,1017.9805888031634
19,2020-02-10,879,12.907954756047863,508.99029454344856,True,20,899.1712435005927,1017.9805888031634
20,2020-02-11,912,12.907954756047863,508.99029454344856,True,21,926.0033771536314,1017.9805888031634
