,Report_Date,Mauritania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.60538825906555,5.1598874496918015,True,1,0.00012175831225931355,9.304653245026149
1,2020-01-23,0,69.60538825906555,5.1598874496918015,True,2,0.00014365846351701927,9.304653245026149
2,2020-01-24,0,69.60538825906555,5.1598874496918015,True,3,0.00016949763740596645,9.304653245026149
3,2020-01-25,0,69.60538825906555,5.1598874496918015,True,4,0.00019998429221784882,9.304653245026149
4,2020-01-26,0,69.60538825906555,5.1598874496918015,True,5,0.00023595429703153302,9.304653245026149
5,2020-01-27,0,69.60538825906555,5.1598874496918015,True,6,0.00027839384166586037,9.304653245026149
6,2020-01-28,0,69.60538825906555,5.1598874496918015,True,7,0.0003284664645815211,9.304653245026149
7,2020-01-29,0,69.60538825906555,5.1598874496918015,True,8,0.0003875449383131692,9.304653245026149
8,2020-01-30,0,69.60538825906555,5.1598874496918015,True,9,0.0004572488846061509,9.304653245026149
9,2020-01-31,0,69.60538825906555,5.1598874496918015,True,10,0.0005394891477046662,9.304653245026149
10,2020-02-01,0,69.60538825906555,5.1598874496918015,True,11,0.0006365201383823891,9.304653245026149
11,2020-02-02,0,69.60538825906555,5.1598874496918015,True,12,0.0007510015782430767,9.304653245026149
12,2020-02-03,0,69.60538825906555,5.1598874496918015,True,13,0.0008860713293167794,9.304653245026149
13,2020-02-04,0,69.60538825906555,5.1598874496918015,True,14,0.0010454312947934617,9.304653245026149
14,2020-02-05,0,69.60538825906555,5.1598874496918015,True,15,0.001233448730771733,9.304653245026149
15,2020-02-06,0,69.60538825906555,5.1598874496918015,True,16,0.0014552757253811883,9.304653245026149
16,2020-02-07,0,69.60538825906555,5.1598874496918015,True,17,0.0017169900913113236,9.304653245026149
17,2020-02-08,0,69.60538825906555,5.1598874496918015,True,18,0.002025761493141583,9.304653245026149
18,2020-02-09,0,69.60538825906555,5.1598874496918015,True,19,0.002390047306394217,9.304653245026149
19,2020-02-10,0,69.60538825906555,5.1598874496918015,True,20,0.0028198234976425417,9.304653245026149
20,2020-02-11,0,69.60538825906555,5.1598874496918015,True,21,0.0033268567435215837,9.304653245026149
21,2020-02-12,0,69.60538825906555,5.1598874496918015,True,22,0.003925025093080077,9.304653245026149
22,2020-02-13,0,69.60538825906555,5.1598874496918015,True,23,0.004630695747535299,9.304653245026149
23,2020-02-14,0,69.60538825906555,5.1598874496918015,True,24,0.005463170012235192,9.304653245026149
24,2020-02-15,0,69.60538825906555,5.1598874496918015,True,25,0.006445207198767122,9.304653245026149
25,2020-02-16,0,69.60538825906555,5.1598874496918015,True,26,0.007603641254985151,9.304653245026149
26,2020-02-17,0,69.60538825906555,5.1598874496918015,True,27,0.008970106214152082,9.304653245026149
27,2020-02-18,0,69.60538825906555,5.1598874496918015,True,28,0.01058188921999164,9.304653245026149
28,2020-02-19,0,69.60538825906555,5.1598874496918015,True,29,0.012482932940920614,9.304653245026149
29,2020-02-20,0,69.60538825906555,5.1598874496918015,True,30,0.014725012670349005,9.304653245026149
30,2020-02-21,0,69.60538825906555,5.1598874496918015,True,31,0.0173691173505865,9.304653245026149
31,2020-02-22,0,69.60538825906555,5.1598874496918015,True,32,0.020487068173158752,9.304653245026149
32,2020-02-23,0,69.60538825906555,5.1598874496918015,True,33,0.02416341329479923,9.304653245026149
33,2020-02-24,0,69.60538825906555,5.1598874496918015,True,34,0.02849764252912546,9.304653245026149
34,2020-02-25,0,69.60538825906555,5.1598874496918015,True,35,0.03360677154089124,9.304653245026149
35,2020-02-26,0,69.60538825906555,5.1598874496918015,True,36,0.0396283509186406,9.304653245026149
36,2020-02-27,0,69.60538825906555,5.1598874496918015,True,37,0.046723961258470066,9.304653245026149
37,2020-02-28,0,69.60538825906555,5.1598874496918015,True,38,0.05508326062606908,9.304653245026149
38,2020-02-29,0,69.60538825906555,5.1598874496918015,True,39,0.06492865482779832,9.304653245026149
39,2020-03-01,0,69.60538825906555,5.1598874496918015,True,40,0.07652066286647072,9.304653245026149
40,2020-03-02,0,69.60538825906555,5.1598874496918015,True,41,0.09016404843200623,9.304653245026149
41,2020-03-03,0,69.60538825906555,5.1598874496918015,True,42,0.10621478139458503,9.304653245026149
42,2020-03-04,0,69.60538825906555,5.1598874496918015,True,43,0.12508787844820599,9.304653245026149
43,2020-03-05,0,69.60538825906555,5.1598874496918015,True,44,0.1472661458397742,9.304653245026149
44,2020-03-06,0,69.60538825906555,5.1598874496918015,True,45,0.17330980498770035,9.304653245026149
45,2020-03-07,0,69.60538825906555,5.1598874496918015,True,46,0.2038669179727452,9.304653245026149
46,2020-03-08,0,69.60538825906555,5.1598874496918015,True,47,0.23968443724643484,9.304653245026149
47,2020-03-09,0,69.60538825906555,5.1598874496918015,True,48,0.2816195740205614,9.304653245026149
48,2020-03-10,0,69.60538825906555,5.1598874496918015,True,49,0.33065100330187763,9.304653245026149
49,2020-03-11,0,69.60538825906555,5.1598874496918015,True,50,0.38788919098150115,9.304653245026149
50,2020-03-12,0,69.60538825906555,5.1598874496918015,True,51,0.45458483198401556,9.304653245026149
51,2020-03-13,0,69.60538825906555,5.1598874496918015,True,52,0.532134024995585,9.304653245026149
52,2020-03-14,1,69.60538825906555,5.1598874496918015,True,53,0.6220783846141207,9.304653245026149
53,2020-03-15,1,69.60538825906555,5.1598874496918015,True,54,0.7260978274489466,9.304653245026149
54,2020-03-16,1,69.60538825906555,5.1598874496918015,True,55,0.8459933104876781,9.304653245026149
