,Report_Date,China_xinjiang_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,16.467216607341626,38.24287481400965,True,1,2.0976876196726746,76.48574634822934
1,2020-01-23,2,16.467216607341626,38.24287481400965,True,2,2.623357822939189,76.48574634822934
2,2020-01-24,2,16.467216607341626,38.24287481400965,True,3,3.2749589216174106,76.48574634822934
3,2020-01-25,3,16.467216607341626,38.24287481400965,True,4,4.0794686073117745,76.48574634822934
4,2020-01-26,4,16.467216607341626,38.24287481400965,True,5,5.067929213959158,76.48574634822934
5,2020-01-27,5,16.467216607341626,38.24287481400965,True,6,6.275138239443716,76.48574634822934
6,2020-01-28,10,16.467216607341626,38.24287481400965,True,7,7.738751103513311,76.48574634822934
7,2020-01-29,13,16.467216607341626,38.24287481400965,True,8,9.497558598502717,76.48574634822934
8,2020-01-30,14,16.467216607341626,38.24287481400965,True,9,11.588712655703779,76.48574634822934
9,2020-01-31,17,16.467216607341626,38.24287481400965,True,10,14.043766713468626,76.48574634822934
10,2020-02-01,18,16.467216607341626,38.24287481400965,True,11,16.88361162953018,76.48574634822934
11,2020-02-02,21,16.467216607341626,38.24287481400965,True,12,20.11274311799854,76.48574634822934
12,2020-02-03,24,16.467216607341626,38.24287481400965,True,13,23.713750657500864,76.48574634822934
13,2020-02-04,29,16.467216607341626,38.24287481400965,True,14,27.643334489711926,76.48574634822934
14,2020-02-05,32,16.467216607341626,38.24287481400965,True,15,31.831311037970842,76.48574634822934
15,2020-02-06,36,16.467216607341626,38.24287481400965,True,16,36.18372838429439,76.48574634822934
16,2020-02-07,39,16.467216607341626,38.24287481400965,True,17,40.59030956385862,76.48574634822934
17,2020-02-08,42,16.467216607341626,38.24287481400965,True,18,44.93519685133871,76.48574634822934
18,2020-02-09,45,16.467216607341626,38.24287481400965,True,19,49.1088811599543,76.48574634822934
19,2020-02-10,49,16.467216607341626,38.24287481400965,True,20,53.01878546742029,76.48574634822934
20,2020-02-11,55,16.467216607341626,38.24287481400965,True,21,56.59644181877484,76.48574634822934
21,2020-02-12,59,16.467216607341626,38.24287481400965,True,22,59.80031817809321,76.48574634822934
22,2020-02-13,63,16.467216607341626,38.24287481400965,True,23,62.61458677095214,76.48574634822934
23,2020-02-14,65,16.467216607341626,38.24287481400965,True,24,65.0449956539416,76.48574634822934
24,2020-02-15,70,16.467216607341626,38.24287481400965,True,25,67.113306781017,76.48574634822934
25,2020-02-16,71,16.467216607341626,38.24287481400965,True,26,68.85158515988384,76.48574634822934
26,2020-02-17,75,16.467216607341626,38.24287481400965,True,27,70.29719838682529,76.48574634822934
27,2020-02-18,76,16.467216607341626,38.24287481400965,True,28,71.48893533619938,76.48574634822934
28,2020-02-19,76,16.467216607341626,38.24287481400965,True,29,72.46430654928943,76.48574634822934
29,2020-02-20,76,16.467216607341626,38.24287481400965,True,30,73.25788318961972,76.48574634822934
30,2020-02-21,76,16.467216607341626,38.24287481400965,True,31,73.90044542334675,76.48574634822934
31,2020-02-22,76,16.467216607341626,38.24287481400965,True,32,74.41870380920668,76.48574634822934
32,2020-02-23,76,16.467216607341626,38.24287481400965,True,33,74.83539058464716,76.48574634822934
33,2020-02-24,76,16.467216607341626,38.24287481400965,True,34,75.16956489300482,76.48574634822934
34,2020-02-25,76,16.467216607341626,38.24287481400965,True,35,75.43702189287139,76.48574634822934
35,2020-02-26,76,16.467216607341626,38.24287481400965,True,36,75.65073368301124,76.48574634822934
36,2020-02-27,76,16.467216607341626,38.24287481400965,True,37,75.82127847270904,76.48574634822934
37,2020-02-28,76,16.467216607341626,38.24287481400965,True,38,75.95723431046072,76.48574634822934
38,2020-02-29,76,16.467216607341626,38.24287481400965,True,39,76.06552672567116,76.48574634822934
39,2020-03-01,76,16.467216607341626,38.24287481400965,True,40,76.1517276778099,76.48574634822934
40,2020-03-02,76,16.467216607341626,38.24287481400965,True,41,76.22030780556186,76.48574634822934
41,2020-03-03,76,16.467216607341626,38.24287481400965,True,42,76.27484631645258,76.48574634822934
42,2020-03-04,76,16.467216607341626,38.24287481400965,True,43,76.31820380555388,76.48574634822934
43,2020-03-05,76,16.467216607341626,38.24287481400965,True,44,76.35266341722979,76.48574634822934
44,2020-03-06,76,16.467216607341626,38.24287481400965,True,45,76.38004544185188,76.48574634822934
