,Report_Date,Cuba_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.16651081781342,1071.0724026366397,False,1,0.024409268629421214,2142.14480527328
1,2020-01-23,0,88.16651081781342,1071.0724026366397,False,2,0.027814096157711674,2142.14480527328
2,2020-01-24,0,88.16651081781342,1071.0724026366397,False,3,0.031693853072489876,2142.14480527328
3,2020-01-25,0,88.16651081781342,1071.0724026366397,False,4,0.03611478378116866,2142.14480527328
4,2020-01-26,0,88.16651081781342,1071.0724026366397,False,5,0.04115237201054144,2142.14480527328
5,2020-01-27,0,88.16651081781342,1071.0724026366397,False,6,0.046892629257437236,2142.14480527328
6,2020-01-28,0,88.16651081781342,1071.0724026366397,False,7,0.05343356286192436,2142.14480527328
7,2020-01-29,0,88.16651081781342,1071.0724026366397,False,8,0.060886848727556724,2142.14480527328
8,2020-01-30,0,88.16651081781342,1071.0724026366397,False,9,0.06937973719453061,2142.14480527328
9,2020-01-31,0,88.16651081781342,1071.0724026366397,False,10,0.07905722453583505,2142.14480527328
10,2020-02-01,0,88.16651081781342,1071.0724026366397,False,11,0.09008452706005798,2142.14480527328
11,2020-02-02,0,88.16651081781342,1071.0724026366397,False,12,0.10264989994300873,2142.14480527328
12,2020-02-03,0,88.16651081781342,1071.0724026366397,False,13,0.11696784875951013,2142.14480527328
13,2020-02-04,0,88.16651081781342,1071.0724026366397,False,14,0.13328278834392024,2142.14480527328
14,2020-02-05,0,88.16651081781342,1071.0724026366397,False,15,0.15187321118352592,2142.14480527328
15,2020-02-06,0,88.16651081781342,1071.0724026366397,False,16,0.17305643616795452,2142.14480527328
16,2020-02-07,0,88.16651081781342,1071.0724026366397,False,17,0.19719401832176475,2142.14480527328
17,2020-02-08,0,88.16651081781342,1071.0724026366397,False,18,0.2246979112965542,2142.14480527328
18,2020-02-09,0,88.16651081781342,1071.0724026366397,False,19,0.2560374870742203,2142.14480527328
19,2020-02-10,0,88.16651081781342,1071.0724026366397,False,20,0.2917475317386622,2142.14480527328
20,2020-02-11,0,88.16651081781342,1071.0724026366397,False,21,0.3324373525393272,2142.14480527328
21,2020-02-12,0,88.16651081781342,1071.0724026366397,False,22,0.3788011500554972,2142.14480527328
22,2020-02-13,0,88.16651081781342,1071.0724026366397,False,23,0.43162983036573493,2142.14480527328
23,2020-02-14,0,88.16651081781342,1071.0724026366397,False,24,0.4918244560580752,2142.14480527328
24,2020-02-15,0,88.16651081781342,1071.0724026366397,False,25,0.5604115620471104,2142.14480527328
25,2020-02-16,0,88.16651081781342,1071.0724026366397,False,26,0.6385605928991201,2142.14480527328
26,2020-02-17,0,88.16651081781342,1071.0724026366397,False,27,0.7276037531552022,2142.14480527328
27,2020-02-18,0,88.16651081781342,1071.0724026366397,False,28,0.8290586014811819,2142.14480527328
28,2020-02-19,0,88.16651081781342,1071.0724026366397,False,29,0.9446537639068833,2142.14480527328
29,2020-02-20,0,88.16651081781342,1071.0724026366397,False,30,1.0763581915406668,2142.14480527328
30,2020-02-21,0,88.16651081781342,1071.0724026366397,False,31,1.2264144446011636,2142.14480527328
31,2020-02-22,0,88.16651081781342,1071.0724026366397,False,32,1.3973765480855815,2142.14480527328
32,2020-02-23,0,88.16651081781342,1071.0724026366397,False,33,1.5921530356204625,2142.14480527328
33,2020-02-24,0,88.16651081781342,1071.0724026366397,False,34,1.8140558777717055,2142.14480527328
34,2020-02-25,0,88.16651081781342,1071.0724026366397,False,35,2.0668560800918376,2142.14480527328
35,2020-02-26,0,88.16651081781342,1071.0724026366397,False,36,2.3548468352039893,2142.14480527328
36,2020-02-27,0,88.16651081781342,1071.0724026366397,False,37,2.6829152229612006,2142.14480527328
37,2020-02-28,0,88.16651081781342,1071.0724026366397,False,38,3.0566235737687752,2142.14480527328
38,2020-02-29,0,88.16651081781342,1071.0724026366397,False,39,3.48230174293185,2142.14480527328
39,2020-03-01,0,88.16651081781342,1071.0724026366397,False,40,3.967151688531425,2142.14480527328
40,2020-03-02,0,88.16651081781342,1071.0724026366397,False,41,4.519365901575993,2142.14480527328
41,2020-03-03,0,88.16651081781342,1071.0724026366397,False,42,5.148261404181417,2142.14480527328
42,2020-03-04,0,88.16651081781342,1071.0724026366397,False,43,5.8644312076524026,2142.14480527328
43,2020-03-05,0,88.16651081781342,1071.0724026366397,False,44,6.67991530482759,2142.14480527328
44,2020-03-06,0,88.16651081781342,1071.0724026366397,False,45,7.608393455677762,2142.14480527328
45,2020-03-07,0,88.16651081781342,1071.0724026366397,False,46,8.665402205712294,2142.14480527328
46,2020-03-08,0,88.16651081781342,1071.0724026366397,False,47,9.868578744463274,2142.14480527328
47,2020-03-09,0,88.16651081781342,1071.0724026366397,False,48,11.237934354021068,2142.14480527328
48,2020-03-10,0,88.16651081781342,1071.0724026366397,False,49,12.796160298799366,2142.14480527328
49,2020-03-11,0,88.16651081781342,1071.0724026366397,False,50,14.568969045401282,2142.14480527328
50,2020-03-12,3,88.16651081781342,1071.0724026366397,False,51,16.585473646681294,2142.14480527328
51,2020-03-13,4,88.16651081781342,1071.0724026366397,False,52,18.87860793923945,2142.14480527328
52,2020-03-14,4,88.16651081781342,1071.0724026366397,False,53,21.48558984041178,2142.14480527328
53,2020-03-15,4,88.16651081781342,1071.0724026366397,False,54,24.44842942826371,2142.14480527328
54,2020-03-16,4,88.16651081781342,1071.0724026366397,False,55,27.814482569856697,2142.14480527328
55,2020-03-17,5,88.16651081781342,1071.0724026366397,False,56,31.63704953522454,2142.14480527328
56,2020-03-18,7,88.16651081781342,1071.0724026366397,False,57,35.976016183375116,2142.14480527328
57,2020-03-19,11,88.16651081781342,1071.0724026366397,False,58,40.89853279732183,2142.14480527328
58,2020-03-20,16,88.16651081781342,1071.0724026366397,False,59,46.479722321449344,2142.14480527328
59,2020-03-21,21,88.16651081781342,1071.0724026366397,False,60,52.80340544124076,2142.14480527328
60,2020-03-22,35,88.16651081781342,1071.0724026366397,False,61,59.96282445442958,2142.14480527328
61,2020-03-23,40,88.16651081781342,1071.0724026366397,False,62,68.06134102470595,2142.14480527328
62,2020-03-24,48,88.16651081781342,1071.0724026366397,False,63,77.21307451363248,2142.14480527328
63,2020-03-25,57,88.16651081781342,1071.0724026366397,False,64,87.54343753253238,2142.14480527328
64,2020-03-26,67,88.16651081781342,1071.0724026366397,False,65,99.18951361811695,2142.14480527328
65,2020-03-27,80,88.16651081781342,1071.0724026366397,False,66,112.30020864626911,2142.14480527328
66,2020-03-28,119,88.16651081781342,1071.0724026366397,False,67,127.03609313244246,2142.14480527328
67,2020-03-29,139,88.16651081781342,1071.0724026366397,False,68,143.56883764525594,2142.14480527328
68,2020-03-30,170,88.16651081781342,1071.0724026366397,False,69,162.08012936898479,2142.14480527328
69,2020-03-31,186,88.16651081781342,1071.0724026366397,False,70,182.75994616908363,2142.14480527328
70,2020-04-01,212,88.16651081781342,1071.0724026366397,False,71,205.8040578198997,2142.14480527328
71,2020-04-02,233,88.16651081781342,1071.0724026366397,False,72,231.41062557511512,2142.14480527328
72,2020-04-03,269,88.16651081781342,1071.0724026366397,False,73,259.77578492672086,2142.14480527328
