,Report_Date,Azerbaijan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.24799078406434,928.4073780348898,True,1,0.02143238103788786,1753.7114603935684
1,2020-01-23,0,80.24799078406434,928.4073780348898,True,2,0.024738678944880552,1753.7114603935684
2,2020-01-24,0,80.24799078406434,928.4073780348898,True,3,0.028555019936533456,1753.7114603935684
3,2020-01-25,0,80.24799078406434,928.4073780348898,True,4,0.03296008274561738,1753.7114603935684
4,2020-01-26,0,80.24799078406434,928.4073780348898,True,5,0.03804468214071504,1753.7114603935684
5,2020-01-27,0,80.24799078406434,928.4073780348898,True,6,0.04391364059736832,1753.7114603935684
6,2020-01-28,0,80.24799078406434,928.4073780348898,True,7,0.05068794853064693,1753.7114603935684
7,2020-01-29,0,80.24799078406434,928.4073780348898,True,8,0.05850725754576062,1753.7114603935684
8,2020-01-30,0,80.24799078406434,928.4073780348898,True,9,0.06753275800188448,1753.7114603935684
9,2020-01-31,0,80.24799078406434,928.4073780348898,True,10,0.07795050007134006,1753.7114603935684
10,2020-02-01,0,80.24799078406434,928.4073780348898,True,11,0.08997522657123705,1753.7114603935684
11,2020-02-02,0,80.24799078406434,928.4073780348898,True,12,0.10385479633109175,1753.7114603935684
12,2020-02-03,0,80.24799078406434,928.4073780348898,True,13,0.11987528894859727,1753.7114603935684
13,2020-02-04,0,80.24799078406434,928.4073780348898,True,14,0.1383668957186659,1753.7114603935684
14,2020-02-05,0,80.24799078406434,928.4073780348898,True,15,0.15971071757577068,1753.7114603935684
15,2020-02-06,0,80.24799078406434,928.4073780348898,True,16,0.18434660938472247,1753.7114603935684
16,2020-02-07,0,80.24799078406434,928.4073780348898,True,17,0.2127822312146433,1753.7114603935684
17,2020-02-08,0,80.24799078406434,928.4073780348898,True,18,0.2456034917515396,1753.7114603935684
18,2020-02-09,0,80.24799078406434,928.4073780348898,True,19,0.2834865972219332,1753.7114603935684
19,2020-02-10,0,80.24799078406434,928.4073780348898,True,20,0.3272119516550974,1753.7114603935684
20,2020-02-11,0,80.24799078406434,928.4073780348898,True,21,0.3776801916202721,1753.7114603935684
21,2020-02-12,0,80.24799078406434,928.4073780348898,True,22,0.4359306814358809,1753.7114603935684
22,2020-02-13,0,80.24799078406434,928.4073780348898,True,23,0.5031628440492911,1753.7114603935684
