,Report_Date,Portugal_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,81.20157274968844,14746.787955856404,True,1,5.97858698295676,29422.244745907206
1,2020-01-23,0,0,81.20157274968844,14746.787955856404,True,2,6.64715327455317,29422.244745907206
2,2020-01-24,0,0,81.20157274968844,14746.787955856404,True,3,7.390464461707025,29422.244745907206
3,2020-01-25,0,0,81.20157274968844,14746.787955856404,True,4,8.216872507686166,29422.244745907206
4,2020-01-26,0,0,81.20157274968844,14746.787955856404,True,5,9.135661575794572,29422.244745907206
5,2020-01-27,0,0,81.20157274968844,14746.787955856404,True,6,10.157151829668962,29422.244745907206
6,2020-01-28,0,0,81.20157274968844,14746.787955856404,True,7,11.292814733437401,29422.244745907206
7,2020-01-29,0,0,81.20157274968844,14746.787955856404,True,8,12.55540111200752,29422.244745907206
8,2020-01-30,0,0,81.20157274968844,14746.787955856404,True,9,13.959083366594843,29422.244745907206
9,2020-01-31,0,0,81.20157274968844,14746.787955856404,True,10,15.519613389090335,29422.244745907206
10,2020-02-01,0,0,81.20157274968844,14746.787955856404,True,11,17.254497882191,29422.244745907206
11,2020-02-02,0,0,81.20157274968844,14746.787955856404,True,12,19.18319297162387,29422.244745907206
12,2020-02-03,0,0,81.20157274968844,14746.787955856404,True,13,21.327320193570287,29422.244745907206
13,2020-02-04,0,0,81.20157274968844,14746.787955856404,True,14,23.71090615585928,29422.244745907206
14,2020-02-05,0,0,81.20157274968844,14746.787955856404,True,15,26.36064840696224,29422.244745907206
15,2020-02-06,0,0,81.20157274968844,14746.787955856404,True,16,29.30621030357216,29422.244745907206
16,2020-02-07,0,0,81.20157274968844,14746.787955856404,True,17,32.580547946800706,29422.244745907206
17,2020-02-08,0,0,81.20157274968844,14746.787955856404,True,18,36.220272559853555,29422.244745907206
18,2020-02-09,0,0,81.20157274968844,14746.787955856404,True,19,40.26605200732036,29422.244745907206
19,2020-02-10,0,0,81.20157274968844,14746.787955856404,True,20,44.763055508508494,29422.244745907206
20,2020-02-11,0,0,81.20157274968844,14746.787955856404,True,21,49.7614459746988,29422.244745907206
21,2020-02-12,0,0,81.20157274968844,14746.787955856404,True,22,55.31692480236837,29422.244745907206
22,2020-02-13,0,0,81.20157274968844,14746.787955856404,True,23,61.491334380087594,29422.244745907206
23,2020-02-14,0,0,81.20157274968844,14746.787955856404,True,24,68.35332401372055,29422.244745907206
24,2020-02-15,0,0,81.20157274968844,14746.787955856404,True,25,75.97908543917093,29422.244745907206
25,2020-02-16,0,0,81.20157274968844,14746.787955856404,True,26,84.45316456895895,29422.244745907206
26,2020-02-17,0,0,81.20157274968844,14746.787955856404,True,27,93.86935660096741,29422.244745907206
27,2020-02-18,0,0,81.20157274968844,14746.787955856404,True,28,104.3316920946187,29422.244745907206
28,2020-02-19,0,0,81.20157274968844,14746.787955856404,True,29,115.95552207799993,29422.244745907206
29,2020-02-20,0,0,81.20157274968844,14746.787955856404,True,30,128.86871067128894,29422.244745907206
30,2020-02-21,0,0,81.20157274968844,14746.787955856404,True,31,143.21294407429122,29422.244745907206
31,2020-02-22,0,0,81.20157274968844,14746.787955856404,True,32,159.1451650396504,29422.244745907206
32,2020-02-23,0,0,81.20157274968844,14746.787955856404,True,33,176.83914210128077,29422.244745907206
33,2020-02-24,0,0,81.20157274968844,14746.787955856404,True,34,196.48718280335993,29422.244745907206
