,Report_Date,Portugal_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,0,0,81.20157274968844,14746.787955856404,True,35,218.3019999212024,29422.244745907206
35,2020-02-26,0,0,81.20157274968844,14746.787955856404,True,36,242.51873911057064,29422.244745907206
36,2020-02-27,0,0,81.20157274968844,14746.787955856404,True,37,269.3971754798761,29422.244745907206
37,2020-02-28,0,0,81.20157274968844,14746.787955856404,True,38,299.2240851454544,29422.244745907206
38,2020-02-29,0,0,81.20157274968844,14746.787955856404,True,39,332.3157957778514,29422.244745907206
39,2020-03-01,0,0,81.20157274968844,14746.787955856404,True,40,369.0209173273125,29422.244745907206
40,2020-03-02,2,2,81.20157274968844,14746.787955856404,True,41,409.72325035348354,29422.244745907206
41,2020-03-03,2,2,81.20157274968844,14746.787955856404,True,42,454.8448644731939,29422.244745907206
42,2020-03-04,5,5,81.20157274968844,14746.787955856404,True,43,504.8493331464719,29422.244745907206
43,2020-03-05,8,8,81.20157274968844,14746.787955856404,True,44,560.2451030799251,29422.244745907206
44,2020-03-06,13,13,81.20157274968844,14746.787955856404,True,45,621.5889666453925,29422.244745907206
45,2020-03-07,20,20,81.20157274968844,14746.787955856404,True,46,689.4895935744174,29422.244745907206
46,2020-03-08,30,30,81.20157274968844,14746.787955856404,True,47,764.6110634661812,29422.244745907206
47,2020-03-09,30,30,81.20157274968844,14746.787955856404,True,48,847.676323010596,29422.244745907206
48,2020-03-10,41,41,81.20157274968844,14746.787955856404,True,49,939.4704709773557,29422.244745907206
49,2020-03-11,59,59,81.20157274968844,14746.787955856404,True,50,1040.8437497133023,29422.244745907206
50,2020-03-12,59,59,81.20157274968844,14746.787955856404,True,51,1152.714093987819,29422.244745907206
51,2020-03-13,112,111,81.20157274968844,14746.787955856404,True,52,1276.0690565606797,29422.244745907206
52,2020-03-14,169,167,81.20157274968844,14746.787955856404,True,53,1411.966895098496,29422.244745907206
53,2020-03-15,245,243,81.20157274968844,14746.787955856404,True,54,1561.5365676616934,29422.244745907206
54,2020-03-16,331,328,81.20157274968844,14746.787955856404,True,55,1725.9763450171727,29422.244745907206
55,2020-03-17,448,444,81.20157274968844,14746.787955856404,True,56,1906.5507091972636,29422.244745907206
56,2020-03-18,448,443,81.20157274968844,14746.787955856404,True,57,2104.5851714645864,29422.244745907206
57,2020-03-19,785,779,81.20157274968844,14746.787955856404,True,58,2321.4586124847388,29422.244745907206
58,2020-03-20,1020,1009,81.20157274968844,14746.787955856404,True,59,2558.592727390413,29422.244745907206
59,2020-03-21,1280,1263,81.20157274968844,14746.787955856404,True,60,2817.4381539476394,29422.244745907206
60,2020-03-22,1600,1581,81.20157274968844,14746.787955856404,True,61,3099.456879652077,29422.244745907206
61,2020-03-23,2060,2032,81.20157274968844,14746.787955856404,True,62,3406.100570594792,29422.244745907206
62,2020-03-24,2362,2307,81.20157274968844,14746.787955856404,True,63,3738.784549122677,29422.244745907206
63,2020-03-25,2995,2930,81.20157274968844,14746.787955856404,True,64,4098.8572762845515,29422.244745907206
64,2020-03-26,3544,3441,81.20157274968844,14746.787955856404,True,65,4487.565375270298,29422.244745907206
65,2020-03-27,4268,4149,81.20157274968844,14746.787955856404,True,66,4906.014467561463,29422.244745907206
66,2020-03-28,5170,5027,81.20157274968844,14746.787955856404,True,67,5355.126384350369,29422.244745907206
67,2020-03-29,5962,5800,81.20157274968844,14746.787955856404,True,68,5835.5936562133065,29422.244745907206
68,2020-03-30,6408,6225,81.20157274968844,14746.787955856404,True,69,6347.832560814412,29422.244745907206
69,2020-03-31,7443,7240,81.20157274968844,14746.787955856404,True,70,6891.936399513318,29422.244745907206
70,2020-04-01,8251,8021,81.20157274968844,14746.787955856404,True,71,7467.631047732984,29422.244745907206
71,2020-04-02,9034,8757,81.20157274968844,14746.787955856404,True,72,8074.235140794089,29422.244745907206
72,2020-04-03,9886,9572,81.20157274968844,14746.787955856404,True,73,8710.62747050529,29422.244745907206
73,2020-04-04,10524,10183,81.20157274968844,14746.787955856404,True,74,9375.224230333006,29422.244745907206
74,2020-04-05,11278,10908,81.20157274968844,14746.787955856404,True,75,10065.96861538657,29422.244745907206
75,2020-04-06,11730,11279,81.20157274968844,14746.787955856404,True,76,10780.334927061467,29422.244745907206
76,2020-04-07,12442,11913,81.20157274968844,14746.787955856404,True,77,11515.348740599893,29422.244745907206
77,2020-04-08,13141,12565,81.20157274968844,14746.787955856404,True,78,12267.623883559465,29422.244745907206
78,2020-04-09,13956,13342,81.20157274968844,14746.787955856404,True,79,13033.4159911501,29422.244745907206
79,2020-04-10,15472,14804,81.20157274968844,14746.787955856404,True,80,13808.69132688107,29422.244745907206
80,2020-04-11,15987,15251,81.20157274968844,14746.787955856404,True,81,14589.208483091174,29422.244745907206
81,2020-04-12,16585,15804,81.20157274968844,14746.787955856404,True,82,15370.609616066358,29422.244745907206
82,2020-04-13,16934,16122,81.20157274968844,14746.787955856404,True,83,16148.517130899156,29422.244745907206
83,2020-04-14,17448,16534,81.20157274968844,14746.787955856404,True,84,16918.631298107484,29422.244745907206
84,2020-04-15,18091,17109,81.20157274968844,14746.787955856404,True,85,17676.824209240174,29422.244745907206
85,2020-04-16,18841,17719,81.20157274968844,14746.787955856404,True,86,18419.225771328176,29422.244745907206
86,2020-04-17,19022,17846,81.20157274968844,14746.787955856404,True,87,19142.298064765764,29422.244745907206
87,2020-04-18,19685,18388,81.20157274968844,14746.787955856404,True,88,19842.8952722619,29422.244745907206
88,2020-04-19,20206,18882,81.20157274968844,14746.787955856404,True,89,20518.3074278288,29422.244745907206
89,2020-04-20,20863,19518,81.20157274968844,14746.787955856404,True,90,21166.287323690398,29422.244745907206
90,2020-04-21,21379,19700,81.20157274968844,14746.787955856404,True,91,21785.060944188204,29422.244745907206
91,2020-04-22,21982,20054,81.20157274968844,14746.787955856404,True,92,22373.32268265336,29422.244745907206
92,2020-04-23,22353,20332,81.20157274968844,14746.787955856404,True,93,22930.21728062067,29422.244745907206
93,2020-04-24,22797,20715,81.20157274968844,14746.787955856404,True,94,23455.31088011002,29422.244745907206
94,2020-04-25,23392,21235,81.20157274968844,14746.787955856404,True,95,23948.55379919691,29422.244745907206
95,2020-04-26,23864,21632,81.20157274968844,14746.787955856404,True,96,24410.23765215273,29422.244745907206
96,2020-04-27,24027,21742,81.20157274968844,14746.787955856404,True,97,24840.949277102332,29422.244745907206
97,2020-04-28,24322,21985,81.20157274968844,14746.787955856404,True,98,25241.52365316305,29422.244745907206
98,2020-04-29,24505,22062,81.20157274968844,14746.787955856404,True,99,25612.997632843508,29422.244745907206
99,2020-04-30,25045,22537,81.20157274968844,14746.787955856404,True,100,25956.565926985255,29422.244745907206
100,2020-05-01,25351,22697,81.20157274968844,14746.787955856404,True,101,26273.540393791824,29422.244745907206
101,2020-05-02,25190,22496,81.20157274968844,14746.787955856404,True,102,26565.31332633733,29422.244745907206
102,2020-05-03,25282,22550,81.20157274968844,14746.787955856404,True,103,26833.325121040674,29422.244745907206
103,2020-05-04,25524,22749,81.20157274968844,14746.787955856404,True,104,27079.03645149493,29422.244745907206
104,2020-05-05,25702,22885,81.20157274968844,14746.787955856404,True,105,27303.904869832506,29422.244745907206
105,2020-05-06,26182,23017,81.20157274968844,14746.787955856404,True,106,27509.36560885365,29422.244745907206
106,2020-05-07,26715,23352,81.20157274968844,14746.787955856404,True,107,27696.816256783815,29422.244745907206
107,2020-05-08,27268,23732,81.20157274968844,14746.787955856404,True,108,27867.604915470944,29422.244745907206
108,2020-05-09,27406,23781,81.20157274968844,14746.787955856404,True,109,28023.021424283506,29422.244745907206
109,2020-05-10,27581,23897,81.20157274968844,14746.787955856404,True,110,28164.2912283667,29422.244745907206
110,2020-05-11,27679,23986,81.20157274968844,14746.787955856404,True,111,28292.571484436474,29422.244745907206
111,2020-05-12,27913,23737,81.20157274968844,14746.787955856404,True,112,28408.949024101676,29422.244745907206
112,2020-05-13,28132,23775,81.20157274968844,14746.787955856404,True,113,28514.439829041003,29422.244745907206
113,2020-05-14,28319,23937,81.20157274968844,14746.787955856404,True,114,28609.989710498932,29422.244745907206
114,2020-05-15,28583,24065,81.20157274968844,14746.787955856404,True,115,28696.475924721028,29422.244745907206
115,2020-05-16,28810,23785,81.20157274968844,14746.787955856404,True,116,28774.7094941452,29422.244745907206
116,2020-05-17,29036,23182,81.20157274968844,14746.787955856404,True,117,28845.43804008359,29422.244745907206
117,2020-05-18,29209,21548,81.20157274968844,14746.787955856404,True,118,28909.348965468922,29422.244745907206
118,2020-05-19,29432,21754,81.20157274968844,14746.787955856404,True,119,28967.07285559426,29422.244745907206
119,2020-05-20,29660,21945,81.20157274968844,14746.787955856404,True,120,29019.186990523616,29422.244745907206
120,2020-05-21,29912,22183,81.20157274968844,14746.787955856404,True,121,29066.218885071467,29422.244745907206
121,2020-05-22,30200,21321,81.20157274968844,14746.787955856404,True,122,29108.64979114726,29422.244745907206
122,2020-05-23,30471,21464,81.20157274968844,14746.787955856404,True,123,29146.91811311973,29422.244745907206
123,2020-05-24,30623,11758,81.20157274968844,14746.787955856404,True,124,29181.422699995663,29422.244745907206
124,2020-05-25,30788,11636,81.20157274968844,14746.787955856404,True,125,29212.525988959365,29422.244745907206
125,2020-05-26,31007,11569,81.20157274968844,14746.787955856404,True,126,29240.556983505758,29422.244745907206
126,2020-05-27,31292,11587,81.20157274968844,14746.787955856404,True,127,29265.814056324154,29422.244745907206
127,2020-05-28,31596,11590,81.20157274968844,14746.787955856404,True,128,29288.567572528515,29422.244745907206
