,Report_Date,Chile_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,191.51863602020728,2015894.7242431887,False,1,42.81543412338156,4031789.4484863766
1,2020-01-23,0,0,191.51863602020728,2015894.7242431887,False,2,45.46813973895809,4031789.4484863766
2,2020-01-24,0,0,191.51863602020728,2015894.7242431887,False,3,48.285196433811514,4031789.4484863766
3,2020-01-25,0,0,191.51863602020728,2015894.7242431887,False,4,51.27678649505883,4031789.4484863766
4,2020-01-26,0,0,191.51863602020728,2015894.7242431887,False,5,54.453723016086926,4031789.4484863766
5,2020-01-27,0,0,191.51863602020728,2015894.7242431887,False,6,57.82748897173863,4031789.4484863766
6,2020-01-28,0,0,191.51863602020728,2015894.7242431887,False,7,61.41027871348001,4031789.4484863766
7,2020-01-29,0,0,191.51863602020728,2015894.7242431887,False,8,65.215042034355,4031789.4484863766
8,2020-01-30,0,0,191.51863602020728,2015894.7242431887,False,9,69.2555309627981,4031789.4484863766
9,2020-01-31,0,0,191.51863602020728,2015894.7242431887,False,10,73.54634945421301,4031789.4484863766
10,2020-02-01,0,0,191.51863602020728,2015894.7242431887,False,11,78.10300615966877,4031789.4484863766
11,2020-02-02,0,0,191.51863602020728,2015894.7242431887,False,12,82.94197046215365,4031789.4484863766
12,2020-02-03,0,0,191.51863602020728,2015894.7242431887,False,13,88.08073198259909,4031789.4484863766
13,2020-02-04,0,0,191.51863602020728,2015894.7242431887,False,14,93.53786377038452,4031789.4484863766
14,2020-02-05,0,0,191.51863602020728,2015894.7242431887,False,15,99.33308940630228,4031789.4484863766
15,2020-02-06,0,0,191.51863602020728,2015894.7242431887,False,16,105.48735426004879,4031789.4484863766
16,2020-02-07,0,0,191.51863602020728,2015894.7242431887,False,17,112.02290115926229,4031789.4484863766
17,2020-02-08,0,0,191.51863602020728,2015894.7242431887,False,18,118.96335074300261,4031789.4484863766
18,2020-02-09,0,0,191.51863602020728,2015894.7242431887,False,19,126.33378678942145,4031789.4484863766
19,2020-02-10,0,0,191.51863602020728,2015894.7242431887,False,20,134.16084682526122,4031789.4484863766
20,2020-02-11,0,0,191.51863602020728,2015894.7242431887,False,21,142.47281834381084,4031789.4484863766
21,2020-02-12,0,0,191.51863602020728,2015894.7242431887,False,22,151.29974097810415,4031789.4484863766
22,2020-02-13,0,0,191.51863602020728,2015894.7242431887,False,23,160.67351499754474,4031789.4484863766
23,2020-02-14,0,0,191.51863602020728,2015894.7242431887,False,24,170.62801651884962,4031789.4484863766
24,2020-02-15,0,0,191.51863602020728,2015894.7242431887,False,25,181.19921984631162,4031789.4484863766
25,2020-02-16,0,0,191.51863602020728,2015894.7242431887,False,26,192.4253273819632,4031789.4484863766
26,2020-02-17,0,0,191.51863602020728,2015894.7242431887,False,27,204.34690757337745,4031789.4484863766
27,2020-02-18,0,0,191.51863602020728,2015894.7242431887,False,28,217.00704139565914,4031789.4484863766
