,Report_Date,Italy_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,63.622995105664636,72594.40425774222,True,1,3.6260573596811496,141970.72697660894
1,2020-01-23,0,63.622995105664636,72594.40425774222,True,2,4.294650623678584,141970.72697660894
2,2020-01-24,0,63.622995105664636,72594.40425774222,True,3,5.086518631349494,141970.72697660894
3,2020-01-25,0,63.622995105664636,72594.40425774222,True,4,6.024388951444635,141970.72697660894
4,2020-01-26,0,63.622995105664636,72594.40425774222,True,5,7.135178624112528,141970.72697660894
5,2020-01-27,0,63.622995105664636,72594.40425774222,True,6,8.45076614216809,141970.72697660894
6,2020-01-28,0,63.622995105664636,72594.40425774222,True,7,10.00890556936995,141970.72697660894
7,2020-01-29,0,63.622995105664636,72594.40425774222,True,8,11.85430892015601,141970.72697660894
8,2020-01-30,0,63.622995105664636,72594.40425774222,True,9,14.03992770844861,141970.72697660894
9,2020-01-31,2,63.622995105664636,72594.40425774222,True,10,16.628470224613782,141970.72697660894
10,2020-02-01,2,63.622995105664636,72594.40425774222,True,11,19.69419777405975,141970.72697660894
11,2020-02-02,2,63.622995105664636,72594.40425774222,True,12,23.325050989209185,141970.72697660894
12,2020-02-03,2,63.622995105664636,72594.40425774222,True,13,27.62516661986935,141970.72697660894
13,2020-02-04,2,63.622995105664636,72594.40425774222,True,14,32.71785616116078,141970.72697660894
14,2020-02-05,2,63.622995105664636,72594.40425774222,True,15,38.74913057822485,141970.72697660894
15,2020-02-06,2,63.622995105664636,72594.40425774222,True,16,45.891870562076406,141970.72697660894
16,2020-02-07,3,63.622995105664636,72594.40425774222,True,17,54.35075957920496,141970.72697660894
17,2020-02-08,3,63.622995105664636,72594.40425774222,True,18,64.36811788998443,141970.72697660894
18,2020-02-09,3,63.622995105664636,72594.40425774222,True,19,76.23080019509489,141970.72697660894
19,2020-02-10,3,63.622995105664636,72594.40425774222,True,20,90.27834817000945,141970.72697660894
20,2020-02-11,3,63.622995105664636,72594.40425774222,True,21,106.9126224655744,141970.72697660894
21,2020-02-12,3,63.622995105664636,72594.40425774222,True,22,126.60917743609781,141970.72697660894
22,2020-02-13,3,63.622995105664636,72594.40425774222,True,23,149.9306865855432,141970.72697660894
23,2020-02-14,3,63.622995105664636,72594.40425774222,True,24,177.5427781817197,141970.72697660894
24,2020-02-15,3,63.622995105664636,72594.40425774222,True,25,210.2326993197388,141970.72697660894
25,2020-02-16,3,63.622995105664636,72594.40425774222,True,26,248.9312934465685,141970.72697660894
26,2020-02-17,3,63.622995105664636,72594.40425774222,True,27,294.7388512905719,141970.72697660894
27,2020-02-18,3,63.622995105664636,72594.40425774222,True,28,348.95547818852066,141970.72697660894
28,2020-02-19,3,63.622995105664636,72594.40425774222,True,29,413.1167112598205,141970.72697660894
29,2020-02-20,3,63.622995105664636,72594.40425774222,True,30,489.0352160765878,141970.72697660894
30,2020-02-21,20,63.622995105664636,72594.40425774222,True,31,578.849491320312,141970.72697660894
31,2020-02-22,62,63.622995105664636,72594.40425774222,True,32,685.0806062169695,141970.72697660894
32,2020-02-23,155,63.622995105664636,72594.40425774222,True,33,810.6980811400426,141970.72697660894
33,2020-02-24,229,63.622995105664636,72594.40425774222,True,34,959.196084325474,141970.72697660894
34,2020-02-25,322,63.622995105664636,72594.40425774222,True,35,1134.6811390589146,141970.72697660894
35,2020-02-26,453,63.622995105664636,72594.40425774222,True,36,1341.9724900895114,141970.72697660894
36,2020-02-27,655,63.622995105664636,72594.40425774222,True,37,1586.7161291805241,141970.72697660894
37,2020-02-28,888,63.622995105664636,72594.40425774222,True,38,1875.513178024667,141970.72697660894
38,2020-02-29,1128,63.622995105664636,72594.40425774222,True,39,2216.062805787186,141970.72697660894
39,2020-03-01,1694,63.622995105664636,72594.40425774222,True,40,2617.319031455716,141970.72697660894
40,2020-03-02,2036,63.622995105664636,72594.40425774222,True,41,3089.6595177687987,141970.72697660894
41,2020-03-03,2502,63.622995105664636,72594.40425774222,True,42,3645.062669025999,141970.72697660894
42,2020-03-04,3089,63.622995105664636,72594.40425774222,True,43,4297.2868430106155,141970.72697660894
43,2020-03-05,3858,63.622995105664636,72594.40425774222,True,44,5062.0421091690005,141970.72697660894
44,2020-03-06,4636,63.622995105664636,72594.40425774222,True,45,5957.140572796381,141970.72697660894
