,Report_Date,USA_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,88.21345847023733,725290.4353878055,True,1,220.28765805119292,1412291.8275635112
1,2020-01-23,1,88.21345847023733,725290.4353878055,True,2,243.64998427936916,1412291.8275635112
2,2020-01-24,2,88.21345847023733,725290.4353878055,True,3,269.4895118069183,1412291.8275635112
3,2020-01-25,2,88.21345847023733,725290.4353878055,True,4,298.06880541759017,1412291.8275635112
4,2020-01-26,5,88.21345847023733,725290.4353878055,True,5,329.67823683203363,1412291.8275635112
5,2020-01-27,5,88.21345847023733,725290.4353878055,True,6,364.63892447413417,1412291.8275635112
6,2020-01-28,5,88.21345847023733,725290.4353878055,True,7,403.30598288548146,1412291.8275635112
7,2020-01-29,5,88.21345847023733,725290.4353878055,True,8,446.07211414729414,1412291.8275635112
8,2020-01-30,5,88.21345847023733,725290.4353878055,True,9,493.3715769933807,1412291.8275635112
9,2020-01-31,7,88.21345847023733,725290.4353878055,True,10,545.6845729505311,1412291.8275635112
10,2020-02-01,8,88.21345847023733,725290.4353878055,True,11,603.5420928536258,1412291.8275635112
11,2020-02-02,8,88.21345847023733,725290.4353878055,True,12,667.5312714831874,1412291.8275635112
12,2020-02-03,11,88.21345847023733,725290.4353878055,True,13,738.3013028964625,1412291.8275635112
13,2020-02-04,11,88.21345847023733,725290.4353878055,True,14,816.5699743045695,1412291.8275635112
14,2020-02-05,11,88.21345847023733,725290.4353878055,True,15,903.1308821245404,1412291.8275635112
15,2020-02-06,11,88.21345847023733,725290.4353878055,True,16,998.8614001442786,1412291.8275635112
16,2020-02-07,11,88.21345847023733,725290.4353878055,True,17,1104.7314766195188,1412291.8275635112
17,2020-02-08,11,88.21345847023733,725290.4353878055,True,18,1221.8133446139852,1412291.8275635112
18,2020-02-09,11,88.21345847023733,725290.4353878055,True,19,1351.292238035862,1412291.8275635112
19,2020-02-10,11,88.21345847023733,725290.4353878055,True,20,1494.4782146525365,1412291.8275635112
20,2020-02-11,12,88.21345847023733,725290.4353878055,True,21,1652.8191969155048,1412291.8275635112
21,2020-02-12,12,88.21345847023733,725290.4353878055,True,22,1827.9153517278535,1412291.8275635112
22,2020-02-13,13,88.21345847023733,725290.4353878055,True,23,2021.5349413602366,1412291.8275635112
23,2020-02-14,13,88.21345847023733,725290.4353878055,True,24,2235.6317895802945,1412291.8275635112
