,Report_Date,Timor-Leste_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,97.85806180806712,6.113236723771926,False,1,0.009483073898882227,0.02894194445553261
1,2020-01-23,0,97.85806180806712,6.113236723771926,False,2,0.010210153782921522,0.02894194445553261
2,2020-01-24,0,97.85806180806712,6.113236723771926,False,3,0.010992929687571446,0.02894194445553261
3,2020-01-25,0,97.85806180806712,6.113236723771926,False,4,0.01183566007301884,0.02894194445553261
4,2020-01-26,0,97.85806180806712,6.113236723771926,False,5,0.012742927725875451,0.02894194445553261
5,2020-01-27,0,97.85806180806712,6.113236723771926,False,6,0.013719664257673575,0.02894194445553261
6,2020-01-28,0,97.85806180806712,6.113236723771926,False,7,0.014771176421629771,0.02894194445553261
7,2020-01-29,0,97.85806180806712,6.113236723771926,False,8,0.015903174377461592,0.02894194445553261
8,2020-01-30,0,97.85806180806712,6.113236723771926,False,9,0.017121802042469252,0.02894194445553261
9,2020-01-31,0,97.85806180806712,6.113236723771926,False,10,0.018433669675928528,0.02894194445553261
10,2020-02-01,0,97.85806180806712,6.113236723771926,False,11,0.01984588885307751,0.02894194445553261
11,2020-02-02,0,97.85806180806712,6.113236723771926,False,12,0.021366109994605996,0.02894194445553261
12,2020-02-03,0,97.85806180806712,6.113236723771926,False,13,0.02300256262755411,0.02894194445553261
13,2020-02-04,0,97.85806180806712,6.113236723771926,False,14,0.024764098563867694,0.02894194445553261
14,2020-02-05,0,97.85806180806712,6.113236723771926,False,15,0.026660238193504448,0.02894194445553261
15,2020-02-06,0,97.85806180806712,6.113236723771926,False,16,0.02870122009988563,0.02894194445553261
16,2020-02-07,0,97.85806180806712,6.113236723771926,False,17,0.03089805421657806,0.02894194445553261
17,2020-02-08,0,97.85806180806712,6.113236723771926,False,18,0.03326257875528676,0.02894194445553261
18,2020-02-09,0,97.85806180806712,6.113236723771926,False,19,0.035807521146436906,0.02894194445553261
19,2020-02-10,0,97.85806180806712,6.113236723771926,False,20,0.038546563244695894,0.02894194445553261
20,2020-02-11,0,97.85806180806712,6.113236723771926,False,21,0.04149441106257832,0.02894194445553261
21,2020-02-12,0,97.85806180806712,6.113236723771926,False,22,0.044666869305598315,0.02894194445553261
22,2020-02-13,0,97.85806180806712,6.113236723771926,False,23,0.04808092099205987,0.02894194445553261
23,2020-02-14,0,97.85806180806712,6.113236723771926,False,24,0.05175481244923672,0.02894194445553261
24,2020-02-15,0,97.85806180806712,6.113236723771926,False,25,0.05570814398506781,0.02894194445553261
25,2020-02-16,0,97.85806180806712,6.113236723771926,False,26,0.059961966540206066,0.02894194445553261
26,2020-02-17,0,97.85806180806712,6.113236723771926,False,27,0.06453888462886251,0.02894194445553261
27,2020-02-18,0,97.85806180806712,6.113236723771926,False,28,0.06946316587786504,0.02894194445553261
28,2020-02-19,0,97.85806180806712,6.113236723771926,False,29,0.0747608574711002,0.02894194445553261
29,2020-02-20,0,97.85806180806712,6.113236723771926,False,30,0.0804599098003227,0.02894194445553261
30,2020-02-21,0,97.85806180806712,6.113236723771926,False,31,0.0865903076123954,0.02894194445553261
31,2020-02-22,0,97.85806180806712,6.113236723771926,False,32,0.09318420892643031,0.02894194445553261
32,2020-02-23,0,97.85806180806712,6.113236723771926,False,33,0.100276091970973,0.02894194445553261
33,2020-02-24,0,97.85806180806712,6.113236723771926,False,34,0.10790291036009159,0.02894194445553261
34,2020-02-25,0,97.85806180806712,6.113236723771926,False,35,0.11610425668661825,0.02894194445553261
35,2020-02-26,0,97.85806180806712,6.113236723771926,False,36,0.12492253465928113,0.02894194445553261
36,2020-02-27,0,97.85806180806712,6.113236723771926,False,37,0.1344031398462985,0.02894194445553261
37,2020-02-28,0,97.85806180806712,6.113236723771926,False,38,0.14459464900922095,0.02894194445553261
38,2020-02-29,0,97.85806180806712,6.113236723771926,False,39,0.15554901791520306,0.02894194445553261
39,2020-03-01,0,97.85806180806712,6.113236723771926,False,40,0.1673217874010392,0.02894194445553261
40,2020-03-02,0,97.85806180806712,6.113236723771926,False,41,0.1799722973255474,0.02894194445553261
41,2020-03-03,0,97.85806180806712,6.113236723771926,False,42,0.19356390788531447,0.02894194445553261
42,2020-03-04,0,97.85806180806712,6.113236723771926,False,43,0.20816422757929376,0.02894194445553261
43,2020-03-05,0,97.85806180806712,6.113236723771926,False,44,0.22384534688690283,0.02894194445553261
44,2020-03-06,0,97.85806180806712,6.113236723771926,False,45,0.24068407646856596,0.02894194445553261
45,2020-03-07,0,97.85806180806712,6.113236723771926,False,46,0.25876218840338683,0.02894194445553261
46,2020-03-08,0,97.85806180806712,6.113236723771926,False,47,0.27816665864205264,0.02894194445553261
47,2020-03-09,0,97.85806180806712,6.113236723771926,False,48,0.2989899084704197,0.02894194445553261
48,2020-03-10,0,97.85806180806712,6.113236723771926,False,49,0.32133004234689266,0.02894194445553261
49,2020-03-11,0,97.85806180806712,6.113236723771926,False,50,0.34529107899137296,0.02894194445553261
50,2020-03-12,0,97.85806180806712,6.113236723771926,False,51,0.37098317206241266,0.02894194445553261
51,2020-03-13,0,97.85806180806712,6.113236723771926,False,52,0.39852281616021595,0.02894194445553261
52,2020-03-14,0,97.85806180806712,6.113236723771926,False,53,0.42803303323529096,0.02894194445553261
53,2020-03-15,0,97.85806180806712,6.113236723771926,False,54,0.45964353376636224,0.02894194445553261
54,2020-03-16,0,97.85806180806712,6.113236723771926,False,55,0.49349084629896084,0.02894194445553261
55,2020-03-17,0,97.85806180806712,6.113236723771926,False,56,0.5297184081127112,0.02894194445553261
56,2020-03-18,0,97.85806180806712,6.113236723771926,False,57,0.568476608918575,0.02894194445553261
57,2020-03-19,0,97.85806180806712,6.113236723771926,False,58,0.609922778588685,0.02894194445553261
58,2020-03-20,0,97.85806180806712,6.113236723771926,False,59,0.6542211090069177,0.02894194445553261
59,2020-03-21,0,97.85806180806712,6.113236723771926,False,60,0.7015424992192063,0.02894194445553261
60,2020-03-22,1,97.85806180806712,6.113236723771926,False,61,0.752064312186083,0.02894194445553261
61,2020-03-23,1,97.85806180806712,6.113236723771926,False,62,0.8059700306301892,0.02894194445553261
62,2020-03-24,1,97.85806180806712,6.113236723771926,False,63,0.8634487987703015,0.02894194445553261
63,2020-03-25,1,97.85806180806712,6.113236723771926,False,64,0.924694836190667,0.02894194445553261
64,2020-03-26,1,97.85806180806712,6.113236723771926,False,65,0.9899067097687391,0.02894194445553261
65,2020-03-27,1,97.85806180806712,6.113236723771926,False,66,1.0592864495427805,0.02894194445553261
66,2020-03-28,1,97.85806180806712,6.113236723771926,False,67,1.1330384947185308,0.02894194445553261
67,2020-03-29,1,97.85806180806712,6.113236723771926,False,68,1.2113684567735028,0.02894194445553261
68,2020-03-30,1,97.85806180806712,6.113236723771926,False,69,1.294481687905877,0.02894194445553261
69,2020-03-31,1,97.85806180806712,6.113236723771926,False,70,1.3825816449822033,0.02894194445553261
70,2020-04-01,1,97.85806180806712,6.113236723771926,False,71,1.4758680417522079,0.02894194445553261
71,2020-04-02,1,97.85806180806712,6.113236723771926,False,72,1.5745347855012506,0.02894194445553261
72,2020-04-03,1,97.85806180806712,6.113236723771926,False,73,1.678767698569116,0.02894194445553261
73,2020-04-04,1,97.85806180806712,6.113236723771926,False,74,1.7887420303245527,0.02894194445553261
74,2020-04-05,1,97.85806180806712,6.113236723771926,False,75,1.9046197712646995,0.02894194445553261
75,2020-04-06,1,97.85806180806712,6.113236723771926,False,76,2.0265467878838677,0.02894194445553261
76,2020-04-07,1,97.85806180806712,6.113236723771926,False,77,2.1546498047534604,0.02894194445553261
77,2020-04-08,1,97.85806180806712,6.113236723771926,False,78,2.289033268740992,0.02894194445553261
78,2020-04-09,1,97.85806180806712,6.113236723771926,False,79,2.429776139269722,0.02894194445553261
79,2020-04-10,2,97.85806180806712,6.113236723771926,False,80,2.5769286577061457,0.02894194445553261
80,2020-04-11,2,97.85806180806712,6.113236723771926,False,81,2.730509158009117,0.02894194445553261
81,2020-04-12,2,97.85806180806712,6.113236723771926,False,82,2.8905009892577542,0.02894194445553261
82,2020-04-13,4,97.85806180806712,6.113236723771926,False,83,3.0568496281081603,0.02894194445553261
83,2020-04-14,6,97.85806180806712,6.113236723771926,False,84,3.229460065078168,0.02894194445553261
84,2020-04-15,8,97.85806180806712,6.113236723771926,False,85,3.408194552270654,0.02894194445553261
