,Report_Date,France_french guiana_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
40,2020-03-02,0,0,282.14143161985874,98365.74184339048,False,41,10.4818196463141,196731.48368678082
41,2020-03-03,0,0,282.14143161985874,98365.74184339048,False,42,10.918357934145543,196731.48368678082
42,2020-03-04,0,0,282.14143161985874,98365.74184339048,False,43,11.373075761976342,196731.48368678082
43,2020-03-05,0,0,282.14143161985874,98365.74184339048,False,44,11.846730123338853,196731.48368678082
44,2020-03-06,0,0,282.14143161985874,98365.74184339048,False,45,12.340109525272387,196731.48368678082
45,2020-03-07,5,5,282.14143161985874,98365.74184339048,False,46,12.854035299578797,196731.48368678082
46,2020-03-08,5,5,282.14143161985874,98365.74184339048,False,47,13.389362968583562,196731.48368678082
47,2020-03-09,5,5,282.14143161985874,98365.74184339048,False,48,13.946983667663352,196731.48368678082
48,2020-03-10,5,5,282.14143161985874,98365.74184339048,False,49,14.527825626894433,196731.48368678082
49,2020-03-11,5,5,282.14143161985874,98365.74184339048,False,50,15.13285571427358,196731.48368678082
50,2020-03-12,5,5,282.14143161985874,98365.74184339048,False,51,15.76308104306409,196731.48368678082
51,2020-03-13,5,5,282.14143161985874,98365.74184339048,False,52,16.419550645925238,196731.48368678082
52,2020-03-14,5,5,282.14143161985874,98365.74184339048,False,53,17.10335721859272,196731.48368678082
53,2020-03-15,7,7,282.14143161985874,98365.74184339048,False,54,17.81563893599205,196731.48368678082
54,2020-03-16,11,11,282.14143161985874,98365.74184339048,False,55,18.55758134378547,196731.48368678082
55,2020-03-17,11,11,282.14143161985874,98365.74184339048,False,56,19.330419328476523,196731.48368678082
56,2020-03-18,11,11,282.14143161985874,98365.74184339048,False,57,20.135439169325256,196731.48368678082
57,2020-03-19,11,11,282.14143161985874,98365.74184339048,False,58,20.97398067546064,196731.48368678082
58,2020-03-20,15,15,282.14143161985874,98365.74184339048,False,59,21.847439411716206,196731.48368678082
59,2020-03-21,18,18,282.14143161985874,98365.74184339048,False,60,22.757269016859897,196731.48368678082
60,2020-03-22,18,12,282.14143161985874,98365.74184339048,False,61,23.70498361803985,196731.48368678082
61,2020-03-23,20,14,282.14143161985874,98365.74184339048,False,62,24.692160345424842,196731.48368678082
62,2020-03-24,23,17,282.14143161985874,98365.74184339048,False,63,25.72044195118134,196731.48368678082
63,2020-03-25,28,22,282.14143161985874,98365.74184339048,False,64,26.791539537099073,196731.48368678082
64,2020-03-26,28,22,282.14143161985874,98365.74184339048,False,65,27.907235395353613,196731.48368678082
65,2020-03-27,28,22,282.14143161985874,98365.74184339048,False,66,29.069385967078485,196731.48368678082
66,2020-03-28,28,22,282.14143161985874,98365.74184339048,False,67,30.279924923610345,196731.48368678082
67,2020-03-29,28,22,282.14143161985874,98365.74184339048,False,68,31.540866375469882,196731.48368678082
68,2020-03-30,43,37,282.14143161985874,98365.74184339048,False,69,32.85430821434784,196731.48368678082
69,2020-03-31,43,37,282.14143161985874,98365.74184339048,False,70,34.22243559358082,196731.48368678082
70,2020-04-01,51,36,282.14143161985874,98365.74184339048,False,71,35.64752455282521,196731.48368678082
71,2020-04-02,51,36,282.14143161985874,98365.74184339048,False,72,37.13194579287036,196731.48368678082
72,2020-04-03,57,35,282.14143161985874,98365.74184339048,False,73,38.67816860677395,196731.48368678082
73,2020-04-04,61,39,282.14143161985874,98365.74184339048,False,74,40.2887649737543,196731.48368678082
74,2020-04-05,61,39,282.14143161985874,98365.74184339048,False,75,41.96641382253551,196731.48368678082
75,2020-04-06,72,38,282.14143161985874,98365.74184339048,False,76,43.713905471113755,196731.48368678082
76,2020-04-07,72,38,282.14143161985874,98365.74184339048,False,77,45.53414625019492,196731.48368678082
77,2020-04-08,77,43,282.14143161985874,98365.74184339048,False,78,47.43016331784849,196731.48368678082
78,2020-04-09,83,40,282.14143161985874,98365.74184339048,False,79,49.4051096732267,196731.48368678082
79,2020-04-10,83,40,282.14143161985874,98365.74184339048,False,80,51.46226937751634,196731.48368678082
80,2020-04-11,83,40,282.14143161985874,98365.74184339048,False,81,53.60506299061947,196731.48368678082
81,2020-04-12,86,35,282.14143161985874,98365.74184339048,False,82,55.83705323240179,196731.48368678082
82,2020-04-13,86,35,282.14143161985874,98365.74184339048,False,83,58.16195087770371,196731.48368678082
83,2020-04-14,86,35,282.14143161985874,98365.74184339048,False,84,60.58362089467813,196731.48368678082
84,2020-04-15,86,35,282.14143161985874,98365.74184339048,False,85,63.10608883640291,196731.48368678082
85,2020-04-16,86,35,282.14143161985874,98365.74184339048,False,86,65.73354749611465,196731.48368678082
86,2020-04-17,96,35,282.14143161985874,98365.74184339048,False,87,68.47036383682396,196731.48368678082
87,2020-04-18,96,32,282.14143161985874,98365.74184339048,False,88,71.32108620650214,196731.48368678082
88,2020-04-19,96,32,282.14143161985874,98365.74184339048,False,89,74.29045185047516,196731.48368678082
89,2020-04-20,97,27,282.14143161985874,98365.74184339048,False,90,77.3833947331233,196731.48368678082
90,2020-04-21,97,20,282.14143161985874,98365.74184339048,False,91,80.60505368146521,196731.48368678082
91,2020-04-22,97,13,282.14143161985874,98365.74184339048,False,92,83.96078086370346,196731.48368678082
92,2020-04-23,107,22,282.14143161985874,98365.74184339048,False,93,87.45615061632503,196731.48368678082
93,2020-04-24,111,23,282.14143161985874,98365.74184339048,False,94,91.09696863388643,196731.48368678082
94,2020-04-25,111,23,282.14143161985874,98365.74184339048,False,95,94.88928153616874,196731.48368678082
95,2020-04-26,111,23,282.14143161985874,98365.74184339048,False,96,98.83938682796396,196731.48368678082
96,2020-04-27,111,23,282.14143161985874,98365.74184339048,False,97,102.95384326735103,196731.48368678082
97,2020-04-28,125,31,282.14143161985874,98365.74184339048,False,98,107.23948165893889,196731.48368678082
98,2020-04-29,125,31,282.14143161985874,98365.74184339048,False,99,111.70341608919395,196731.48368678082
99,2020-04-30,126,31,282.14143161985874,98365.74184339048,False,100,116.35305562163485,196731.48368678082
100,2020-05-01,128,29,282.14143161985874,98365.74184339048,False,101,121.19611647036241,196731.48368678082
101,2020-05-02,128,29,282.14143161985874,98365.74184339048,False,102,126.24063467110697,196731.48368678082
102,2020-05-03,128,29,282.14143161985874,98365.74184339048,False,103,131.49497926970756,196731.48368678082
103,2020-05-04,133,32,282.14143161985874,98365.74184339048,False,104,136.96786604870434,196731.48368678082
104,2020-05-05,133,32,282.14143161985874,98365.74184339048,False,105,142.66837181350675,196731.48368678082
105,2020-05-06,138,26,282.14143161985874,98365.74184339048,False,106,148.60594926042134,196731.48368678082
106,2020-05-07,138,25,282.14143161985874,98365.74184339048,False,107,154.79044244965706,196731.48368678082
107,2020-05-08,141,21,282.14143161985874,98365.74184339048,False,108,161.2321029073026,196731.48368678082
108,2020-05-09,141,21,282.14143161985874,98365.74184339048,False,109,167.9416063811608,196731.48368678082
109,2020-05-10,144,21,282.14143161985874,98365.74184339048,False,110,174.93007027625634,196731.48368678082
110,2020-05-11,144,21,282.14143161985874,98365.74184339048,False,111,182.2090717967887,196731.48368678082
111,2020-05-12,144,21,282.14143161985874,98365.74184339048,False,112,189.79066682228165,196731.48368678082
112,2020-05-13,153,28,282.14143161985874,98365.74184339048,False,113,197.68740954670702,196731.48368678082
113,2020-05-14,164,39,282.14143161985874,98365.74184339048,False,114,205.9123729103947,196731.48368678082
114,2020-05-15,189,64,282.14143161985874,98365.74184339048,False,115,214.47916985562892,196731.48368678082
115,2020-05-16,197,71,282.14143161985874,98365.74184339048,False,116,223.40197543792925,196731.48368678082
116,2020-05-17,197,71,282.14143161985874,98365.74184339048,False,117,232.69554982616427,196731.48368678082
117,2020-05-18,210,78,282.14143161985874,98365.74184339048,False,118,242.3752622258052,196731.48368678082
118,2020-05-19,218,81,282.14143161985874,98365.74184339048,False,119,252.4571157608417,196731.48368678082
119,2020-05-20,237,100,282.14143161985874,98365.74184339048,False,120,262.95777335110193,196731.48368678082
120,2020-05-21,249,111,282.14143161985874,98365.74184339048,False,121,273.8945846229953,196731.48368678082
121,2020-05-22,261,119,282.14143161985874,98365.74184339048,False,122,285.2856138929801,196731.48368678082
122,2020-05-23,279,135,282.14143161985874,98365.74184339048,False,123,297.14966926439354,196731.48368678082
123,2020-05-24,328,182,282.14143161985874,98365.74184339048,False,124,309.5063328796227,196731.48368678082
124,2020-05-25,353,206,282.14143161985874,98365.74184339048,False,125,322.3759923709914,196731.48368678082
125,2020-05-26,384,237,282.14143161985874,98365.74184339048,False,126,335.7798735551325,196731.48368678082
126,2020-05-27,406,255,282.14143161985874,98365.74184339048,False,127,349.74007441706414,196731.48368678082
127,2020-05-28,436,274,282.14143161985874,98365.74184339048,False,128,364.2796004316335,196731.48368678082
