,Report_Date,France_french guiana_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,282.14143161985874,98365.74184339048,False,1,2.049231196276944,196731.48368678082
1,2020-01-23,0,0,282.14143161985874,98365.74184339048,False,2,2.134579718896863,196731.48368678082
2,2020-01-24,0,0,282.14143161985874,98365.74184339048,False,3,2.223482885813116,196731.48368678082
3,2020-01-25,0,0,282.14143161985874,98365.74184339048,False,4,2.316088739476969,196731.48368678082
4,2020-01-26,0,0,282.14143161985874,98365.74184339048,False,5,2.4125514876639653,196731.48368678082
5,2020-01-27,0,0,282.14143161985874,98365.74184339048,False,6,2.513031760208166,196731.48368678082
6,2020-01-28,0,0,282.14143161985874,98365.74184339048,False,7,2.61769687642513,196731.48368678082
7,2020-01-29,0,0,282.14143161985874,98365.74184339048,False,8,2.726721123668458,196731.48368678082
8,2020-01-30,0,0,282.14143161985874,98365.74184339048,False,9,2.8402860474832305,196731.48368678082
9,2020-01-31,0,0,282.14143161985874,98365.74184339048,False,10,2.9585807538389295,196731.48368678082
10,2020-02-01,0,0,282.14143161985874,98365.74184339048,False,11,3.081802223944509,196731.48368678082
11,2020-02-02,0,0,282.14143161985874,98365.74184339048,False,12,3.210155642169162,196731.48368678082
12,2020-02-03,0,0,282.14143161985874,98365.74184339048,False,13,3.343854737614104,196731.48368678082
13,2020-02-04,0,0,282.14143161985874,98365.74184339048,False,14,3.4831221399033656,196731.48368678082
14,2020-02-05,0,0,282.14143161985874,98365.74184339048,False,15,3.62818974978518,196731.48368678082
15,2020-02-06,0,0,282.14143161985874,98365.74184339048,False,16,3.779299125160156,196731.48368678082
16,2020-02-07,0,0,282.14143161985874,98365.74184339048,False,17,3.9367018831780225,196731.48368678082
17,2020-02-08,0,0,282.14143161985874,98365.74184339048,False,18,4.10066011907139,196731.48368678082
18,2020-02-09,0,0,282.14143161985874,98365.74184339048,False,19,4.271446842422781,196731.48368678082
19,2020-02-10,0,0,282.14143161985874,98365.74184339048,False,20,4.449346431590065,196731.48368678082
20,2020-02-11,0,0,282.14143161985874,98365.74184339048,False,21,4.634655107045575,196731.48368678082
21,2020-02-12,0,0,282.14143161985874,98365.74184339048,False,22,4.827681424415575,196731.48368678082
22,2020-02-13,0,0,282.14143161985874,98365.74184339048,False,23,5.0287467880393715,196731.48368678082
23,2020-02-14,0,0,282.14143161985874,98365.74184339048,False,24,5.238185985901436,196731.48368678082
24,2020-02-15,0,0,282.14143161985874,98365.74184339048,False,25,5.456347746825278,196731.48368678082
25,2020-02-16,0,0,282.14143161985874,98365.74184339048,False,26,5.683595320854784,196731.48368678082
26,2020-02-17,0,0,282.14143161985874,98365.74184339048,False,27,5.92030708378708,196731.48368678082
27,2020-02-18,0,0,282.14143161985874,98365.74184339048,False,28,6.1668771668610525,196731.48368678082
28,2020-02-19,0,0,282.14143161985874,98365.74184339048,False,29,6.423716112647275,196731.48368678082
29,2020-02-20,0,0,282.14143161985874,98365.74184339048,False,30,6.691251558228565,196731.48368678082
30,2020-02-21,0,0,282.14143161985874,98365.74184339048,False,31,6.969928946805458,196731.48368678082
31,2020-02-22,0,0,282.14143161985874,98365.74184339048,False,32,7.260212268908052,196731.48368678082
32,2020-02-23,0,0,282.14143161985874,98365.74184339048,False,33,7.5625848344446,196731.48368678082
33,2020-02-24,0,0,282.14143161985874,98365.74184339048,False,34,7.877550076868267,196731.48368678082
34,2020-02-25,0,0,282.14143161985874,98365.74184339048,False,35,8.205632390796602,196731.48368678082
35,2020-02-26,0,0,282.14143161985874,98365.74184339048,False,36,8.547378004473554,196731.48368678082
36,2020-02-27,0,0,282.14143161985874,98365.74184339048,False,37,8.903355888521498,196731.48368678082
37,2020-02-28,0,0,282.14143161985874,98365.74184339048,False,38,9.274158702490665,196731.48368678082
38,2020-02-29,0,0,282.14143161985874,98365.74184339048,False,39,9.660403780775862,196731.48368678082
39,2020-03-01,0,0,282.14143161985874,98365.74184339048,False,40,10.0627341595353,196731.48368678082
