,Report_Date,"Moldova, Republic of_cases",fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.48886766496149,795.9587775719807,False,1,0.025250458294824515,1591.9175551439619
1,2020-01-23,0,79.48886766496149,795.9587775719807,False,2,0.02906824838103721,1591.9175551439619
2,2020-01-24,0,79.48886766496149,795.9587775719807,False,3,0.033463264218137036,1591.9175551439619
3,2020-01-25,0,79.48886766496149,795.9587775719807,False,4,0.038522774747701,1591.9175551439619
4,2020-01-26,0,79.48886766496149,795.9587775719807,False,5,0.0443472415438206,1591.9175551439619
5,2020-01-27,0,79.48886766496149,795.9587775719807,False,6,0.051052312754064195,1591.9175551439619
6,2020-01-28,0,79.48886766496149,795.9587775719807,False,7,0.05877111826985948,1591.9175551439619
7,2020-01-29,0,79.48886766496149,795.9587775719807,False,8,0.06765691158957025,1591.9175551439619
8,2020-01-30,0,79.48886766496149,795.9587775719807,False,9,0.07788611068474789,1591.9175551439619
9,2020-01-31,0,79.48886766496149,795.9587775719807,False,10,0.08966179805381849,1591.9175551439619
10,2020-02-01,0,79.48886766496149,795.9587775719807,False,11,0.1032177492002086,1591.9175551439619
11,2020-02-02,0,79.48886766496149,795.9587775719807,False,12,0.11882306917811702,1591.9175551439619
12,2020-02-03,0,79.48886766496149,795.9587775719807,False,13,0.13678752880848252,1591.9175551439619
13,2020-02-04,0,79.48886766496149,795.9587775719807,False,14,0.15746770590842207,1591.9175551439619
14,2020-02-05,0,79.48886766496149,795.9587775719807,False,15,0.18127405266014437,1591.9175551439619
15,2020-02-06,0,79.48886766496149,795.9587775719807,False,16,0.20867902836727636,1591.9175551439619
16,2020-02-07,0,79.48886766496149,795.9587775719807,False,17,0.24022645764606626,1591.9175551439619
17,2020-02-08,0,79.48886766496149,795.9587775719807,False,18,0.2765422979606402,1591.9175551439619
18,2020-02-09,0,79.48886766496149,795.9587775719807,False,19,0.318347027771577,1591.9175551439619
19,2020-02-10,0,79.48886766496149,795.9587775719807,False,20,0.3664698979189852,1591.9175551439619
20,2020-02-11,0,79.48886766496149,795.9587775719807,False,21,0.4218653247616093,1591.9175551439619
21,2020-02-12,0,79.48886766496149,795.9587775719807,False,22,0.4856317446678198,1591.9175551439619
22,2020-02-13,0,79.48886766496149,795.9587775719807,False,23,0.5590332964027442,1591.9175551439619
23,2020-02-14,0,79.48886766496149,795.9587775719807,False,24,0.6435247515576887,1591.9175551439619
24,2020-02-15,0,79.48886766496149,795.9587775719807,False,25,0.7407801742856622,1591.9175551439619
25,2020-02-16,0,79.48886766496149,795.9587775719807,False,26,0.8527258611866297,1591.9175551439619
26,2020-02-17,0,79.48886766496149,795.9587775719807,False,27,0.9815781912566519,1591.9175551439619
27,2020-02-18,0,79.48886766496149,795.9587775719807,False,28,1.1298871054799597,1591.9175551439619
28,2020-02-19,0,79.48886766496149,795.9587775719807,False,29,1.3005860370669389,1591.9175551439619
29,2020-02-20,0,79.48886766496149,795.9587775719807,False,30,1.4970492277254,1591.9175551439619
30,2020-02-21,0,79.48886766496149,795.9587775719807,False,31,1.7231574938972822,1591.9175551439619
31,2020-02-22,0,79.48886766496149,795.9587775719807,False,32,1.9833736507390822,1591.9175551439619
32,2020-02-23,0,79.48886766496149,795.9587775719807,False,33,2.2828289617699418,1591.9175551439619
33,2020-02-24,0,79.48886766496149,795.9587775719807,False,34,2.627422159293288,1591.9175551439619
34,2020-02-25,0,79.48886766496149,795.9587775719807,False,35,3.023932775225548,1591.9175551439619
35,2020-02-26,0,79.48886766496149,795.9587775719807,False,36,3.4801507334931605,1591.9175551439619
36,2020-02-27,0,79.48886766496149,795.9587775719807,False,37,4.005024382377208,1591.9175551439619
37,2020-02-28,0,79.48886766496149,795.9587775719807,False,38,4.608829385404811,1591.9175551439619
38,2020-02-29,0,79.48886766496149,795.9587775719807,False,39,5.303361137989348,1591.9175551439619
39,2020-03-01,0,79.48886766496149,795.9587775719807,False,40,6.1021536267347285,1591.9175551439619
40,2020-03-02,0,79.48886766496149,795.9587775719807,False,41,7.020727888270857,1591.9175551439619
41,2020-03-03,0,79.48886766496149,795.9587775719807,False,42,8.076873438993921,1591.9175551439619
42,2020-03-04,0,79.48886766496149,795.9587775719807,False,43,9.290966214100935,1591.9175551439619
43,2020-03-05,0,79.48886766496149,795.9587775719807,False,44,10.68632664348328,1591.9175551439619
44,2020-03-06,0,79.48886766496149,795.9587775719807,False,45,12.289621462320195,1591.9175551439619
45,2020-03-07,0,79.48886766496149,795.9587775719807,False,46,14.131312650905905,1591.9175551439619
46,2020-03-08,1,79.48886766496149,795.9587775719807,False,47,16.246156449592615,1591.9175551439619
47,2020-03-09,1,79.48886766496149,795.9587775719807,False,48,18.673754607941852,1591.9175551439619
48,2020-03-10,3,79.48886766496149,795.9587775719807,False,49,21.459158784106442,1591.9175551439619
49,2020-03-11,3,79.48886766496149,795.9587775719807,False,50,24.653527163233125,1591.9175551439619
50,2020-03-12,3,79.48886766496149,795.9587775719807,False,51,28.31482973077305,1591.9175551439619
51,2020-03-13,6,79.48886766496149,795.9587775719807,False,52,32.50859500042509,1591.9175551439619
52,2020-03-14,12,79.48886766496149,795.9587775719807,False,53,37.30868610382757,1591.9175551439619
53,2020-03-15,23,79.48886766496149,795.9587775719807,False,54,42.79808771694603,1591.9175551439619
54,2020-03-16,23,79.48886766496149,795.9587775719807,False,55,49.06967702742044,1591.9175551439619
55,2020-03-17,30,79.48886766496149,795.9587775719807,False,56,56.22694155003753,1591.9175551439619
56,2020-03-18,30,79.48886766496149,795.9587775719807,False,57,64.3845938425084,1591.9175551439619
57,2020-03-19,49,79.48886766496149,795.9587775719807,False,58,73.66901795643717,1591.9175551439619
58,2020-03-20,66,79.48886766496149,795.9587775719807,False,59,84.21846490437792,1591.9175551439619
59,2020-03-21,80,79.48886766496149,795.9587775719807,False,60,96.18289503028824,1591.9175551439619
60,2020-03-22,94,79.48886766496149,795.9587775719807,False,61,109.72334498787825,1591.9175551439619
61,2020-03-23,109,79.48886766496149,795.9587775719807,False,62,125.01067787855213,1591.9175551439619
62,2020-03-24,125,79.48886766496149,795.9587775719807,False,63,142.22355979300397,1591.9175551439619
63,2020-03-25,149,79.48886766496149,795.9587775719807,False,64,161.54549854165444,1591.9175551439619
64,2020-03-26,177,79.48886766496149,795.9587775719807,False,65,183.16078601998228,1591.9175551439619
65,2020-03-27,199,79.48886766496149,795.9587775719807,False,66,207.2492108222817,1591.9175551439619
66,2020-03-28,231,79.48886766496149,795.9587775719807,False,67,233.97945936204462,1591.9175551439619
