,Report_Date,Gabon_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
113,2020-05-14,1104,912,132.56756495907047,3065.36613561009,False,114,1019.1725410853286,6130.732271220179
114,2020-05-15,1209,980,132.56756495907047,3065.36613561009,False,115,1095.1230308883662,6130.732271220179
115,2020-05-16,1320,1065,132.56756495907047,3065.36613561009,False,116,1175.431941839902,6130.732271220179
116,2020-05-17,1320,1065,132.56756495907047,3065.36613561009,False,117,1260.1563701067514,6130.732271220179
117,2020-05-18,1432,1120,132.56756495907047,3065.36613561009,False,118,1349.3247835473949,6130.732271220179
118,2020-05-19,1502,1172,132.56756495907047,3065.36613561009,False,119,1442.933502273389,6130.732271220179
119,2020-05-20,1567,1190,132.56756495907047,3065.36613561009,False,120,1540.9433851002543,6130.732271220179
120,2020-05-21,1567,1190,132.56756495907047,3065.36613561009,False,121,1643.2768486075684,6130.732271220179
121,2020-05-22,1728,1314,132.56756495907047,3065.36613561009,False,122,1749.8153532272368,6130.732271220179
122,2020-05-23,1934,1463,132.56756495907047,3065.36613561009,False,123,1860.397492957823,6130.732271220179
123,2020-05-24,1934,1463,132.56756495907047,3065.36613561009,False,124,1974.8178207352898,6130.732271220179
124,2020-05-25,2135,1559,132.56756495907047,3065.36613561009,False,125,2092.826529236084,6130.732271220179
125,2020-05-26,2238,1631,132.56756495907047,3065.36613561009,False,126,2214.1300864471245,6130.732271220179
126,2020-05-27,2319,1674,132.56756495907047,3065.36613561009,False,127,2338.3928967905554,6130.732271220179
127,2020-05-28,2431,1749,132.56756495907047,3065.36613561009,False,128,2465.2400227049166,6130.732271220179
