,Report_Date,Gabon_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,132.56756495907047,3065.36613561009,False,1,0.06686890790548809,6130.732271220179
1,2020-01-23,0,0,132.56756495907047,3065.36613561009,False,2,0.07293574393881942,6130.732271220179
2,2020-01-24,0,0,132.56756495907047,3065.36613561009,False,3,0.07955300053378589,6130.732271220179
3,2020-01-25,0,0,132.56756495907047,3065.36613561009,False,4,0.08677061386362524,6130.732271220179
4,2020-01-26,0,0,132.56756495907047,3065.36613561009,False,5,0.09464305023747258,6130.732271220179
5,2020-01-27,0,0,132.56756495907047,3065.36613561009,False,6,0.1032297170188523,6130.732271220179
6,2020-01-28,0,0,132.56756495907047,3065.36613561009,False,7,0.11259541080841996,6130.732271220179
7,2020-01-29,0,0,132.56756495907047,3065.36613561009,False,8,0.12281080626851865,6130.732271220179
8,2020-01-30,0,0,132.56756495907047,3065.36613561009,False,9,0.13395298927291685,6130.732271220179
9,2020-01-31,0,0,132.56756495907047,3065.36613561009,False,10,0.14610603839852387,6130.732271220179
10,2020-02-01,0,0,132.56756495907047,3065.36613561009,False,11,0.15936165913941203,6130.732271220179
11,2020-02-02,0,0,132.56756495907047,3065.36613561009,False,12,0.1738198756198243,6130.732271220179
12,2020-02-03,0,0,132.56756495907047,3065.36613561009,False,13,0.18958978501494744,6130.732271220179
13,2020-02-04,0,0,132.56756495907047,3065.36613561009,False,14,0.20679038035929817,6130.732271220179
14,2020-02-05,0,0,132.56756495907047,3065.36613561009,False,15,0.225551447936084,6130.732271220179
15,2020-02-06,0,0,132.56756495907047,3065.36613561009,False,16,0.24601454600066827,6130.732271220179
16,2020-02-07,0,0,132.56756495907047,3065.36613561009,False,17,0.2683340722014088,6130.732271220179
17,2020-02-08,0,0,132.56756495907047,3065.36613561009,False,18,0.2926784277261587,6130.732271220179
18,2020-02-09,0,0,132.56756495907047,3065.36613561009,False,19,0.3192312869274924,6130.732271220179
19,2020-02-10,0,0,132.56756495907047,3065.36613561009,False,20,0.34819298196956694,6130.732271220179
20,2020-02-11,0,0,132.56756495907047,3065.36613561009,False,21,0.37978201290022273,6130.732271220179
21,2020-02-12,0,0,132.56756495907047,3065.36613561009,False,22,0.41423669448973977,6130.732271220179
22,2020-02-13,0,0,132.56756495907047,3065.36613561009,False,23,0.45181695219941076,6130.732271220179
23,2020-02-14,0,0,132.56756495907047,3065.36613561009,False,24,0.49280628075616434,6130.732271220179
24,2020-02-15,0,0,132.56756495907047,3065.36613561009,False,25,0.5375138800218984,6130.732271220179
25,2020-02-16,0,0,132.56756495907047,3065.36613561009,False,26,0.5862769841666773,6130.732271220179
26,2020-02-17,0,0,132.56756495907047,3065.36613561009,False,27,0.6394634015929193,6130.732271220179
27,2020-02-18,0,0,132.56756495907047,3065.36613561009,False,28,0.6974742846234149,6130.732271220179
28,2020-02-19,0,0,132.56756495907047,3065.36613561009,False,29,0.760747149670502,6130.732271220179
29,2020-02-20,0,0,132.56756495907047,3065.36613561009,False,30,0.829759170458974,6130.732271220179
30,2020-02-21,0,0,132.56756495907047,3065.36613561009,False,31,0.9050307688942594,6130.732271220179
31,2020-02-22,0,0,132.56756495907047,3065.36613561009,False,32,0.9871295303640425,6130.732271220179
32,2020-02-23,0,0,132.56756495907047,3065.36613561009,False,33,1.0766744726509132,6130.732271220179
33,2020-02-24,0,0,132.56756495907047,3065.36613561009,False,34,1.1743407002320512,6130.732271220179
34,2020-02-25,0,0,132.56756495907047,3065.36613561009,False,35,1.2808644785668957,6130.732271220179
35,2020-02-26,0,0,132.56756495907047,3065.36613561009,False,36,1.3970487660440354,6130.732271220179
36,2020-02-27,0,0,132.56756495907047,3065.36613561009,False,37,1.5237692445943034,6130.732271220179
37,2020-02-28,0,0,132.56756495907047,3065.36613561009,False,38,1.6619808936000202,6130.732271220179
38,2020-02-29,0,0,132.56756495907047,3065.36613561009,False,39,1.812725155663464,6130.732271220179
39,2020-03-01,0,0,132.56756495907047,3065.36613561009,False,40,1.9771377470657836,6130.732271220179
40,2020-03-02,0,0,132.56756495907047,3065.36613561009,False,41,2.15645717037687,6130.732271220179
41,2020-03-03,0,0,132.56756495907047,3065.36613561009,False,42,2.3520339916950315,6130.732271220179
42,2020-03-04,0,0,132.56756495907047,3065.36613561009,False,43,2.5653409504322444,6130.732271220179
43,2020-03-05,0,0,132.56756495907047,3065.36613561009,False,44,2.797983975447173,6130.732271220179
44,2020-03-06,0,0,132.56756495907047,3065.36613561009,False,45,3.0517141876968,6130.732271220179
45,2020-03-07,0,0,132.56756495907047,3065.36613561009,False,46,3.328440976462266,6130.732271220179
46,2020-03-08,0,0,132.56756495907047,3065.36613561009,False,47,3.6302462436407392,6130.732271220179
47,2020-03-09,0,0,132.56756495907047,3065.36613561009,False,48,3.9593999186189923,6130.732271220179
48,2020-03-10,0,0,132.56756495907047,3065.36613561009,False,49,4.318376854893111,6130.732271220179
49,2020-03-11,0,0,132.56756495907047,3065.36613561009,False,50,4.709875228909552,6130.732271220179
50,2020-03-12,0,0,132.56756495907047,3065.36613561009,False,51,5.136836571612898,6130.732271220179
51,2020-03-13,0,0,132.56756495907047,3065.36613561009,False,52,5.6024675739315315,6130.732271220179
52,2020-03-14,1,1,132.56756495907047,3065.36613561009,False,53,6.110263818948635,6130.732271220179
53,2020-03-15,1,1,132.56756495907047,3065.36613561009,False,54,6.664035605824046,6130.732271220179
54,2020-03-16,1,1,132.56756495907047,3065.36613561009,False,55,7.267936043680916,6130.732271220179
55,2020-03-17,1,1,132.56756495907047,3065.36613561009,False,56,7.926491607671066,6130.732271220179
56,2020-03-18,1,1,132.56756495907047,3065.36613561009,False,57,8.644635364299427,6130.732271220179
57,2020-03-19,1,1,132.56756495907047,3065.36613561009,False,58,9.427743088824958,6130.732271220179
58,2020-03-20,3,2,132.56756495907047,3065.36613561009,False,59,10.281672514153502,6130.732271220179
59,2020-03-21,4,3,132.56756495907047,3065.36613561009,False,60,11.212805968072933,6130.732271220179
60,2020-03-22,5,4,132.56756495907047,3065.36613561009,False,61,12.228096673904382,6130.732271220179
61,2020-03-23,5,4,132.56756495907047,3065.36613561009,False,62,13.335119008584778,6130.732271220179
62,2020-03-24,6,5,132.56756495907047,3065.36613561009,False,63,14.542123031749286,6130.732271220179
63,2020-03-25,6,5,132.56756495907047,3065.36613561009,False,64,15.858093619404169,6130.732271220179
64,2020-03-26,7,6,132.56756495907047,3065.36613561009,False,65,17.292814556079932,6130.732271220179
65,2020-03-27,7,6,132.56756495907047,3065.36613561009,False,66,18.85693795968002,6130.732271220179
66,2020-03-28,7,6,132.56756495907047,3065.36613561009,False,67,20.56205943327405,6130.732271220179
67,2020-03-29,7,6,132.56756495907047,3065.36613561009,False,68,22.420799357422265,6130.732271220179
68,2020-03-30,7,6,132.56756495907047,3065.36613561009,False,69,24.44689075475618,6130.732271220179
69,2020-03-31,16,15,132.56756495907047,3065.36613561009,False,70,26.655274174859905,6130.732271220179
70,2020-04-01,18,17,132.56756495907047,3065.36613561009,False,71,29.062200061232836,6130.732271220179
71,2020-04-02,21,20,132.56756495907047,3065.36613561009,False,72,31.685339072344245,6130.732271220179
72,2020-04-03,21,19,132.56756495907047,3065.36613561009,False,73,34.54390083439346,6130.732271220179
73,2020-04-04,21,19,132.56756495907047,3065.36613561009,False,74,37.658761603021034,6130.732271220179
74,2020-04-05,21,19,132.56756495907047,3065.36613561009,False,75,41.05260130327658,6130.732271220179
75,2020-04-06,24,22,132.56756495907047,3065.36613561009,False,76,44.750050399728536,6130.732271220179
76,2020-04-07,30,28,132.56756495907047,3065.36613561009,False,77,48.77784701945693,6130.732271220179
77,2020-04-08,34,32,132.56756495907047,3065.36613561009,False,78,53.16500470716129,6130.732271220179
78,2020-04-09,44,42,132.56756495907047,3065.36613561009,False,79,57.942991130660225,6130.732271220179
79,2020-04-10,44,42,132.56756495907047,3065.36613561009,False,80,63.14591797308783,6130.732271220179
80,2020-04-11,46,44,132.56756495907047,3065.36613561009,False,81,68.81074214097559,6130.732271220179
81,2020-04-12,49,47,132.56756495907047,3065.36613561009,False,82,74.9774782804346,6130.732271220179
82,2020-04-13,57,55,132.56756495907047,3065.36613561009,False,83,81.68942242145192,6130.732271220179
83,2020-04-14,57,55,132.56756495907047,3065.36613561009,False,84,88.99338635683698,6130.732271220179
84,2020-04-15,80,75,132.56756495907047,3065.36613561009,False,85,96.93994210085548,6130.732271220179
85,2020-04-16,80,75,132.56756495907047,3065.36613561009,False,86,105.58367545559997,6130.732271220179
86,2020-04-17,108,100,132.56756495907047,3065.36613561009,False,87,114.9834473325546,6130.732271220179
87,2020-04-18,108,100,132.56756495907047,3065.36613561009,False,88,125.2026610238839,6130.732271220179
88,2020-04-19,109,101,132.56756495907047,3065.36613561009,False,89,136.30953308354898,6130.732271220179
89,2020-04-20,120,112,132.56756495907047,3065.36613561009,False,90,148.3773648530173,6130.732271220179
90,2020-04-21,156,139,132.56756495907047,3065.36613561009,False,91,161.48481094075555,6130.732271220179
91,2020-04-22,166,141,132.56756495907047,3065.36613561009,False,92,175.7161401301072,6130.732271220179
92,2020-04-23,167,141,132.56756495907047,3065.36613561009,False,93,191.16148323888726,6130.732271220179
93,2020-04-24,172,143,132.56756495907047,3065.36613561009,False,94,207.9170613803889,6130.732271220179
94,2020-04-25,176,143,132.56756495907047,3065.36613561009,False,95,226.08538687672677,6130.732271220179
95,2020-04-26,176,143,132.56756495907047,3065.36613561009,False,96,245.77542775302854,6130.732271220179
96,2020-04-27,211,165,132.56756495907047,3065.36613561009,False,97,267.1027253022375,6130.732271220179
97,2020-04-28,238,182,132.56756495907047,3065.36613561009,False,98,290.1894526701729,6130.732271220179
98,2020-04-29,276,206,132.56756495907047,3065.36613561009,False,99,315.16440079382795,6130.732271220179
99,2020-04-30,276,206,132.56756495907047,3065.36613561009,False,100,342.1628763698775,6130.732271220179
100,2020-05-01,276,206,132.56756495907047,3065.36613561009,False,101,371.3264948871569,6130.732271220179
101,2020-05-02,335,245,132.56756495907047,3065.36613561009,False,102,402.8028501965059,6130.732271220179
102,2020-05-03,335,245,132.56756495907047,3065.36613561009,False,103,436.7450407044434,6130.732271220179
103,2020-05-04,367,268,132.56756495907047,3065.36613561009,False,104,473.31103117714866,6130.732271220179
104,2020-05-05,397,298,132.56756495907047,3065.36613561009,False,105,512.6628284664894,6130.732271220179
105,2020-05-06,397,298,132.56756495907047,3065.36613561009,False,106,554.965449383671,6130.732271220179
106,2020-05-07,504,386,132.56756495907047,3065.36613561009,False,107,600.3856596358704,6130.732271220179
107,2020-05-08,620,502,132.56756495907047,3065.36613561009,False,108,649.0904644144342,6130.732271220179
108,2020-05-09,661,543,132.56756495907047,3065.36613561009,False,109,701.2453341004347,6130.732271220179
109,2020-05-10,661,543,132.56756495907047,3065.36613561009,False,110,757.0121528573783,6130.732271220179
110,2020-05-11,802,666,132.56756495907047,3065.36613561009,False,111,816.54688382052,6130.732271220179
111,2020-05-12,863,717,132.56756495907047,3065.36613561009,False,112,879.9969523418634,6130.732271220179
112,2020-05-13,1004,843,132.56756495907047,3065.36613561009,False,113,947.4983584229324,6130.732271220179
