,Report_Date,Canada_northwest territories_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,71.76527886923435,2.5871211566277172,True,1,6.07453780741892e-05,5.17411666429945
1,2020-01-23,0,0,71.76527886923435,2.5871211566277172,True,2,7.1315499286185e-05,5.17411666429945
2,2020-01-24,0,0,71.76527886923435,2.5871211566277172,True,3,8.372486585454023e-05,5.17411666429945
3,2020-01-25,0,0,71.76527886923435,2.5871211566277172,True,4,9.82935029150405e-05,5.17411666429945
4,2020-01-26,0,0,71.76527886923435,2.5871211566277172,True,5,0.0001153971150993335,5.17411666429945
5,2020-01-27,0,0,71.76527886923435,2.5871211566277172,True,6,0.0001354767723074316,5.17411666429945
6,2020-01-28,0,0,71.76527886923435,2.5871211566277172,True,7,0.00015905027976726,5.17411666429945
7,2020-01-29,0,0,71.76527886923435,2.5871211566277172,True,8,0.00018672552503622904,5.17411666429945
8,2020-01-30,0,0,71.76527886923435,2.5871211566277172,True,9,0.0002192161453631165,5.17411666429945
9,2020-01-31,0,0,71.76527886923435,2.5871211566277172,True,10,0.0002573599183641167,5.17411666429945
10,2020-02-01,0,0,71.76527886923435,2.5871211566277172,True,11,0.00030214034877813686,5.17411666429945
11,2020-02-02,0,0,71.76527886923435,2.5871211566277172,True,12,0.00035471200590956676,5.17411666429945
12,2020-02-03,0,0,71.76527886923435,2.5871211566277172,True,13,0.0004164302622917052,5.17411666429945
13,2020-02-04,0,0,71.76527886923435,2.5871211566277172,True,14,0.0004888861965008326,5.17411666429945
14,2020-02-05,0,0,71.76527886923435,2.5871211566277172,True,15,0.0005739475547027374,5.17411666429945
15,2020-02-06,0,0,71.76527886923435,2.5871211566277172,True,16,0.0006738068196564506,5.17411666429945
16,2020-02-07,0,0,71.76527886923435,2.5871211566277172,True,17,0.0007910376162900602,5.17411666429945
17,2020-02-08,0,0,71.76527886923435,2.5871211566277172,True,18,0.0009286608939510065,5.17411666429945
18,2020-02-09,0,0,71.76527886923435,2.5871211566277172,True,19,0.0010902225720436493,5.17411666429945
19,2020-02-10,0,0,71.76527886923435,2.5871211566277172,True,20,0.0012798846237875871,5.17411666429945
20,2020-02-11,0,0,71.76527886923435,2.5871211566277172,True,21,0.001502531908901043,5.17411666429945
