,Report_Date,Guatemala_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,148.55170413881228,12470.336856414173,False,1,0.26950188912483464,24940.673712828357
1,2020-01-23,0,0,148.55170413881228,12470.336856414173,False,2,0.29121902948656775,24940.673712828357
2,2020-01-24,0,0,148.55170413881228,12470.336856414173,False,3,0.3146861695836152,24940.673712828357
3,2020-01-25,0,0,148.55170413881228,12470.336856414173,False,4,0.3400443233167319,24940.673712828357
4,2020-01-26,0,0,148.55170413881228,12470.336856414173,False,5,0.36744586677926006,24940.673712828357
5,2020-01-27,0,0,148.55170413881228,12470.336856414173,False,6,0.3970554536615364,24940.673712828357
6,2020-01-28,0,0,148.55170413881228,12470.336856414173,False,7,0.4290510043881624,24940.673712828357
7,2020-01-29,0,0,148.55170413881228,12470.336856414173,False,8,0.46362477492415627,24940.673712828357
8,2020-01-30,0,0,148.55170413881228,12470.336856414173,False,9,0.5009845116634045,24940.673712828357
9,2020-01-31,0,0,148.55170413881228,12470.336856414173,False,10,0.5413546993285473,24940.673712828357
10,2020-02-01,0,0,148.55170413881228,12470.336856414173,False,11,0.5849779093685158,24940.673712828357
11,2020-02-02,0,0,148.55170413881228,12470.336856414173,False,12,0.6321162569417024,24940.673712828357
12,2020-02-03,0,0,148.55170413881228,12470.336856414173,False,13,0.6830529752227522,24940.673712828357
13,2020-02-04,0,0,148.55170413881228,12470.336856414173,False,14,0.7380941164730473,24940.673712828357
14,2020-02-05,0,0,148.55170413881228,12470.336856414173,False,15,0.797570390073279,24940.673712828357
15,2020-02-06,0,0,148.55170413881228,12470.336856414173,False,16,0.8618391485355378,24940.673712828357
16,2020-02-07,0,0,148.55170413881228,12470.336856414173,False,17,0.931286533396904,24940.673712828357
17,2020-02-08,0,0,148.55170413881228,12470.336856414173,False,18,1.0063297938518274,24940.673712828357
18,2020-02-09,0,0,148.55170413881228,12470.336856414173,False,19,1.0874197920122155,24940.673712828357
19,2020-02-10,0,0,148.55170413881228,12470.336856414173,False,20,1.1750437097981872,24940.673712828357
20,2020-02-11,0,0,148.55170413881228,12470.336856414173,False,21,1.2697279736653722,24940.673712828357
21,2020-02-12,0,0,148.55170413881228,12470.336856414173,False,22,1.372041414673489,24940.673712828357
22,2020-02-13,0,0,148.55170413881228,12470.336856414173,False,23,1.4825986828032789,24940.673712828357
23,2020-02-14,0,0,148.55170413881228,12470.336856414173,False,24,1.6020639359428073,24940.673712828357
24,2020-02-15,0,0,148.55170413881228,12470.336856414173,False,25,1.731154825598501,24940.673712828357
25,2020-02-16,0,0,148.55170413881228,12470.336856414173,False,26,1.8706468031504384,24940.673712828357
26,2020-02-17,0,0,148.55170413881228,12470.336856414173,False,27,2.02137777237552,24940.673712828357
27,2020-02-18,0,0,148.55170413881228,12470.336856414173,False,28,2.1842531160171297,24940.673712828357
28,2020-02-19,0,0,148.55170413881228,12470.336856414173,False,29,2.3602511263974955,24940.673712828357
29,2020-02-20,0,0,148.55170413881228,12470.336856414173,False,30,2.5504288724617172,24940.673712828357
30,2020-02-21,0,0,148.55170413881228,12470.336856414173,False,31,2.7559285382239693,24940.673712828357
31,2020-02-22,0,0,148.55170413881228,12470.336856414173,False,32,2.97798427037111,24940.673712828357
32,2020-02-23,0,0,148.55170413881228,12470.336856414173,False,33,3.2179295757825956,24940.673712828357
33,2020-02-24,0,0,148.55170413881228,12470.336856414173,False,34,3.47720531296469,24940.673712828357
34,2020-02-25,0,0,148.55170413881228,12470.336856414173,False,35,3.757368324889556,24940.673712828357
35,2020-02-26,0,0,148.55170413881228,12470.336856414173,False,36,4.0601007644950124,24940.673712828357
36,2020-02-27,0,0,148.55170413881228,12470.336856414173,False,37,4.387220168158914,24940.673712828357
37,2020-02-28,0,0,148.55170413881228,12470.336856414173,False,38,4.740690336835405,24940.673712828357
38,2020-02-29,0,0,148.55170413881228,12470.336856414173,False,39,5.122633089251769,24940.673712828357
39,2020-03-01,0,0,148.55170413881228,12470.336856414173,False,40,5.535340956639425,24940.673712828357
40,2020-03-02,0,0,148.55170413881228,12470.336856414173,False,41,5.981290893937124,24940.673712828357
41,2020-03-03,0,0,148.55170413881228,12470.336856414173,False,42,6.463159088287055,24940.673712828357
42,2020-03-04,0,0,148.55170413881228,12470.336856414173,False,43,6.983836951974915,24940.673712828357
43,2020-03-05,0,0,148.55170413881228,12470.336856414173,False,44,7.546448393775319,24940.673712828357
44,2020-03-06,0,0,148.55170413881228,12470.336856414173,False,45,8.154368469987245,24940.673712828357
