,Report_Date,Netherlands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.50962482724084,14109.277253094437,True,1,0.33147464901675194,26850.53062297846
1,2020-01-23,0,71.50962482724084,14109.277253094437,True,2,0.3893768128485878,26850.53062297846
2,2020-01-24,0,71.50962482724084,14109.277253094437,True,3,0.45739319278292556,26850.53062297846
3,2020-01-25,0,71.50962482724084,14109.277253094437,True,4,0.5372904544252125,26850.53062297846
4,2020-01-26,0,71.50962482724084,14109.277253094437,True,5,0.6311438259083013,26850.53062297846
5,2020-01-27,0,71.50962482724084,14109.277253094437,True,6,0.7413909818625524,26850.53062297846
6,2020-01-28,0,71.50962482724084,14109.277253094437,True,7,0.8708953336766743,26850.53062297846
7,2020-01-29,0,71.50962482724084,14109.277253094437,True,8,1.0230203667677134,26850.53062297846
8,2020-01-30,0,71.50962482724084,14109.277253094437,True,9,1.2017169512726615,26850.53062297846
9,2020-01-31,0,71.50962482724084,14109.277253094437,True,10,1.4116258878280314,26850.53062297846
10,2020-02-01,0,71.50962482724084,14109.277253094437,True,11,1.658198343443333,26850.53062297846
11,2020-02-02,0,71.50962482724084,14109.277253094437,True,12,1.9478372938651003,26850.53062297846
12,2020-02-03,0,71.50962482724084,14109.277253094437,True,13,2.288063629907394,26850.53062297846
13,2020-02-04,0,71.50962482724084,14109.277253094437,True,14,2.6877112195681376,26850.53062297846
14,2020-02-05,0,71.50962482724084,14109.277253094437,True,15,3.1571559611745985,26850.53062297846
15,2020-02-06,0,71.50962482724084,14109.277253094437,True,16,3.7085847337048756,26850.53062297846
16,2020-02-07,0,71.50962482724084,14109.277253094437,True,17,4.35631117018033,26850.53062297846
17,2020-02-08,0,71.50962482724084,14109.277253094437,True,18,5.117146373371411,26850.53062297846
18,2020-02-09,0,71.50962482724084,14109.277253094437,True,19,6.010834088614326,26850.53062297846
19,2020-02-10,0,71.50962482724084,14109.277253094437,True,20,7.060561479254634,26850.53062297846
20,2020-02-11,0,71.50962482724084,14109.277253094437,True,21,8.293558553936036,26850.53062297846
21,2020-02-12,0,71.50962482724084,14109.277253094437,True,22,9.741801514834215,26850.53062297846
22,2020-02-13,0,71.50962482724084,14109.277253094437,True,23,11.442837881047254,26850.53062297846
23,2020-02-14,0,71.50962482724084,14109.277253094437,True,24,13.440754246987838,26850.53062297846
24,2020-02-15,0,71.50962482724084,14109.277253094437,True,25,15.787311023533256,26850.53062297846
25,2020-02-16,0,71.50962482724084,14109.277253094437,True,26,18.54327254803151,26850.53062297846
26,2020-02-17,0,71.50962482724084,14109.277253094437,True,27,21.779965612076147,26850.53062297846
27,2020-02-18,0,71.50962482724084,14109.277253094437,True,28,25.581104821973284,26850.53062297846
28,2020-02-19,0,71.50962482724084,14109.277253094437,True,29,30.044929357221324,26850.53062297846
29,2020-02-20,0,71.50962482724084,14109.277253094437,True,30,35.28670270704835,26850.53062297846
30,2020-02-21,0,71.50962482724084,14109.277253094437,True,31,41.441634916966,26850.53062297846
31,2020-02-22,0,71.50962482724084,14109.277253094437,True,32,48.66829582334138,26850.53062297846
32,2020-02-23,0,71.50962482724084,14109.277253094437,True,33,57.152597722133216,26850.53062297846
33,2020-02-24,0,71.50962482724084,14109.277253094437,True,34,67.11243688837841,26850.53062297846
34,2020-02-25,0,71.50962482724084,14109.277253094437,True,35,78.8030952414048,26850.53062297846
35,2020-02-26,0,71.50962482724084,14109.277253094437,True,36,92.5235160308079,26850.53062297846
36,2020-02-27,1,71.50962482724084,14109.277253094437,True,37,108.62358033008486,26850.53062297846
37,2020-02-28,1,71.50962482724084,14109.277253094437,True,38,127.51252376458419,26850.53062297846
38,2020-02-29,6,71.50962482724084,14109.277253094437,True,39,149.66864433559718,26850.53062297846
39,2020-03-01,10,71.50962482724084,14109.277253094437,True,40,175.6504610464068,26850.53062297846
40,2020-03-02,18,71.50962482724084,14109.277253094437,True,41,206.10948728490854,26850.53062297846
41,2020-03-03,24,71.50962482724084,14109.277253094437,True,42,241.80477974086844,26850.53062297846
42,2020-03-04,38,71.50962482724084,14109.277253094437,True,43,283.61940911775633,26850.53062297846
43,2020-03-05,82,71.50962482724084,14109.277253094437,True,44,332.5789677240778,26850.53062297846
44,2020-03-06,128,71.50962482724084,14109.277253094437,True,45,389.872174123042,26850.53062297846
45,2020-03-07,188,71.50962482724084,14109.277253094437,True,46,456.8735471651831,26850.53062297846
46,2020-03-08,265,71.50962482724084,14109.277253094437,True,47,535.167989207056,26850.53062297846
47,2020-03-09,321,71.50962482724084,14109.277253094437,True,48,626.576926667614,26850.53062297846
48,2020-03-10,382,71.50962482724084,14109.277253094437,True,49,733.1853881214369,26850.53062297846
49,2020-03-11,503,71.50962482724084,14109.277253094437,True,50,857.3690365616446,26850.53062297846
50,2020-03-12,503,71.50962482724084,14109.277253094437,True,51,1001.8196933095876,26850.53062297846
51,2020-03-13,804,71.50962482724084,14109.277253094437,True,52,1169.5672785932043,26850.53062297846
52,2020-03-14,959,71.50962482724084,14109.277253094437,True,53,1363.9953376887647,26850.53062297846
53,2020-03-15,1135,71.50962482724084,14109.277253094437,True,54,1588.8464266985586,26850.53062297846
54,2020-03-16,1413,71.50962482724084,14109.277253094437,True,55,1848.2126305300756,26850.53062297846
55,2020-03-17,1705,71.50962482724084,14109.277253094437,True,56,2146.5054521500024,26850.53062297846
56,2020-03-18,2051,71.50962482724084,14109.277253094437,True,57,2488.3983829563726,26850.53062297846
