,Report_Date,China_yunnan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,11.336732576474985,87.61274092784295,True,1,11.45683573129048,175.2254808289255
1,2020-01-23,2,11.336732576474985,87.61274092784295,True,2,14.539989658834422,175.2254808289255
2,2020-01-24,5,11.336732576474985,87.61274092784295,True,3,18.35983514481198,175.2254808289255
3,2020-01-25,11,11.336732576474985,87.61274092784295,True,4,23.03931738090788,175.2254808289255
4,2020-01-26,16,11.336732576474985,87.61274092784295,True,5,28.693325178339574,175.2254808289255
5,2020-01-27,26,11.336732576474985,87.61274092784295,True,6,35.412002411416395,175.2254808289255
6,2020-01-28,44,11.336732576474985,87.61274092784295,True,7,43.23965660419632,175.2254808289255
7,2020-01-29,55,11.336732576474985,87.61274092784295,True,8,52.1521658295019,175.2254808289255
8,2020-01-30,70,11.336732576474985,87.61274092784295,True,9,62.03823614091697,175.2254808289255
9,2020-01-31,83,11.336732576474985,87.61274092784295,True,10,72.69146522582233,175.2254808289255
10,2020-02-01,93,11.336732576474985,87.61274092784295,True,11,83.81934971742031,175.2254808289255
11,2020-02-02,105,11.336732576474985,87.61274092784295,True,12,95.07122098686916,175.2254808289255
12,2020-02-03,117,11.336732576474985,87.61274092784295,True,13,106.08060308842683,175.2254808289255
13,2020-02-04,122,11.336732576474985,87.61274092784295,True,14,116.51169813823827,175.2254808289255
14,2020-02-05,128,11.336732576474985,87.61274092784295,True,15,126.09794070708273,175.2254808289255
15,2020-02-06,133,11.336732576474985,87.61274092784295,True,16,134.66391181634964,175.2254808289255
16,2020-02-07,138,11.336732576474985,87.61274092784295,True,17,142.12832635922788,175.2254808289255
17,2020-02-08,138,11.336732576474985,87.61274092784295,True,18,148.49178842401815,175.2254808289255
18,2020-02-09,141,11.336732576474985,87.61274092784295,True,19,153.81607013249817,175.2254808289255
19,2020-02-10,149,11.336732576474985,87.61274092784295,True,20,158.20153647715608,175.2254808289255
20,2020-02-11,153,11.336732576474985,87.61274092784295,True,21,161.7672896514826,175.2254808289255
21,2020-02-12,154,11.336732576474985,87.61274092784295,True,22,164.6361693031154,175.2254808289255
22,2020-02-13,156,11.336732576474985,87.61274092784295,True,23,166.924870871443,175.2254808289255
23,2020-02-14,162,11.336732576474985,87.61274092784295,True,24,168.7383991690838,175.2254808289255
24,2020-02-15,168,11.336732576474985,87.61274092784295,True,25,170.16771084505052,175.2254808289255
25,2020-02-16,171,11.336732576474985,87.61274092784295,True,26,171.28944544887895,175.2254808289255
26,2020-02-17,171,11.336732576474985,87.61274092784295,True,27,172.16686849708086,175.2254808289255
27,2020-02-18,172,11.336732576474985,87.61274092784295,True,28,172.8514069533202,175.2254808289255
28,2020-02-19,172,11.336732576474985,87.61274092784295,True,29,173.38437937378455,175.2254808289255
29,2020-02-20,174,11.336732576474985,87.61274092784295,True,30,173.7986887961647,175.2254808289255
30,2020-02-21,174,11.336732576474985,87.61274092784295,True,31,174.12035904373747,175.2254808289255
31,2020-02-22,174,11.336732576474985,87.61274092784295,True,32,174.36986581039503,175.2254808289255
