,Report_Date,New Zealand_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,71.68318329947407,756.3186609374497,True,1,0.01776155883527976,1512.6015092681748
1,2020-01-23,0,0,71.68318329947407,756.3186609374497,True,2,0.020856025874015506,1512.6015092681748
2,2020-01-24,0,0,71.68318329947407,756.3186609374497,True,3,0.024489610639394428,1512.6015092681748
3,2020-01-25,0,0,71.68318329947407,756.3186609374497,True,4,0.028756234859504907,1512.6015092681748
4,2020-01-26,0,0,71.68318329947407,756.3186609374497,True,5,0.033766181467727016,1512.6015092681748
5,2020-01-27,0,0,71.68318329947407,756.3186609374497,True,6,0.03964894425729629,1512.6015092681748
6,2020-01-28,0,0,71.68318329947407,756.3186609374497,True,7,0.0465565736845781,1512.6015092681748
7,2020-01-29,0,0,71.68318329947407,756.3186609374497,True,8,0.05466760513661812,1512.6015092681748
8,2020-01-30,0,0,71.68318329947407,756.3186609374497,True,9,0.06419167096915832,1512.6015092681748
9,2020-01-31,0,0,71.68318329947407,756.3186609374497,True,10,0.07537491520560911,1512.6015092681748
10,2020-02-01,0,0,71.68318329947407,756.3186609374497,True,11,0.0885063504104936,1512.6015092681748
11,2020-02-02,0,0,71.68318329947407,756.3186609374497,True,12,0.10392532043262427,1512.6015092681748
12,2020-02-03,0,0,71.68318329947407,756.3186609374497,True,13,0.12203026106077088,1512.6015092681748
13,2020-02-04,0,0,71.68318329947407,756.3186609374497,True,14,0.14328898385570052,1512.6015092681748
14,2020-02-05,0,0,71.68318329947407,756.3186609374497,True,15,0.16825074734167036,1512.6015092681748
15,2020-02-06,0,0,71.68318329947407,756.3186609374497,True,16,0.1975604253164832,1512.6015092681748
16,2020-02-07,0,0,71.68318329947407,756.3186609374497,True,17,0.2319751353850472,1512.6015092681748
17,2020-02-08,0,0,71.68318329947407,756.3186609374497,True,18,0.2723837532262152,1512.6015092681748
18,2020-02-09,0,0,71.68318329947407,756.3186609374497,True,19,0.3198298110560001,1512.6015092681748
19,2020-02-10,0,0,71.68318329947407,756.3186609374497,True,20,0.3755383639675669,1512.6015092681748
20,2020-02-11,0,0,71.68318329947407,756.3186609374497,True,21,0.44094750727804255,1512.6015092681748
21,2020-02-12,0,0,71.68318329947407,756.3186609374497,True,22,0.5177453439420291,1512.6015092681748
22,2020-02-13,0,0,71.68318329947407,756.3186609374497,True,23,0.6079133360542728,1512.6015092681748
23,2020-02-14,0,0,71.68318329947407,756.3186609374497,True,24,0.7137771313367326,1512.6015092681748
24,2020-02-15,0,0,71.68318329947407,756.3186609374497,True,25,0.8380661375029176,1512.6015092681748
25,2020-02-16,0,0,71.68318329947407,756.3186609374497,True,26,0.9839833280641703,1512.6015092681748
26,2020-02-17,0,0,71.68318329947407,756.3186609374497,True,27,1.155287006347226,1512.6015092681748
27,2020-02-18,0,0,71.68318329947407,756.3186609374497,True,28,1.356386534337968,1512.6015092681748
28,2020-02-19,0,0,71.68318329947407,756.3186609374497,True,29,1.592454353697846,1512.6015092681748
29,2020-02-20,0,0,71.68318329947407,756.3186609374497,True,30,1.8695569921115587,1512.6015092681748
30,2020-02-21,0,0,71.68318329947407,756.3186609374497,True,31,2.194808162865377,1512.6015092681748
31,2020-02-22,0,0,71.68318329947407,756.3186609374497,True,32,2.576547532277755,1512.6015092681748
32,2020-02-23,0,0,71.68318329947407,756.3186609374497,True,33,3.024549249903369,1512.6015092681748
33,2020-02-24,0,0,71.68318329947407,756.3186609374497,True,34,3.5502649094900236,1512.6015092681748
34,2020-02-25,0,0,71.68318329947407,756.3186609374497,True,35,4.167106229894604,1512.6015092681748
35,2020-02-26,0,0,71.68318329947407,756.3186609374497,True,36,4.890773404294639,1512.6015092681748
36,2020-02-27,0,0,71.68318329947407,756.3186609374497,True,37,5.7396357445015465,1512.6015092681748
37,2020-02-28,1,1,71.68318329947407,756.3186609374497,True,38,6.73517191454639,1512.6015092681748
38,2020-02-29,1,1,71.68318329947407,756.3186609374497,True,39,7.902477656830553,1512.6015092681748
39,2020-03-01,1,1,71.68318329947407,756.3186609374497,True,40,9.270849394797414,1512.6015092681748
40,2020-03-02,1,1,71.68318329947407,756.3186609374497,True,41,10.87445234667052,1512.6015092681748
41,2020-03-03,1,1,71.68318329947407,756.3186609374497,True,42,12.75308166165516,1512.6015092681748
42,2020-03-04,3,3,71.68318329947407,756.3186609374497,True,43,14.953024394119483,1512.6015092681748
43,2020-03-05,3,3,71.68318329947407,756.3186609374497,True,44,17.52802859227761,1512.6015092681748
44,2020-03-06,4,4,71.68318329947407,756.3186609374497,True,45,20.54038303549383,1512.6015092681748
45,2020-03-07,5,5,71.68318329947407,756.3186609374497,True,46,24.062106738329792,1512.6015092681748
46,2020-03-08,5,5,71.68318329947407,756.3186609374497,True,47,28.17624065078801,1512.6015092681748
47,2020-03-09,5,5,71.68318329947407,756.3186609374497,True,48,32.97822428136579,1512.6015092681748
48,2020-03-10,5,5,71.68318329947407,756.3186609374497,True,49,38.57732636839557,1512.6015092681748
49,2020-03-11,5,5,71.68318329947407,756.3186609374497,True,50,45.098080224627935,1512.6015092681748
50,2020-03-12,5,5,71.68318329947407,756.3186609374497,True,51,52.68164993265448,1512.6015092681748
51,2020-03-13,5,5,71.68318329947407,756.3186609374497,True,52,61.48702222306371,1512.6015092681748
52,2020-03-14,6,6,71.68318329947407,756.3186609374497,True,53,71.69188001686135,1512.6015092681748
53,2020-03-15,8,8,71.68318329947407,756.3186609374497,True,54,83.4929673946722,1512.6015092681748
54,2020-03-16,8,8,71.68318329947407,756.3186609374497,True,55,97.10570363001253,1512.6015092681748
55,2020-03-17,12,12,71.68318329947407,756.3186609374497,True,56,112.7627494721734,1512.6015092681748
56,2020-03-18,20,20,71.68318329947407,756.3186609374497,True,57,130.71117874976412,1512.6015092681748
57,2020-03-19,28,28,71.68318329947407,756.3186609374497,True,58,151.20787334943333,1512.6015092681748
58,2020-03-20,39,39,71.68318329947407,756.3186609374497,True,59,174.51275532975728,1512.6015092681748
