,Report_Date,Nicaragua_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.6311668571109,4.068928084857346,True,1,9.600897018049571e-05,7.866730286549563
1,2020-01-23,0,69.6311668571109,4.068928084857346,True,2,0.00011327076026376361,7.866730286549563
2,2020-01-24,0,69.6311668571109,4.068928084857346,True,3,0.0001336360572708869,7.866730286549563
3,2020-01-25,0,69.6311668571109,4.068928084857346,True,4,0.00015766282247893875,7.866730286549563
4,2020-01-26,0,69.6311668571109,4.068928084857346,True,5,0.00018600932191707435,7.866730286549563
5,2020-01-27,0,69.6311668571109,4.068928084857346,True,6,0.00021945215509356256,7.866730286549563
6,2020-01-28,0,69.6311668571109,4.068928084857346,True,7,0.000258907522995064,7.866730286549563
7,2020-01-29,0,69.6311668571109,4.068928084857346,True,8,0.00030545631689609667,7.866730286549563
8,2020-01-30,0,69.6311668571109,4.068928084857346,True,9,0.00036037371373385895,7.866730286549563
9,2020-01-31,0,69.6311668571109,4.068928084857346,True,10,0.00042516408662507946,7.866730286549563
10,2020-02-01,0,69.6311668571109,4.068928084857346,True,11,0.000501602183820013,7.866730286549563
11,2020-02-02,0,69.6311668571109,4.068928084857346,True,12,0.0005917816998683091,7.866730286549563
12,2020-02-03,0,69.6311668571109,4.068928084857346,True,13,0.0006981725635427603,7.866730286549563
13,2020-02-04,0,69.6311668571109,4.068928084857346,True,14,0.0008236885034353436,7.866730286549563
14,2020-02-05,0,69.6311668571109,4.068928084857346,True,15,0.0009717667303098342,7.866730286549563
15,2020-02-06,0,69.6311668571109,4.068928084857346,True,16,0.0011464619025097964,7.866730286549563
16,2020-02-07,0,69.6311668571109,4.068928084857346,True,17,0.0013525569254190328,7.866730286549563
17,2020-02-08,0,69.6311668571109,4.068928084857346,True,18,0.0015956935879620588,7.866730286549563
18,2020-02-09,0,69.6311668571109,4.068928084857346,True,19,0.0018825265697811745,7.866730286549563
19,2020-02-10,0,69.6311668571109,4.068928084857346,True,20,0.0022209049751587212,7.866730286549563
20,2020-02-11,0,69.6311668571109,4.068928084857346,True,21,0.00262008627905572,7.866730286549563
21,2020-02-12,0,69.6311668571109,4.068928084857346,True,22,0.0030909884240612477,7.866730286549563
22,2020-02-13,0,69.6311668571109,4.068928084857346,True,23,0.003646486804178769,7.866730286549563
23,2020-02-14,0,69.6311668571109,4.068928084857346,True,24,0.004301764034267616,7.866730286549563
24,2020-02-15,0,69.6311668571109,4.068928084857346,True,25,0.005074721757160209,7.866730286549563
25,2020-02-16,0,69.6311668571109,4.068928084857346,True,26,0.005986465310923468,7.866730286549563
26,2020-02-17,0,69.6311668571109,4.068928084857346,True,27,0.007061873895397947,7.866730286549563
27,2020-02-18,0,69.6311668571109,4.068928084857346,True,28,0.00833027097033729,7.866730286549563
28,2020-02-19,0,69.6311668571109,4.068928084857346,True,29,0.009826212017595481,7.866730286549563
29,2020-02-20,0,69.6311668571109,4.068928084857346,True,30,0.011590409535395979,7.866730286549563
30,2020-02-21,0,69.6311668571109,4.068928084857346,True,31,0.013670818227315919,7.866730286549563
31,2020-02-22,0,69.6311668571109,4.068928084857346,True,32,0.016123906816171457,7.866730286549563
32,2020-02-23,0,69.6311668571109,4.068928084857346,True,33,0.0190161467510325,7.866730286549563
33,2020-02-24,0,69.6311668571109,4.068928084857346,True,34,0.022425752255471977,7.866730286549563
34,2020-02-25,0,69.6311668571109,4.068928084857346,True,35,0.026444710618169397,7.866730286549563
35,2020-02-26,0,69.6311668571109,4.068928084857346,True,36,0.031181146225050343,7.866730286549563
36,2020-02-27,0,69.6311668571109,4.068928084857346,True,37,0.03676206636112752,7.866730286549563
37,2020-02-28,0,69.6311668571109,4.068928084857346,True,38,0.04333654093378023,7.866730286549563
38,2020-02-29,0,69.6311668571109,4.068928084857346,True,39,0.051079371480438104,7.866730286549563
39,2020-03-01,0,69.6311668571109,4.068928084857346,True,40,0.0601953063814298,7.866730286549563
40,2020-03-02,0,69.6311668571109,4.068928084857346,True,41,0.07092385804602441,7.866730286549563
41,2020-03-03,0,69.6311668571109,4.068928084857346,True,42,0.08354477250076119,7.866730286549563
42,2020-03-04,0,69.6311668571109,4.068928084857346,True,43,0.09838419026562226,7.866730286549563
43,2020-03-05,0,69.6311668571109,4.068928084857346,True,44,0.11582151695136697,7.866730286549563
44,2020-03-06,0,69.6311668571109,4.068928084857346,True,45,0.13629698910867674,7.866730286549563
45,2020-03-07,0,69.6311668571109,4.068928084857346,True,46,0.16031987098778702,7.866730286549563
46,2020-03-08,0,69.6311668571109,4.068928084857346,True,47,0.18847714544406552,7.866730286549563
47,2020-03-09,0,69.6311668571109,4.068928084857346,True,48,0.22144246064366627,7.866730286549563
48,2020-03-10,0,69.6311668571109,4.068928084857346,True,49,0.2599849561276337,7.866730286549563
49,2020-03-11,0,69.6311668571109,4.068928084857346,True,50,0.30497740975956333,7.866730286549563
50,2020-03-12,0,69.6311668571109,4.068928084857346,True,51,0.3574029149484985,7.866730286549563
51,2020-03-13,0,69.6311668571109,4.068928084857346,True,52,0.41835901267663883,7.866730286549563
52,2020-03-14,0,69.6311668571109,4.068928084857346,True,53,0.4890578697296677,7.866730286549563
53,2020-03-15,0,69.6311668571109,4.068928084857346,True,54,0.5708207297773159,7.866730286549563
54,2020-03-16,0,69.6311668571109,4.068928084857346,True,55,0.6650645031002991,7.866730286549563
55,2020-03-17,0,69.6311668571109,4.068928084857346,True,56,0.773278065869892,7.866730286549563
