,Report_Date,S. Korea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,44.06254835312061,5170.790989170968,True,1,6.579142719774049,10341.553621338262
1,2020-01-23,1,44.06254835312061,5170.790989170968,True,2,7.804385660250531,10341.553621338262
2,2020-01-24,2,44.06254835312061,5170.790989170968,True,3,9.257602913721412,10341.553621338262
3,2020-01-25,2,44.06254835312061,5170.790989170968,True,4,10.981129239885558,10341.553621338262
4,2020-01-26,3,44.06254835312061,5170.790989170968,True,5,13.025127107216072,10341.553621338262
5,2020-01-27,4,44.06254835312061,5170.790989170968,True,6,15.449020271225947,10341.553621338262
6,2020-01-28,4,44.06254835312061,5170.790989170968,True,7,18.323184294774222,10341.553621338262
7,2020-01-29,4,44.06254835312061,5170.790989170968,True,8,21.730937770826753,10341.553621338262
8,2020-01-30,4,44.06254835312061,5170.790989170968,True,9,25.770884512247726,10341.553621338262
9,2020-01-31,11,44.06254835312061,5170.790989170968,True,10,30.559664036372407,10341.553621338262
10,2020-02-01,12,44.06254835312061,5170.790989170968,True,11,36.2351751453784,10341.553621338262
11,2020-02-02,15,44.06254835312061,5170.790989170968,True,12,42.960345015567256,10341.553621338262
12,2020-02-03,15,44.06254835312061,5170.790989170968,True,13,50.92752351016804,10341.553621338262
13,2020-02-04,16,44.06254835312061,5170.790989170968,True,14,60.36358871745829,10341.553621338262
14,2020-02-05,19,44.06254835312061,5170.790989170968,True,15,71.53585392871669,10341.553621338262
15,2020-02-06,23,44.06254835312061,5170.790989170968,True,16,84.75886685794173,10341.553621338262
16,2020-02-07,24,44.06254835312061,5170.790989170968,True,17,100.4021866536297,10341.553621338262
17,2020-02-08,24,44.06254835312061,5170.790989170968,True,18,118.89921007156967,10341.553621338262
18,2020-02-09,25,44.06254835312061,5170.790989170968,True,19,140.75709084488838,10341.553621338262
19,2020-02-10,27,44.06254835312061,5170.790989170968,True,20,166.5677501686113,10341.553621338262
20,2020-02-11,28,44.06254835312061,5170.790989170968,True,21,197.01990398468467,10341.553621338262
21,2020-02-12,28,44.06254835312061,5170.790989170968,True,22,232.91192518357352,10341.553621338262
22,2020-02-13,28,44.06254835312061,5170.790989170968,True,23,275.1652047828898,10341.553621338262
23,2020-02-14,28,44.06254835312061,5170.790989170968,True,24,324.83746289707676,10341.553621338262
24,2020-02-15,28,44.06254835312061,5170.790989170968,True,25,383.1351746668862,10341.553621338262
25,2020-02-16,29,44.06254835312061,5170.790989170968,True,26,451.4239067479919,10341.553621338262
26,2020-02-17,30,44.06254835312061,5170.790989170968,True,27,531.2349005196922,10341.553621338262
27,2020-02-18,31,44.06254835312061,5170.790989170968,True,28,624.2656947755528,10341.553621338262
28,2020-02-19,31,44.06254835312061,5170.790989170968,True,29,732.3719802848989,10341.553621338262
29,2020-02-20,104,44.06254835312061,5170.790989170968,True,30,857.5472816264867,10341.553621338262
30,2020-02-21,204,44.06254835312061,5170.790989170968,True,31,1001.8865761775193,10341.553621338262
31,2020-02-22,433,44.06254835312061,5170.790989170968,True,32,1167.5297551818385,10341.553621338262
32,2020-02-23,602,44.06254835312061,5170.790989170968,True,33,1356.5811432957316,10341.553621338262
33,2020-02-24,833,44.06254835312061,5170.790989170968,True,34,1571.0024113047195,10341.553621338262
34,2020-02-25,977,44.06254835312061,5170.790989170968,True,35,1812.4784423761491,10341.553621338262
35,2020-02-26,1261,44.06254835312061,5170.790989170968,True,36,2082.259266040947,10341.553621338262
36,2020-02-27,1766,44.06254835312061,5170.790989170968,True,37,2380.98605744877,10341.553621338262
37,2020-02-28,2337,44.06254835312061,5170.790989170968,True,38,2708.515024249795,10341.553621338262
38,2020-02-29,3150,44.06254835312061,5170.790989170968,True,39,3063.7588487336834,10341.553621338262
39,2020-03-01,3736,44.06254835312061,5170.790989170968,True,40,3444.5697445715377,10341.553621338262
40,2020-03-02,4335,44.06254835312061,5170.790989170968,True,41,3847.689312488292,10341.553621338262
41,2020-03-03,5186,44.06254835312061,5170.790989170968,True,42,4268.786592813507,10341.553621338262
42,2020-03-04,5621,44.06254835312061,5170.790989170968,True,43,4702.596263593452,10341.553621338262
43,2020-03-05,6088,44.06254835312061,5170.790989170968,True,44,5143.154640490253,10341.553621338262
44,2020-03-06,6593,44.06254835312061,5170.790989170968,True,45,5584.1146340762725,10341.553621338262
45,2020-03-07,7041,44.06254835312061,5170.790989170968,True,46,6019.106061764681,10341.553621338262
46,2020-03-08,7314,44.06254835312061,5170.790989170968,True,47,6442.098735579796,10341.553621338262
47,2020-03-09,7478,44.06254835312061,5170.790989170968,True,48,6847.725186653894,10341.553621338262
48,2020-03-10,7513,44.06254835312061,5170.790989170968,True,49,7231.5279109863795,10341.553621338262
49,2020-03-11,7755,44.06254835312061,5170.790989170968,True,50,7590.110262287885,10341.553621338262
50,2020-03-12,7869,44.06254835312061,5170.790989170968,True,51,7921.186632572051,10341.553621338262
51,2020-03-13,7979,44.06254835312061,5170.790989170968,True,52,8223.542309240911,10341.553621338262
52,2020-03-14,8086,44.06254835312061,5170.790989170968,True,53,8496.923534929774,10341.553621338262
53,2020-03-15,8162,44.06254835312061,5170.790989170968,True,54,8741.882776735503,10341.553621338262
54,2020-03-16,8236,44.06254835312061,5170.790989170968,True,55,8959.603621734908,10341.553621338262
55,2020-03-17,8320,44.06254835312061,5170.790989170968,True,56,9151.725630800001,10341.553621338262
56,2020-03-18,8413,44.06254835312061,5170.790989170968,True,57,9320.183728425793,10341.553621338262
57,2020-03-19,8565,44.06254835312061,5170.790989170968,True,58,9467.070816610445,10341.553621338262
58,2020-03-20,8652,44.06254835312061,5170.790989170968,True,59,9594.527268625889,10341.553621338262
59,2020-03-21,8799,44.06254835312061,5170.790989170968,True,60,9704.657232128247,10341.553621338262
60,2020-03-22,8961,44.06254835312061,5170.790989170968,True,61,9799.46928834986,10341.553621338262
61,2020-03-23,8961,44.06254835312061,5170.790989170968,True,62,9880.837773174977,10341.553621338262
62,2020-03-24,9037,44.06254835312061,5170.790989170968,True,63,9950.48067018581,10341.553621338262
63,2020-03-25,9137,44.06254835312061,5170.790989170968,True,64,10009.950140366915,10341.553621338262
64,2020-03-26,9241,44.06254835312061,5170.790989170968,True,65,10060.632214194919,10341.553621338262
65,2020-03-27,9332,44.06254835312061,5170.790989170968,True,66,10103.75276193726,10341.553621338262
66,2020-03-28,9478,44.06254835312061,5170.790989170968,True,67,10140.387462073513,10341.553621338262
67,2020-03-29,9583,44.06254835312061,5170.790989170968,True,68,10171.474040310859,10341.553621338262
68,2020-03-30,9661,44.06254835312061,5170.790989170968,True,69,10197.825522261066,10341.553621338262
69,2020-03-31,9786,44.06254835312061,5170.790989170968,True,70,10220.143623504595,10341.553621338262
70,2020-04-01,9887,44.06254835312061,5170.790989170968,True,71,10239.031696349195,10341.553621338262
71,2020-04-02,9976,44.06254835312061,5170.790989170968,True,72,10255.006874178676,10341.553621338262
72,2020-04-03,10062,44.06254835312061,5170.790989170968,True,73,10268.511215028433,10341.553621338262
73,2020-04-04,10156,44.06254835312061,5170.790989170968,True,74,10279.92175876162,10341.553621338262
74,2020-04-05,10237,44.06254835312061,5170.790989170968,True,75,10289.5594883269,10341.553621338262
75,2020-04-06,10284,44.06254835312061,5170.790989170968,True,76,10297.697234525627,10341.553621338262
76,2020-04-07,10331,44.06254835312061,5170.790989170968,True,77,10304.56659305886,10341.553621338262
77,2020-04-08,10384,44.06254835312061,5170.790989170968,True,78,10310.363938193681,10341.553621338262
78,2020-04-09,10423,44.06254835312061,5170.790989170968,True,79,10315.255623567416,10341.553621338262
79,2020-04-10,10450,44.06254835312061,5170.790989170968,True,80,10319.38246065438,10341.553621338262
80,2020-04-11,10480,44.06254835312061,5170.790989170968,True,81,10322.863561563956,10341.553621338262
81,2020-04-12,10512,44.06254835312061,5170.790989170968,True,82,10325.799626744465,10341.553621338262
82,2020-04-13,10537,44.06254835312061,5170.790989170968,True,83,10328.275750948009,10341.553621338262
83,2020-04-14,10564,44.06254835312061,5170.790989170968,True,84,10330.363813209133,10341.553621338262
84,2020-04-15,10591,44.06254835312061,5170.790989170968,True,85,10332.124509081737,10341.553621338262
85,2020-04-16,10613,44.06254835312061,5170.790989170968,True,86,10333.609076253937,10341.553621338262
86,2020-04-17,10635,44.06254835312061,5170.790989170968,True,87,10334.860758081393,10341.553621338262
87,2020-04-18,10653,44.06254835312061,5170.790989170968,True,88,10335.916043621566,10341.553621338262
88,2020-04-19,10661,44.06254835312061,5170.790989170968,True,89,10336.805717432824,10341.553621338262
89,2020-04-20,10674,44.06254835312061,5170.790989170968,True,90,10337.555747707282,10341.553621338262
90,2020-04-21,10683,44.06254835312061,5170.790989170968,True,91,10338.188037196713,10341.553621338262
91,2020-04-22,10694,44.06254835312061,5170.790989170968,True,92,10338.721057818373,10341.553621338262
92,2020-04-23,10708,44.06254835312061,5170.790989170968,True,93,10339.170386738759,10341.553621338262
93,2020-04-24,10718,44.06254835312061,5170.790989170968,True,94,10339.549159074379,10341.553621338262
94,2020-04-25,10728,44.06254835312061,5170.790989170968,True,95,10339.868450067981,10341.553621338262
95,2020-04-26,10738,44.06254835312061,5170.790989170968,True,96,10340.13759764805,10341.553621338262
96,2020-04-27,10752,44.06254835312061,5170.790989170968,True,97,10340.36447461537,10341.553621338262
97,2020-04-28,10761,44.06254835312061,5170.790989170968,True,98,10340.555718283378,10341.553621338262
98,2020-04-29,10765,44.06254835312061,5170.790989170968,True,99,10340.716924194592,10341.553621338262
99,2020-04-30,10774,44.06254835312061,5170.790989170968,True,100,10340.85280951276,10341.553621338262
100,2020-05-01,10780,44.06254835312061,5170.790989170968,True,101,10340.967350823454,10341.553621338262
101,2020-05-02,10793,44.06254835312061,5170.790989170968,True,102,10341.063900341258,10341.553621338262
102,2020-05-03,10801,44.06254835312061,5170.790989170968,True,103,10341.145283900081,10341.553621338262
103,2020-05-04,10804,44.06254835312061,5170.790989170968,True,104,10341.213883577175,10341.553621338262
104,2020-05-05,10806,44.06254835312061,5170.790989170968,True,105,10341.271707356862,10341.553621338262
105,2020-05-06,10810,44.06254835312061,5170.790989170968,True,106,10341.320447864366,10341.553621338262
106,2020-05-07,10822,44.06254835312061,5170.790989170968,True,107,10341.361531882725,10341.553621338262
107,2020-05-08,10840,44.06254835312061,5170.790989170968,True,108,10341.39616209787,10341.553621338262
108,2020-05-09,10874,44.06254835312061,5170.790989170968,True,109,10341.425352290791,10341.553621338262
