,Report_Date,Canada_quebec_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.20515638154573,14286.758052132058,False,1,0.32813438541236306,28573.516104264127
1,2020-01-23,0,83.20515638154573,14286.758052132058,False,2,0.37682822508291797,28573.516104264127
2,2020-01-24,0,83.20515638154573,14286.758052132058,False,3,0.4327479277429401,28573.516104264127
3,2020-01-25,0,83.20515638154573,14286.758052132058,False,4,0.49696573163333185,28573.516104264127
4,2020-01-26,0,83.20515638154573,14286.758052132058,False,5,0.5707129721810984,28573.516104264127
5,2020-01-27,0,83.20515638154573,14286.758052132058,False,6,0.6554036850674122,28573.516104264127
6,2020-01-28,0,83.20515638154573,14286.758052132058,False,7,0.75266170982865,28573.516104264127
7,2020-01-29,0,83.20515638154573,14286.758052132058,False,8,0.8643518127883221,28573.516104264127
8,2020-01-30,0,83.20515638154573,14286.758052132058,False,9,0.9926154248915217,28573.516104264127
9,2020-01-31,0,83.20515638154573,14286.758052132058,False,10,1.1399116781118073,28573.516104264127
10,2020-02-01,0,83.20515638154573,14286.758052132058,False,11,1.3090645251820512,28573.516104264127
11,2020-02-02,0,83.20515638154573,14286.758052132058,False,12,1.5033168433636548,28573.516104264127
12,2020-02-03,0,83.20515638154573,14286.758052132058,False,13,1.7263925559830873,28573.516104264127
13,2020-02-04,0,83.20515638154573,14286.758052132058,False,14,1.9825679580113902,28573.516104264127
14,2020-02-05,0,83.20515638154573,14286.758052132058,False,15,2.276753606873726,28573.516104264127
15,2020-02-06,0,83.20515638154573,14286.758052132058,False,16,2.6145883401842633,28573.516104264127
16,2020-02-07,0,83.20515638154573,14286.758052132058,False,17,3.002547211890637,28573.516104264127
17,2020-02-08,0,83.20515638154573,14286.758052132058,False,18,3.448065401576265,28573.516104264127
18,2020-02-09,0,83.20515638154573,14286.758052132058,False,19,3.9596804531765883,28573.516104264127
19,2020-02-10,0,83.20515638154573,14286.758052132058,False,20,4.547195544530099,28573.516104264127
20,2020-02-11,0,83.20515638154573,14286.758052132058,False,21,5.221866884140126,28573.516104264127
21,2020-02-12,0,83.20515638154573,14286.758052132058,False,22,5.996618783202546,28573.516104264127
22,2020-02-13,0,83.20515638154573,14286.758052132058,False,23,6.886290467176519,28573.516104264127
23,2020-02-14,0,83.20515638154573,14286.758052132058,False,24,7.907919280728842,28573.516104264127
24,2020-02-15,0,83.20515638154573,14286.758052132058,False,25,9.081065612610887,28573.516104264127
25,2020-02-16,0,83.20515638154573,14286.758052132058,False,26,10.428185633905617,28573.516104264127
26,2020-02-17,0,83.20515638154573,14286.758052132058,False,27,11.975058816283132,28573.516104264127
27,2020-02-18,0,83.20515638154573,14286.758052132058,False,28,13.75127818983658,28573.516104264127
28,2020-02-19,0,83.20515638154573,14286.758052132058,False,29,15.79081242739142,28573.516104264127
29,2020-02-20,0,83.20515638154573,14286.758052132058,False,30,18.13265011973978,28573.516104264127
30,2020-02-21,0,83.20515638154573,14286.758052132058,False,31,20.821538050967266,28573.516104264127
31,2020-02-22,0,83.20515638154573,14286.758052132058,False,32,23.908826912657506,28573.516104264127
32,2020-02-23,0,83.20515638154573,14286.758052132058,False,33,27.453439728456473,28573.516104264127
33,2020-02-24,0,83.20515638154573,14286.758052132058,False,34,31.52298031424475,28573.516104264127
34,2020-02-25,0,83.20515638154573,14286.758052132058,False,35,36.19500139089689,28573.516104264127
35,2020-02-26,0,83.20515638154573,14286.758052132058,False,36,41.558454510794554,28573.516104264127
36,2020-02-27,0,83.20515638154573,14286.758052132058,False,37,47.71534676615186,28573.516104264127
37,2020-02-28,1,83.20515638154573,14286.758052132058,False,38,54.78263232026388,28573.516104264127
38,2020-02-29,1,83.20515638154573,14286.758052132058,False,39,62.89437013520362,28573.516104264127
39,2020-03-01,1,83.20515638154573,14286.758052132058,False,40,72.20418283952158,28573.516104264127
40,2020-03-02,1,83.20515638154573,14286.758052132058,False,41,82.88805544423293,28573.516104264127
41,2020-03-03,1,83.20515638154573,14286.758052132058,False,42,95.14751650246676,28573.516104264127
42,2020-03-04,1,83.20515638154573,14286.758052132058,False,43,109.21324820507357,28573.516104264127
43,2020-03-05,2,83.20515638154573,14286.758052132058,False,44,125.34917564456039,28573.516104264127
44,2020-03-06,2,83.20515638154573,14286.758052132058,False,45,143.8570888242267,28573.516104264127
45,2020-03-07,3,83.20515638154573,14286.758052132058,False,46,165.08185360487764,28573.516104264127
46,2020-03-08,4,83.20515638154573,14286.758052132058,False,47,189.41726921146696,28573.516104264127
47,2020-03-09,4,83.20515638154573,14286.758052132058,False,48,217.31262955191636,28573.516104264127
48,2020-03-10,4,83.20515638154573,14286.758052132058,False,49,249.28004261525618,28573.516104264127
49,2020-03-11,8,83.20515638154573,14286.758052132058,False,50,285.9025555509392,28573.516104264127
50,2020-03-12,9,83.20515638154573,14286.758052132058,False,51,327.8431213129718,28573.516104264127
51,2020-03-13,17,83.20515638154573,14286.758052132058,False,52,375.85442423846837,28573.516104264127
52,2020-03-14,17,83.20515638154573,14286.758052132058,False,53,430.7895544431106,28573.516104264127
53,2020-03-15,24,83.20515638154573,14286.758052132058,False,54,493.6134817859855,28573.516104264127
54,2020-03-16,50,83.20515638154573,14286.758052132058,False,55,565.4152261814502,28573.516104264127
55,2020-03-17,74,83.20515638154573,14286.758052132058,False,56,647.4205484806087,28573.516104264127
56,2020-03-18,94,83.20515638154573,14286.758052132058,False,57,741.0048908079915,28573.516104264127
57,2020-03-19,121,83.20515638154573,14286.758052132058,False,58,847.706172630193,28573.516104264127
