,Report_Date,Holy See_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.0659881453778,4.3198933569124645,True,1,0.00010284418932725053,8.584333670838559
1,2020-01-23,0,66.0659881453778,4.3198933569124645,True,2,0.00012242234171109433,8.584333670838559
2,2020-01-24,0,66.0659881453778,4.3198933569124645,True,3,0.00014572746776255832,8.584333670838559
3,2020-01-25,0,66.0659881453778,4.3198933569124645,True,4,0.00017346902255427972,8.584333670838559
4,2020-01-26,0,66.0659881453778,4.3198933569124645,True,5,0.00020649149988189,8.584333670838559
5,2020-01-27,0,66.0659881453778,4.3198933569124645,True,6,0.0002458001311759564,8.584333670838559
6,2020-01-28,0,66.0659881453778,4.3198933569124645,True,7,0.0002925914732150341,8.584333670838559
7,2020-01-29,0,66.0659881453778,4.3198933569124645,True,8,0.0003482898138624963,8.584333670838559
8,2020-01-30,0,66.0659881453778,4.3198933569124645,True,9,0.0004145905013382107,8.584333670838559
9,2020-01-31,0,66.0659881453778,4.3198933569124645,True,10,0.0004935115121313256,8.584333670838559
10,2020-02-01,0,66.0659881453778,4.3198933569124645,True,11,0.0005874548217975419,8.584333670838559
11,2020-02-02,0,66.0659881453778,4.3198933569124645,True,12,0.0006992794389414727,8.584333670838559
12,2020-02-03,0,66.0659881453778,4.3198933569124645,True,13,0.0008323883143826208,8.584333670838559
13,2020-02-04,0,66.0659881453778,4.3198933569124645,True,14,0.0009908317551348038,8.584333670838559
14,2020-02-05,0,66.0659881453778,4.3198933569124645,True,15,0.0011794304685210544,8.584333670838559
15,2020-02-06,0,66.0659881453778,4.3198933569124645,True,16,0.0014039219497588833,8.584333670838559
16,2020-02-07,0,66.0659881453778,4.3198933569124645,True,17,0.0016711346234093251,8.584333670838559
17,2020-02-08,0,66.0659881453778,4.3198933569124645,True,18,0.0019891949747431682,8.584333670838559
18,2020-02-09,0,66.0659881453778,4.3198933569124645,True,19,0.0023677738841189184,8.584333670838559
19,2020-02-10,0,66.0659881453778,4.3198933569124645,True,20,0.002818379532299962,8.584333670838559
20,2020-02-11,0,66.0659881453778,4.3198933569124645,True,21,0.003354705607704869,8.584333670838559
21,2020-02-12,0,66.0659881453778,4.3198933569124645,True,22,0.003993045152714573,8.584333670838559
22,2020-02-13,0,66.0659881453778,4.3198933569124645,True,23,0.004752782274827575,8.584333670838559
23,2020-02-14,0,66.0659881453778,4.3198933569124645,True,24,0.0056569761638490396,8.584333670838559
24,2020-02-15,0,66.0659881453778,4.3198933569124645,True,25,0.0067330544470802665,8.584333670838559
25,2020-02-16,0,66.0659881453778,4.3198933569124645,True,26,0.008013635933015512,8.584333670838559
26,2020-02-17,0,66.0659881453778,4.3198933569124645,True,27,0.009537506294904779,8.584333670838559
27,2020-02-18,0,66.0659881453778,4.3198933569124645,True,28,0.011350774282708233,8.584333670838559
28,2020-02-19,0,66.0659881453778,4.3198933569124645,True,29,0.013508240674437132,8.584333670838559
29,2020-02-20,0,66.0659881453778,4.3198933569124645,True,30,0.016075017422596097,8.584333670838559
30,2020-02-21,0,66.0659881453778,4.3198933569124645,True,31,0.01912844033265746,8.584333670838559
31,2020-02-22,0,66.0659881453778,4.3198933569124645,True,32,0.022760325103913195,8.584333670838559
32,2020-02-23,0,66.0659881453778,4.3198933569124645,True,33,0.02707962358277004,8.584333670838559
33,2020-02-24,0,66.0659881453778,4.3198933569124645,True,34,0.0322155444440732,8.584333670838559
