,Report_Date,UK_channel islands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.7388772040112,283.71303650352894,True,1,0.006605725548718735,553.5730200251625
1,2020-01-23,0,75.7388772040112,283.71303650352894,True,2,0.007690170878026679,553.5730200251625
2,2020-01-24,0,75.7388772040112,283.71303650352894,True,3,0.008952644057344807,553.5730200251625
3,2020-01-25,0,75.7388772040112,283.71303650352894,True,4,0.010422370011415142,553.5730200251625
4,2020-01-26,0,75.7388772040112,283.71303650352894,True,5,0.01213337085319773,553.5730200251625
5,2020-01-27,0,75.7388772040112,283.71303650352894,True,6,0.01412525320269437,553.5730200251625
6,2020-01-28,0,75.7388772040112,283.71303650352894,True,7,0.016444124676487138,553.5730200251625
7,2020-01-29,0,75.7388772040112,283.71303650352894,True,8,0.01914366072436029,553.5730200251625
8,2020-01-30,0,75.7388772040112,283.71303650352894,True,9,0.022286346455396653,553.5730200251625
9,2020-01-31,0,75.7388772040112,283.71303650352894,True,10,0.025944922127250566,553.5730200251625
10,2020-02-01,0,75.7388772040112,283.71303650352894,True,11,0.030204065660379493,553.5730200251625
11,2020-02-02,0,75.7388772040112,283.71303650352894,True,12,0.035162350989893336,553.5730200251625
12,2020-02-03,0,75.7388772040112,283.71303650352894,True,13,0.040934527404154535,553.5730200251625
13,2020-02-04,0,75.7388772040112,283.71303650352894,True,14,0.047654172383430886,553.5730200251625
14,2020-02-05,0,75.7388772040112,283.71303650352894,True,15,0.05547677900802512,553.5730200251625
15,2020-02-06,0,75.7388772040112,283.71303650352894,True,16,0.06458334894302867,553.5730200251625
16,2020-02-07,0,75.7388772040112,283.71303650352894,True,17,0.07518457354480965,553.5730200251625
17,2020-02-08,0,75.7388772040112,283.71303650352894,True,18,0.08752569902418975,553.5730200251625
18,2020-02-09,0,75.7388772040112,283.71303650352894,True,19,0.10189218713201963,553.5730200251625
19,2020-02-10,0,75.7388772040112,283.71303650352894,True,20,0.11861630083570922,553.5730200251625
20,2020-02-11,0,75.7388772040112,283.71303650352894,True,21,0.13808476530857888,553.5730200251625
21,2020-02-12,0,75.7388772040112,283.71303650352894,True,22,0.160747678688457,553.5730200251625
22,2020-02-13,0,75.7388772040112,283.71303650352894,True,23,0.18712887496615252,553.5730200251625
23,2020-02-14,0,75.7388772040112,283.71303650352894,True,24,0.21783797358911455,553.5730200251625
24,2020-02-15,0,75.7388772040112,283.71303650352894,True,25,0.2535843875280865,553.5730200251625
25,2020-02-16,0,75.7388772040112,283.71303650352894,True,26,0.29519360434121156,553.5730200251625
26,2020-02-17,0,75.7388772040112,283.71303650352894,True,27,0.3436261039362612,553.5730200251625
27,2020-02-18,0,75.7388772040112,283.71303650352894,True,28,0.3999993330980619,553.5730200251625
28,2020-02-19,0,75.7388772040112,283.71303650352894,True,29,0.4656132212909601,553.5730200251625
29,2020-02-20,0,75.7388772040112,283.71303650352894,True,30,0.5419797956787273,553.5730200251625
30,2020-02-21,0,75.7388772040112,283.71303650352894,True,31,0.6308575366469141,553.5730200251625
31,2020-02-22,0,75.7388772040112,283.71303650352894,True,32,0.7342912092444849,553.5730200251625
32,2020-02-23,0,75.7388772040112,283.71303650352894,True,33,0.8546580116487315,553.5730200251625
33,2020-02-24,0,75.7388772040112,283.71303650352894,True,34,0.9947209995477869,553.5730200251625
34,2020-02-25,0,75.7388772040112,283.71303650352894,True,35,1.1576908754073831,553.5730200251625
35,2020-02-26,0,75.7388772040112,283.71303650352894,True,36,1.3472973735405962,553.5730200251625
36,2020-02-27,0,75.7388772040112,283.71303650352894,True,37,1.56787162445387,553.5730200251625
37,2020-02-28,0,75.7388772040112,283.71303650352894,True,38,1.824441042544354,553.5730200251625
38,2020-02-29,0,75.7388772040112,283.71303650352894,True,39,2.1228384454941467,553.5730200251625
39,2020-03-01,0,75.7388772040112,283.71303650352894,True,40,2.469827274715455,553.5730200251625
40,2020-03-02,0,75.7388772040112,283.71303650352894,True,41,2.8732449334994143,553.5730200251625
41,2020-03-03,0,75.7388772040112,283.71303650352894,True,42,3.3421663778882955,553.5730200251625
42,2020-03-04,0,75.7388772040112,283.71303650352894,True,43,3.8870901631123664,553.5730200251625
43,2020-03-05,0,75.7388772040112,283.71303650352894,True,44,4.520149135660588,553.5730200251625
44,2020-03-06,0,75.7388772040112,283.71303650352894,True,45,5.25534782667989,553.5730200251625
45,2020-03-07,0,75.7388772040112,283.71303650352894,True,46,6.108828291414796,553.5730200251625
46,2020-03-08,0,75.7388772040112,283.71303650352894,True,47,7.099165579287155,553.5730200251625
47,2020-03-09,0,75.7388772040112,283.71303650352894,True,48,8.247693116090014,553.5730200251625
48,2020-03-10,1,75.7388772040112,283.71303650352894,True,49,9.578856914533969,553.5730200251625
49,2020-03-11,2,75.7388772040112,283.71303650352894,True,50,11.120595554532283,553.5730200251625
50,2020-03-12,2,75.7388772040112,283.71303650352894,True,51,12.904740112788897,553.5730200251625
51,2020-03-13,2,75.7388772040112,283.71303650352894,True,52,14.967424467380809,553.5730200251625
52,2020-03-14,2,75.7388772040112,283.71303650352894,True,53,17.34949143270031,553.5730200251625
53,2020-03-15,3,75.7388772040112,283.71303650352894,True,54,20.096873768230186,553.5730200251625
54,2020-03-16,6,75.7388772040112,283.71303650352894,True,55,23.260921059453096,553.5730200251625
55,2020-03-17,6,75.7388772040112,283.71303650352894,True,56,26.898633688654332,553.5730200251625
56,2020-03-18,6,75.7388772040112,283.71303650352894,True,57,31.072753670649384,553.5730200251625
