,Report_Date,Brazil_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.18538102928638,37085.42755877319,False,1,0.845136926789993,74170.85511754638
1,2020-01-23,0,88.18538102928638,37085.42755877319,False,2,0.9629974294271326,74170.85511754638
2,2020-01-24,0,88.18538102928638,37085.42755877319,False,3,1.0972941947955848,74170.85511754638
3,2020-01-25,0,88.18538102928638,37085.42755877319,False,4,1.2503192730356467,74170.85511754638
4,2020-01-26,0,88.18538102928638,37085.42755877319,False,5,1.4246843208882098,74170.85511754638
5,2020-01-27,0,88.18538102928638,37085.42755877319,False,6,1.623365161617,74170.85511754638
6,2020-01-28,0,88.18538102928638,37085.42755877319,False,7,1.8497525555997811,74170.85511754638
7,2020-01-29,0,88.18538102928638,37085.42755877319,False,8,2.1077100466436134,74170.85511754638
8,2020-01-30,0,88.18538102928638,37085.42755877319,False,9,2.4016398693971452,74170.85511754638
9,2020-01-31,0,88.18538102928638,37085.42755877319,False,10,2.7365580402342293,74170.85511754638
10,2020-02-01,0,88.18538102928638,37085.42755877319,False,11,3.118179909965895,74170.85511754638
11,2020-02-02,0,88.18538102928638,37085.42755877319,False,12,3.553017634311868,74170.85511754638
12,2020-02-03,0,88.18538102928638,37085.42755877319,False,13,4.048491220191309,74170.85511754638
13,2020-02-04,0,88.18538102928638,37085.42755877319,False,14,4.613055035936914,74170.85511754638
14,2020-02-05,0,88.18538102928638,37085.42755877319,False,15,5.256341935308909,74170.85511754638
15,2020-02-06,0,88.18538102928638,37085.42755877319,False,16,5.989327443005115,74170.85511754638
16,2020-02-07,0,88.18538102928638,37085.42755877319,False,17,6.82451678812021,74170.85511754638
17,2020-02-08,0,88.18538102928638,37085.42755877319,False,18,7.776157957233425,74170.85511754638
18,2020-02-09,0,88.18538102928638,37085.42755877319,False,19,8.860484376748893,74170.85511754638
19,2020-02-10,0,88.18538102928638,37085.42755877319,False,20,10.095991331830064,74170.85511754638
20,2020-02-11,0,88.18538102928638,37085.42755877319,False,21,11.503750794707052,74170.85511754638
21,2020-02-12,0,88.18538102928638,37085.42755877319,False,22,13.107769977233955,74170.85511754638
22,2020-02-13,0,88.18538102928638,37085.42755877319,False,23,14.935399651371277,74170.85511754638
23,2020-02-14,0,88.18538102928638,37085.42755877319,False,24,17.01779910801056,74170.85511754638
24,2020-02-15,0,88.18538102928638,37085.42755877319,False,25,19.390465561806366,74170.85511754638
25,2020-02-16,0,88.18538102928638,37085.42755877319,False,26,22.093836871423033,74170.85511754638
26,2020-02-17,0,88.18538102928638,37085.42755877319,False,27,25.173977646358132,74170.85511754638
27,2020-02-18,0,88.18538102928638,37085.42755877319,False,28,28.68336017040725,74170.85511754638
28,2020-02-19,0,88.18538102928638,37085.42755877319,False,29,32.68175310670692,74170.85511754638
29,2020-02-20,0,88.18538102928638,37085.42755877319,False,30,37.23723268066483,74170.85511754638
30,2020-02-21,0,88.18538102928638,37085.42755877319,False,31,42.42733298717369,74170.85511754638
31,2020-02-22,0,88.18538102928638,37085.42755877319,False,32,48.34035426109407,74170.85511754638
32,2020-02-23,0,88.18538102928638,37085.42755877319,False,33,55.076850410214064,74170.85511754638
33,2020-02-24,0,88.18538102928638,37085.42755877319,False,34,62.75131986384636,74170.85511754638
34,2020-02-25,0,88.18538102928638,37085.42755877319,False,35,71.49412686436322,74170.85511754638
35,2020-02-26,1,88.18538102928638,37085.42755877319,False,36,81.4536837492224,74170.85511754638
36,2020-02-27,1,88.18538102928638,37085.42755877319,False,37,92.79892856151213,74170.85511754638
37,2020-02-28,1,88.18538102928638,37085.42755877319,False,38,105.72213650823993,74170.85511754638
38,2020-02-29,2,88.18538102928638,37085.42755877319,False,39,120.44210837191912,74170.85511754638
39,2020-03-01,2,88.18538102928638,37085.42755877319,False,40,137.20778397742603,74170.85511754638
40,2020-03-02,2,88.18538102928638,37085.42755877319,False,41,156.30233421364187,74170.85511754638
41,2020-03-03,2,88.18538102928638,37085.42755877319,False,42,178.04779087916347,74170.85511754638
42,2020-03-04,4,88.18538102928638,37085.42755877319,False,43,202.81027970675697,74170.85511754638
43,2020-03-05,4,88.18538102928638,37085.42755877319,False,44,231.00592822768553,74170.85511754638
44,2020-03-06,13,88.18538102928638,37085.42755877319,False,45,263.1075265189523,74170.85511754638
45,2020-03-07,13,88.18538102928638,37085.42755877319,False,46,299.65202512032886,74170.85511754638
46,2020-03-08,20,88.18538102928638,37085.42755877319,False,47,341.24896021098664,74170.85511754638
47,2020-03-09,25,88.18538102928638,37085.42755877319,False,48,388.5899010788034,74170.85511754638
48,2020-03-10,31,88.18538102928638,37085.42755877319,False,49,442.4590184307763,74170.85511754638
49,2020-03-11,38,88.18538102928638,37085.42755877319,False,50,503.74487342205106,74170.85511754638
50,2020-03-12,52,88.18538102928638,37085.42755877319,False,51,573.4535254259456,74170.85511754638
51,2020-03-13,151,88.18538102928638,37085.42755877319,False,52,652.723050231865,74170.85511754638
52,2020-03-14,151,88.18538102928638,37085.42755877319,False,53,742.8395478798329,74170.85511754638
53,2020-03-15,162,88.18538102928638,37085.42755877319,False,54,845.254698614627,74170.85511754638
54,2020-03-16,200,88.18538102928638,37085.42755877319,False,55,961.6048938392338,74170.85511754638
55,2020-03-17,321,88.18538102928638,37085.42755877319,False,56,1093.7319232286584,74170.85511754638
56,2020-03-18,372,88.18538102928638,37085.42755877319,False,57,1243.7051354110502,74170.85511754638
57,2020-03-19,621,88.18538102928638,37085.42755877319,False,58,1413.8449031809992,74170.85511754638
58,2020-03-20,793,88.18538102928638,37085.42755877319,False,59,1606.7471096912057,74170.85511754638
59,2020-03-21,1021,88.18538102928638,37085.42755877319,False,60,1825.3082234275819,74170.85511754638
60,2020-03-22,1546,88.18538102928638,37085.42755877319,False,61,2072.7503405130396,74170.85511754638
61,2020-03-23,1924,88.18538102928638,37085.42755877319,False,62,2352.6453364641156,74170.85511754638
62,2020-03-24,2247,88.18538102928638,37085.42755877319,False,63,2668.936980034612,74170.85511754638
63,2020-03-25,2554,88.18538102928638,37085.42755877319,False,64,3025.959515015163,74170.85511754638
