,Report_Date,Canada_saskatchewan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.66798521800047,246.34555923203837,True,1,0.326079244122885,480.3277843361027
1,2020-01-23,0,79.66798521800047,246.34555923203837,True,2,0.3578532870905088,480.3277843361027
2,2020-01-24,0,79.66798521800047,246.34555923203837,True,3,0.3927210091377274,480.3277843361027
3,2020-01-25,0,79.66798521800047,246.34555923203837,True,4,0.4309831216331378,480.3277843361027
4,2020-01-26,0,79.66798521800047,246.34555923203837,True,5,0.47296946254875316,480.3277843361027
5,2020-01-27,0,79.66798521800047,246.34555923203837,True,6,0.5190417965656478,480.3277843361027
6,2020-01-28,0,79.66798521800047,246.34555923203837,True,7,0.5695968800595217,480.3277843361027
7,2020-01-29,0,79.66798521800047,246.34555923203837,True,8,0.6250698151377659,480.3277843361027
8,2020-01-30,0,79.66798521800047,246.34555923203837,True,9,0.6859377189217213,480.3277843361027
9,2020-01-31,0,79.66798521800047,246.34555923203837,True,10,0.7527237364199424,480.3277843361027
10,2020-02-01,0,79.66798521800047,246.34555923203837,True,11,0.8260014276197407,480.3277843361027
11,2020-02-02,0,79.66798521800047,246.34555923203837,True,12,0.9063995618318174,480.3277843361027
12,2020-02-03,0,79.66798521800047,246.34555923203837,True,13,0.9946073548496881,480.3277843361027
13,2020-02-04,0,79.66798521800047,246.34555923203837,True,14,1.091380187120869,480.3277843361027
14,2020-02-05,0,79.66798521800047,246.34555923203837,True,15,1.197545843854025,480.3277843361027
15,2020-02-06,0,79.66798521800047,246.34555923203837,True,16,1.3140113207823763,480.3277843361027
16,2020-02-07,0,79.66798521800047,246.34555923203837,True,17,1.4417702421372343,480.3277843361027
17,2020-02-08,0,79.66798521800047,246.34555923203837,True,18,1.5819109402149867,480.3277843361027
18,2020-02-09,0,79.66798521800047,246.34555923203837,True,19,1.7356252486922954,480.3277843361027
19,2020-02-10,0,79.66798521800047,246.34555923203837,True,20,1.904218064488649,480.3277843361027
20,2020-02-11,0,79.66798521800047,246.34555923203837,True,21,2.0891177354056865,480.3277843361027
21,2020-02-12,0,79.66798521800047,246.34555923203837,True,22,2.2918873328800142,480.3277843361027
22,2020-02-13,0,79.66798521800047,246.34555923203837,True,23,2.514236870835796,480.3277843361027
