,Report_Date,China_heilongjiang_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,64.41625527888179,588.4647961824877,True,1,165.17743934399203,1048.873383080041
1,2020-01-23,2,2,64.41625527888179,588.4647961824877,True,2,169.27749328750735,1048.873383080041
2,2020-01-24,4,3,64.41625527888179,588.4647961824877,True,3,173.46187074698057,1048.873383080041
3,2020-01-25,9,8,64.41625527888179,588.4647961824877,True,4,177.7314381736977,1048.873383080041
4,2020-01-26,15,14,64.41625527888179,588.4647961824877,True,5,182.08702666466382,1048.873383080041
5,2020-01-27,21,20,64.41625527888179,588.4647961824877,True,6,186.5294294723227,1048.873383080041
6,2020-01-28,33,32,64.41625527888179,588.4647961824877,True,7,191.0593994698999,1048.873383080041
7,2020-01-29,38,37,64.41625527888179,588.4647961824877,True,8,195.67764657690762,1048.873383080041
8,2020-01-30,44,42,64.41625527888179,588.4647961824877,True,9,200.38483514978188,1048.873383080041
9,2020-01-31,59,57,64.41625527888179,588.4647961824877,True,10,205.18158134306037,1048.873383080041
10,2020-02-01,80,76,64.41625527888179,588.4647961824877,True,11,210.06845044695453,1048.873383080041
11,2020-02-02,95,91,64.41625527888179,588.4647961824877,True,12,215.04595420761405,1048.873383080041
12,2020-02-03,121,117,64.41625527888179,588.4647961824877,True,13,220.11454813682798,1048.873383080041
13,2020-02-04,155,149,64.41625527888179,588.4647961824877,True,14,225.27462881834816,1048.873383080041
14,2020-02-05,190,181,64.41625527888179,588.4647961824877,True,15,230.5265312184591,1048.873383080041
15,2020-02-06,227,216,64.41625527888179,588.4647961824877,True,16,235.870526008842,1048.873383080041
16,2020-02-07,277,262,64.41625527888179,588.4647961824877,True,17,241.3068169101991,1048.873383080041
17,2020-02-08,295,277,64.41625527888179,588.4647961824877,True,18,246.83553806549926,1048.873383080041
18,2020-02-09,307,287,64.41625527888179,588.4647961824877,True,19,252.45675145208713,1048.873383080041
19,2020-02-10,331,294,64.41625527888179,588.4647961824877,True,20,258.17044434225113,1048.873383080041
20,2020-02-11,360,324,64.41625527888179,588.4647961824877,True,21,263.97652682217364,1048.873383080041
21,2020-02-12,378,339,64.41625527888179,588.4647961824877,True,22,269.8748293794826,1048.873383080041
22,2020-02-13,395,353,64.41625527888179,588.4647961824877,True,23,275.86510056988436,1048.873383080041
23,2020-02-14,419,361,64.41625527888179,588.4647961824877,True,24,281.947004773577,1048.873383080041
24,2020-02-15,425,346,64.41625527888179,588.4647961824877,True,25,288.12012005232066,1048.873383080041
25,2020-02-16,445,355,64.41625527888179,588.4647961824877,True,26,294.38393611817156,1048.873383080041
26,2020-02-17,457,361,64.41625527888179,588.4647961824877,True,27,300.7378524249622,1048.873383080041
27,2020-02-18,464,342,64.41625527888179,588.4647961824877,True,28,307.181176393634,1048.873383080041
28,2020-02-19,470,338,64.41625527888179,588.4647961824877,True,29,313.7131217824912,1048.873383080041
29,2020-02-20,476,328,64.41625527888179,588.4647961824877,True,30,320.3328072133471,1048.873383080041
30,2020-02-21,479,292,64.41625527888179,588.4647961824877,True,31,327.03925486437015,1048.873383080041
31,2020-02-22,479,263,64.41625527888179,588.4647961824877,True,32,333.8313893402064,1048.873383080041
32,2020-02-23,480,246,64.41625527888179,588.4647961824877,True,33,340.7080367296541,1048.873383080041
33,2020-02-24,480,241,64.41625527888179,588.4647961824877,True,34,347.66792386079453,1048.873383080041
34,2020-02-25,480,225,64.41625527888179,588.4647961824877,True,35,354.70967776303894,1048.873383080041
35,2020-02-26,480,219,64.41625527888179,588.4647961824877,True,36,361.8318253450323,1048.873383080041
36,2020-02-27,480,197,64.41625527888179,588.4647961824877,True,37,369.03279329676513,1048.873383080041
37,2020-02-28,480,184,64.41625527888179,588.4647961824877,True,38,376.3109082235784,1048.873383080041
38,2020-02-29,480,166,64.41625527888179,588.4647961824877,True,39,383.6643970190138,1048.873383080041
39,2020-03-01,480,125,64.41625527888179,588.4647961824877,True,40,391.0913874826537,1048.873383080041
40,2020-03-02,480,111,64.41625527888179,588.4647961824877,True,41,398.5899091882244,1048.873383080041
41,2020-03-03,480,101,64.41625527888179,588.4647961824877,True,42,406.15789460629867,1048.873383080041
42,2020-03-04,480,94,64.41625527888179,588.4647961824877,True,43,413.7931804849409,1048.873383080041
43,2020-03-05,481,89,64.41625527888179,588.4647961824877,True,44,421.4935094905828,1048.873383080041
44,2020-03-06,481,72,64.41625527888179,588.4647961824877,True,45,429.25653211032164,1048.873383080041
45,2020-03-07,481,65,64.41625527888179,588.4647961824877,True,46,437.0798088156857,1048.873383080041
46,2020-03-08,481,56,64.41625527888179,588.4647961824877,True,47,444.9608124867335,1048.873383080041
47,2020-03-09,481,38,64.41625527888179,588.4647961824877,True,48,452.8969310941432,1048.873383080041
48,2020-03-10,481,34,64.41625527888179,588.4647961824877,True,49,460.8854706357146,1048.873383080041
