,Report_Date,Nepal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.81644023482372,7.051737615911271,True,1,0.0012511959430020966,12.69884079705754
1,2020-01-23,0,73.81644023482372,7.051737615911271,True,2,0.0014222184776725739,12.69884079705754
2,2020-01-24,0,73.81644023482372,7.051737615911271,True,3,0.0016166149327826705,12.69884079705754
3,2020-01-25,1,73.81644023482372,7.051737615911271,True,4,0.001837579076401496,12.69884079705754
4,2020-01-26,1,73.81644023482372,7.051737615911271,True,5,0.002088740838442141,12.69884079705754
5,2020-01-27,1,73.81644023482372,7.051737615911271,True,6,0.0023742258090268566,12.69884079705754
6,2020-01-28,1,73.81644023482372,7.051737615911271,True,7,0.0026987228337370574,12.69884079705754
7,2020-01-29,1,73.81644023482372,7.051737615911271,True,8,0.0030675608019222872,12.69884079705754
8,2020-01-30,1,73.81644023482372,7.051737615911271,True,9,0.00348679587097749,12.69884079705754
9,2020-01-31,1,73.81644023482372,7.051737615911271,True,10,0.003963310535385581,12.69884079705754
10,2020-02-01,1,73.81644023482372,7.051737615911271,True,11,0.004504926136717203,12.69884079705754
11,2020-02-02,1,73.81644023482372,7.051737615911271,True,12,0.005120530622281955,12.69884079705754
12,2020-02-03,1,73.81644023482372,7.051737615911271,True,13,0.005820223598592837,12.69884079705754
13,2020-02-04,1,73.81644023482372,7.051737615911271,True,14,0.006615480994359662,12.69884079705754
14,2020-02-05,1,73.81644023482372,7.051737615911271,True,15,0.007519341949753056,12.69884079705754
15,2020-02-06,1,73.81644023482372,7.051737615911271,True,16,0.008546620887816776,12.69884079705754
16,2020-02-07,1,73.81644023482372,7.051737615911271,True,17,0.009714148104018824,12.69884079705754
17,2020-02-08,1,73.81644023482372,7.051737615911271,True,18,0.011041042635069805,12.69884079705754
18,2020-02-09,1,73.81644023482372,7.051737615911271,True,19,0.012549021642457745,12.69884079705754
19,2020-02-10,1,73.81644023482372,7.051737615911271,True,20,0.014262751073808179,12.69884079705754
20,2020-02-11,1,73.81644023482372,7.051737615911271,True,21,0.016210242950170192,12.69884079705754
21,2020-02-12,1,73.81644023482372,7.051737615911271,True,22,0.0184233052732588,12.69884079705754
22,2020-02-13,1,73.81644023482372,7.051737615911271,True,23,0.020938051256454482,12.69884079705754
23,2020-02-14,1,73.81644023482372,7.051737615911271,True,24,0.023795475358749624,12.69884079705754
24,2020-02-15,1,73.81644023482372,7.051737615911271,True,25,0.02704210444191737,12.69884079705754
25,2020-02-16,1,73.81644023482372,7.051737615911271,True,26,0.030730733275586442,12.69884079705754
26,2020-02-17,1,73.81644023482372,7.051737615911271,True,27,0.03492125457680805,12.69884079705754
27,2020-02-18,1,73.81644023482372,7.051737615911271,True,28,0.039681594779525424,12.69884079705754
28,2020-02-19,1,73.81644023482372,7.051737615911271,True,29,0.04508876776810315,12.69884079705754
29,2020-02-20,1,73.81644023482372,7.051737615911271,True,30,0.051230059852175186,12.69884079705754
30,2020-02-21,1,73.81644023482372,7.051737615911271,True,31,0.058204360270657084,12.69884079705754
31,2020-02-22,1,73.81644023482372,7.051737615911271,True,32,0.06612365243923721,12.69884079705754
32,2020-02-23,1,73.81644023482372,7.051737615911271,True,33,0.07511468192738392,12.69884079705754
33,2020-02-24,1,73.81644023482372,7.051737615911271,True,34,0.08532081767294059,12.69884079705754
34,2020-02-25,1,73.81644023482372,7.051737615911271,True,35,0.09690412308902283,12.69884079705754
35,2020-02-26,1,73.81644023482372,7.051737615911271,True,36,0.11004765332496329,12.69884079705754
36,2020-02-27,1,73.81644023482372,7.051737615911271,True,37,0.12495799379861447,12.69884079705754
37,2020-02-28,1,73.81644023482372,7.051737615911271,True,38,0.14186805295138077,12.69884079705754
38,2020-02-29,1,73.81644023482372,7.051737615911271,True,39,0.16104011864994075,12.69884079705754
39,2020-03-01,1,73.81644023482372,7.051737615911271,True,40,0.1827691823472615,12.69884079705754
40,2020-03-02,1,73.81644023482372,7.051737615911271,True,41,0.20738652750263178,12.69884079705754
41,2020-03-03,1,73.81644023482372,7.051737615911271,True,42,0.2352635682222471,12.69884079705754
42,2020-03-04,1,73.81644023482372,7.051737615911271,True,43,0.2668159098808862,12.69884079705754
43,2020-03-05,1,73.81644023482372,7.051737615911271,True,44,0.3025075847699995,12.69884079705754
44,2020-03-06,1,73.81644023482372,7.051737615911271,True,45,0.3428553916346782,12.69884079705754
45,2020-03-07,1,73.81644023482372,7.051737615911271,True,46,0.38843323728742374,12.69884079705754
46,2020-03-08,1,73.81644023482372,7.051737615911271,True,47,0.4398763402857937,12.69884079705754
47,2020-03-09,1,73.81644023482372,7.051737615911271,True,48,0.49788510999016716,12.69884079705754
48,2020-03-10,1,73.81644023482372,7.051737615911271,True,49,0.5632284584816625,12.69884079705754
49,2020-03-11,1,73.81644023482372,7.051737615911271,True,50,0.6367462376022212,12.69884079705754
50,2020-03-12,1,73.81644023482372,7.051737615911271,True,51,0.7193504193621763,12.69884079705754
51,2020-03-13,1,73.81644023482372,7.051737615911271,True,52,0.812024556951975,12.69884079705754
52,2020-03-14,1,73.81644023482372,7.051737615911271,True,53,0.9158209791550325,12.69884079705754
53,2020-03-15,1,73.81644023482372,7.051737615911271,True,54,1.0318550890235316,12.69884079705754
54,2020-03-16,1,73.81644023482372,7.051737615911271,True,55,1.1612960672189312,12.69884079705754
55,2020-03-17,1,73.81644023482372,7.051737615911271,True,56,1.3053532340389487,12.69884079705754
56,2020-03-18,1,73.81644023482372,7.051737615911271,True,57,1.4652573184611486,12.69884079705754
