,Report_Date,Dominica_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.83596415134599,8.925800278125857,True,1,0.00021153353615288337,17.67573048556078
1,2020-01-23,0,67.83596415134599,8.925800278125857,True,2,0.00025066026394318387,17.67573048556078
2,2020-01-24,0,67.83596415134599,8.925800278125857,True,3,0.00029702402555425913,17.67573048556078
3,2020-01-25,0,67.83596415134599,8.925800278125857,True,4,0.0003519633626262842,17.67573048556078
4,2020-01-26,0,67.83596415134599,8.925800278125857,True,5,0.0004170643700691885,17.67573048556078
5,2020-01-27,0,67.83596415134599,8.925800278125857,True,6,0.0004942064712406803,17.67573048556078
6,2020-01-28,0,67.83596415134599,8.925800278125857,True,7,0.0005856166542190815,17.67573048556078
7,2020-01-29,0,67.83596415134599,8.925800278125857,True,8,0.0006939337318233771,17.67573048556078
8,2020-01-30,0,67.83596415134599,8.925800278125857,True,9,0.0008222844761092655,17.67573048556078
9,2020-01-31,0,67.83596415134599,8.925800278125857,True,10,0.0009743738190411977,17.67573048556078
10,2020-02-01,0,67.83596415134599,8.925800278125857,True,11,0.0011545917145326674,17.67573048556078
11,2020-02-02,0,67.83596415134599,8.925800278125857,True,12,0.0013681397344035165,17.67573048556078
12,2020-02-03,0,67.83596415134599,8.925800278125857,True,13,0.0016211810353757466,17.67573048556078
13,2020-02-04,0,67.83596415134599,8.925800278125857,True,14,0.00192101800171466,17.67573048556078
14,2020-02-05,0,67.83596415134599,8.925800278125857,True,15,0.0022763026569441705,17.67573048556078
15,2020-02-06,0,67.83596415134599,8.925800278125857,True,16,0.0026972858698091303,17.67573048556078
16,2020-02-07,0,67.83596415134599,8.925800278125857,True,17,0.0031961124795559176,17.67573048556078
17,2020-02-08,0,67.83596415134599,8.925800278125857,True,18,0.0037871707630702973,17.67573048556078
18,2020-02-09,0,67.83596415134599,8.925800278125857,True,19,0.004487506195625367,17.67573048556078
19,2020-02-10,0,67.83596415134599,8.925800278125857,True,20,0.0053173112574991434,17.67573048556078
20,2020-02-11,0,67.83596415134599,8.925800278125857,True,21,0.006300505156050479,17.67573048556078
21,2020-02-12,0,67.83596415134599,8.925800278125857,True,22,0.007465419819079406,17.67573048556078
22,2020-02-13,0,67.83596415134599,8.925800278125857,True,23,0.008845611429555365,17.67573048556078
23,2020-02-14,0,67.83596415134599,8.925800278125857,True,24,0.010480820180472366,17.67573048556078
24,2020-02-15,0,67.83596415134599,8.925800278125857,True,25,0.012418104905271036,17.67573048556078
25,2020-02-16,0,67.83596415134599,8.925800278125857,True,26,0.01471318386404505,17.67573048556078
26,2020-02-17,0,67.83596415134599,8.925800278125857,True,27,0.017432018323626036,17.67573048556078
27,2020-02-18,0,67.83596415134599,8.925800278125857,True,28,0.020652681747559288,17.67573048556078
28,2020-02-19,0,67.83596415134599,8.925800278125857,True,29,0.02446756449382117,17.67573048556078
29,2020-02-20,0,67.83596415134599,8.925800278125857,True,30,0.028985971976737725,17.67573048556078
30,2020-02-21,0,67.83596415134599,8.925800278125857,True,31,0.03433718333455983,17.67573048556078
31,2020-02-22,0,67.83596415134599,8.925800278125857,True,32,0.04067404776371549,17.67573048556078
32,2020-02-23,0,67.83596415134599,8.925800278125857,True,33,0.04817720677505649,17.67573048556078
33,2020-02-24,0,67.83596415134599,8.925800278125857,True,34,0.057060042530426534,17.67573048556078
34,2020-02-25,0,67.83596415134599,8.925800278125857,True,35,0.06757446480347384,17.67573048556078
35,2020-02-26,0,67.83596415134599,8.925800278125857,True,36,0.08001766141545956,17.67573048556078
36,2020-02-27,0,67.83596415134599,8.925800278125857,True,37,0.09473994832520465,17.67573048556078
37,2020-02-28,0,67.83596415134599,8.925800278125857,True,38,0.11215386452503247,17.67573048556078
38,2020-02-29,0,67.83596415134599,8.925800278125857,True,39,0.13274466147202343,17.67573048556078
39,2020-03-01,0,67.83596415134599,8.925800278125857,True,40,0.1570823340242626,17.67573048556078
40,2020-03-02,0,67.83596415134599,8.925800278125857,True,41,0.1858353256077424,17.67573048556078
41,2020-03-03,0,67.83596415134599,8.925800278125857,True,42,0.21978600888897407,17.67573048556078
42,2020-03-04,0,67.83596415134599,8.925800278125857,True,43,0.25984798684680904,17.67573048556078
43,2020-03-05,0,67.83596415134599,8.925800278125857,True,44,0.30708516764347266,17.67573048556078
44,2020-03-06,0,67.83596415134599,8.925800278125857,True,45,0.36273242703933267,17.67573048556078
45,2020-03-07,0,67.83596415134599,8.925800278125857,True,46,0.4282174681221226,17.67573048556078
46,2020-03-08,0,67.83596415134599,8.925800278125857,True,47,0.5051832007356132,17.67573048556078
47,2020-03-09,0,67.83596415134599,8.925800278125857,True,48,0.5955095711126601,17.67573048556078
48,2020-03-10,0,67.83596415134599,8.925800278125857,True,49,0.7013332550603671,17.67573048556078
49,2020-03-11,0,67.83596415134599,8.925800278125857,True,50,0.8250629695363922,17.67573048556078
50,2020-03-12,0,67.83596415134599,8.925800278125857,True,51,0.9693873537365882,17.67573048556078
51,2020-03-13,0,67.83596415134599,8.925800278125857,True,52,1.1372714418847691,17.67573048556078
52,2020-03-14,0,67.83596415134599,8.925800278125857,True,53,1.3319367561384523,17.67573048556078
53,2020-03-15,0,67.83596415134599,8.925800278125857,True,54,1.5568191111811776,17.67573048556078
54,2020-03-16,0,67.83596415134599,8.925800278125857,True,55,1.815497548395391,17.67573048556078
55,2020-03-17,0,67.83596415134599,8.925800278125857,True,56,2.111587716174024,17.67573048556078
