,Report_Date,Mozambique_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,152.64582957567396,526.3583253667537,False,1,0.35653538331909296,1052.7166489879087
1,2020-01-23,0,0,152.64582957567396,526.3583253667537,False,2,0.37581780417450367,1052.7166489879087
2,2020-01-24,0,0,152.64582957567396,526.3583253667537,False,3,0.39614267918554724,1052.7166489879087
3,2020-01-25,0,0,152.64582957567396,526.3583253667537,False,4,0.4175663223292367,1052.7166489879087
4,2020-01-26,0,0,152.64582957567396,526.3583253667537,False,5,0.4401480848522693,1052.7166489879087
5,2020-01-27,0,0,152.64582957567396,526.3583253667537,False,6,0.4639505185466979,1052.7166489879087
6,2020-01-28,0,0,152.64582957567396,526.3583253667537,False,7,0.48903954774305575,1052.7166489879087
7,2020-01-29,0,0,152.64582957567396,526.3583253667537,False,8,0.5154846504797055,1052.7166489879087
8,2020-01-30,0,0,152.64582957567396,526.3583253667537,False,9,0.5433590493305831,1052.7166489879087
9,2020-01-31,0,0,152.64582957567396,526.3583253667537,False,10,0.5727399123980166,1052.7166489879087
10,2020-02-01,0,0,152.64582957567396,526.3583253667537,False,11,0.6037085650029554,1052.7166489879087
11,2020-02-02,0,0,152.64582957567396,526.3583253667537,False,12,0.636350712631805,1052.7166489879087
12,2020-02-03,0,0,152.64582957567396,526.3583253667537,False,13,0.6707566757271506,1052.7166489879087
13,2020-02-04,0,0,152.64582957567396,526.3583253667537,False,14,0.7070216369390343,1052.7166489879087
14,2020-02-05,0,0,152.64582957567396,526.3583253667537,False,15,0.7452459014841462,1052.7166489879087
15,2020-02-06,0,0,152.64582957567396,526.3583253667537,False,16,0.7855351712923625,1052.7166489879087
16,2020-02-07,0,0,152.64582957567396,526.3583253667537,False,17,0.8280008336535423,1052.7166489879087
17,2020-02-08,0,0,152.64582957567396,526.3583253667537,False,18,0.8727602651124258,1052.7166489879087
18,2020-02-09,0,0,152.64582957567396,526.3583253667537,False,19,0.9199371513958996,1052.7166489879087
19,2020-02-10,0,0,152.64582957567396,526.3583253667537,False,20,0.9696618241948433,1052.7166489879087
