,Report_Date,China_tianjin_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
105,2020-05-06,190,1,25.1732205459867,94.3158925672019,True,106,186.54780839424245,188.276867831296
106,2020-05-07,190,1,25.1732205459867,94.3158925672019,True,107,186.65934732796217,188.276867831296
107,2020-05-08,191,2,25.1732205459867,94.3158925672019,True,108,186.7649761978095,188.276867831296
108,2020-05-09,191,2,25.1732205459867,94.3158925672019,True,109,186.86500192537753,188.276867831296
109,2020-05-10,191,2,25.1732205459867,94.3158925672019,True,110,186.95971614412716,188.276867831296
110,2020-05-11,191,2,25.1732205459867,94.3158925672019,True,111,187.0493958924291,188.276867831296
111,2020-05-12,191,2,25.1732205459867,94.3158925672019,True,112,187.13430428256407,188.276867831296
112,2020-05-13,191,1,25.1732205459867,94.3158925672019,True,113,187.21469114566335,188.276867831296
113,2020-05-14,191,1,25.1732205459867,94.3158925672019,True,114,187.29079365269644,188.276867831296
114,2020-05-15,191,1,25.1732205459867,94.3158925672019,True,115,187.3628369117214,188.276867831296
115,2020-05-16,192,2,25.1732205459867,94.3158925672019,True,116,187.43103454170483,188.276867831296
116,2020-05-17,192,2,25.1732205459867,94.3158925672019,True,117,187.4955892232946,188.276867831296
117,2020-05-18,192,2,25.1732205459867,94.3158925672019,True,118,187.55669322699507,188.276867831296
118,2020-05-19,192,2,25.1732205459867,94.3158925672019,True,119,187.61452891924634,188.276867831296
119,2020-05-20,192,2,25.1732205459867,94.3158925672019,True,120,187.66926924695244,188.276867831296
120,2020-05-21,192,2,25.1732205459867,94.3158925672019,True,121,187.72107820103838,188.276867831296
121,2020-05-22,192,2,25.1732205459867,94.3158925672019,True,122,187.77011125964128,188.276867831296
122,2020-05-23,192,2,25.1732205459867,94.3158925672019,True,123,187.8165158115613,188.276867831296
123,2020-05-24,192,1,25.1732205459867,94.3158925672019,True,124,187.86043156061055,188.276867831296
124,2020-05-25,192,1,25.1732205459867,94.3158925672019,True,125,187.90199091150748,188.276867831296
125,2020-05-26,192,1,25.1732205459867,94.3158925672019,True,126,187.9413193379664,188.276867831296
126,2020-05-27,192,1,25.1732205459867,94.3158925672019,True,127,187.97853573363292,188.276867831296
127,2020-05-28,192,1,25.1732205459867,94.3158925672019,True,128,188.01375274651096,188.276867831296
