,Report_Date,China_tianjin_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,4,25.1732205459867,94.3158925672019,True,1,39.01401662182439,188.276867831296
1,2020-01-23,4,4,25.1732205459867,94.3158925672019,True,2,40.762779143244764,188.276867831296
2,2020-01-24,8,8,25.1732205459867,94.3158925672019,True,3,42.56762645290204,188.276867831296
3,2020-01-25,10,10,25.1732205459867,94.3158925672019,True,4,44.428376252141035,188.276867831296
4,2020-01-26,14,14,25.1732205459867,94.3158925672019,True,5,46.344656728100155,188.276867831296
5,2020-01-27,23,23,25.1732205459867,94.3158925672019,True,6,48.31589688863905,188.276867831296
6,2020-01-28,24,24,25.1732205459867,94.3158925672019,True,7,50.34131788972287,188.276867831296
7,2020-01-29,27,27,25.1732205459867,94.3158925672019,True,8,52.419925542314594,188.276867831296
8,2020-01-30,31,31,25.1732205459867,94.3158925672019,True,9,54.55050418419798,188.276867831296
9,2020-01-31,32,32,25.1732205459867,94.3158925672019,True,10,56.73161209645447,188.276867831296
10,2020-02-01,41,41,25.1732205459867,94.3158925672019,True,11,58.961578634238656,188.276867831296
11,2020-02-02,48,47,25.1732205459867,94.3158925672019,True,12,61.23850322683734,188.276867831296
12,2020-02-03,60,59,25.1732205459867,94.3158925672019,True,13,63.5602563826774,188.276867831296
13,2020-02-04,67,65,25.1732205459867,94.3158925672019,True,14,65.9244828110403,188.276867831296
14,2020-02-05,69,66,25.1732205459867,94.3158925672019,True,15,68.32860674397509,188.276867831296
15,2020-02-06,79,76,25.1732205459867,94.3158925672019,True,16,70.76983950967598,188.276867831296
16,2020-02-07,81,78,25.1732205459867,94.3158925672019,True,17,73.24518937297726,188.276867831296
17,2020-02-08,88,83,25.1732205459867,94.3158925672019,True,18,75.75147362034771,188.276867831296
18,2020-02-09,91,86,25.1732205459867,94.3158925672019,True,19,78.28533282672453,188.276867831296
19,2020-02-10,95,86,25.1732205459867,94.3158925672019,True,20,80.84324720071918,188.276867831296
20,2020-02-11,106,94,25.1732205459867,94.3158925672019,True,21,83.4215548642546,188.276867831296
21,2020-02-12,112,99,25.1732205459867,94.3158925672019,True,22,86.0164718837111,188.276867831296
22,2020-02-13,119,95,25.1732205459867,94.3158925672019,True,23,88.62411383332922,188.276867831296
23,2020-02-14,120,86,25.1732205459867,94.3158925672019,True,24,91.24051863907081,188.276867831296
24,2020-02-15,122,82,25.1732205459867,94.3158925672019,True,25,93.86167042341242,188.276867831296
25,2020-02-16,124,76,25.1732205459867,94.3158925672019,True,26,96.48352404954692,188.276867831296
26,2020-02-17,125,76,25.1732205459867,94.3158925672019,True,27,99.10203004793281,188.276867831296
27,2020-02-18,128,77,25.1732205459867,94.3158925672019,True,28,101.71315959958123,188.276867831296
28,2020-02-19,130,73,25.1732205459867,94.3158925672019,True,29,104.31292924919785,188.276867831296
29,2020-02-20,131,69,25.1732205459867,94.3158925672019,True,30,106.89742502734678,188.276867831296
30,2020-02-21,132,67,25.1732205459867,94.3158925672019,True,31,109.462825673967,188.276867831296
31,2020-02-22,135,67,25.1732205459867,94.3158925672019,True,32,112.00542467540437,188.276867831296
32,2020-02-23,135,51,25.1732205459867,94.3158925672019,True,33,114.52165085295957,188.276867831296
33,2020-02-24,135,45,25.1732205459867,94.3158925672019,True,34,117.00808727194159,188.276867831296
34,2020-02-25,135,41,25.1732205459867,94.3158925672019,True,35,119.46148827535892,188.276867831296
35,2020-02-26,135,36,25.1732205459867,94.3158925672019,True,36,121.87879448457541,188.276867831296
36,2020-02-27,136,31,25.1732205459867,94.3158925672019,True,37,124.25714564934505,188.276867831296
37,2020-02-28,136,31,25.1732205459867,94.3158925672019,True,38,126.59389127046103,188.276867831296
38,2020-02-29,136,24,25.1732205459867,94.3158925672019,True,39,128.88659895868074,188.276867831296
39,2020-03-01,136,22,25.1732205459867,94.3158925672019,True,40,131.13306053257972,188.276867831296
40,2020-03-02,136,22,25.1732205459867,94.3158925672019,True,41,133.33129589461228,188.276867831296
41,2020-03-03,136,9,25.1732205459867,94.3158925672019,True,42,135.47955475812938,188.276867831296
42,2020-03-04,136,9,25.1732205459867,94.3158925672019,True,43,137.5763163277955,188.276867831296
43,2020-03-05,136,5,25.1732205459867,94.3158925672019,True,44,139.62028706129874,188.276867831296
44,2020-03-06,136,5,25.1732205459867,94.3158925672019,True,45,141.61039666117324,188.276867831296
45,2020-03-07,136,5,25.1732205459867,94.3158925672019,True,46,143.54579246182448,188.276867831296
46,2020-03-08,136,5,25.1732205459867,94.3158925672019,True,47,145.425832388499,188.276867831296
47,2020-03-09,136,3,25.1732205459867,94.3158925672019,True,48,147.2500766721239,188.276867831296
48,2020-03-10,136,2,25.1732205459867,94.3158925672019,True,49,149.0182785069415,188.276867831296
49,2020-03-11,136,2,25.1732205459867,94.3158925672019,True,50,150.73037383704073,188.276867831296
50,2020-03-12,136,1,25.1732205459867,94.3158925672019,True,51,152.38647045367227,188.276867831296
51,2020-03-13,136,1,25.1732205459867,94.3158925672019,True,52,153.98683657810543,188.276867831296
52,2020-03-14,136,1,25.1732205459867,94.3158925672019,True,53,155.53188909523752,188.276867831296
53,2020-03-15,136,0,25.1732205459867,94.3158925672019,True,54,157.02218159170206,188.276867831296
54,2020-03-16,136,0,25.1732205459867,94.3158925672019,True,55,158.45839233932477,188.276867831296
55,2020-03-17,136,0,25.1732205459867,94.3158925672019,True,56,159.84131235090825,188.276867831296
56,2020-03-18,136,0,25.1732205459867,94.3158925672019,True,57,161.17183362090384,188.276867831296
57,2020-03-19,137,1,25.1732205459867,94.3158925672019,True,58,162.4509376489332,188.276867831296
58,2020-03-20,137,1,25.1732205459867,94.3158925672019,True,59,163.67968432967453,188.276867831296
59,2020-03-21,137,1,25.1732205459867,94.3158925672019,True,60,164.8592012786082,188.276867831296
60,2020-03-22,137,1,25.1732205459867,94.3158925672019,True,61,165.9906736497431,188.276867831296
61,2020-03-23,141,5,25.1732205459867,94.3158925672019,True,62,167.07533448889575,188.276867831296
62,2020-03-24,145,9,25.1732205459867,94.3158925672019,True,63,168.11445565449446,188.276867831296
63,2020-03-25,145,9,25.1732205459867,94.3158925672019,True,64,169.10933932731533,188.276867831296
64,2020-03-26,151,15,25.1732205459867,94.3158925672019,True,65,170.06131012107798,188.276867831296
65,2020-03-27,155,19,25.1732205459867,94.3158925672019,True,66,170.97170779744621,188.276867831296
66,2020-03-28,161,25,25.1732205459867,94.3158925672019,True,67,171.84188058168587,188.276867831296
67,2020-03-29,166,30,25.1732205459867,94.3158925672019,True,68,172.67317906899464,188.276867831296
68,2020-03-30,174,38,25.1732205459867,94.3158925672019,True,69,173.46695070628442,188.276867831296
69,2020-03-31,174,36,25.1732205459867,94.3158925672019,True,70,174.22453482990528,188.276867831296
70,2020-04-01,176,38,25.1732205459867,94.3158925672019,True,71,174.94725823637617,188.276867831296
71,2020-04-02,176,38,25.1732205459867,94.3158925672019,True,72,175.63643126055715,188.276867831296
72,2020-04-03,180,37,25.1732205459867,94.3158925672019,True,73,176.29334433377574,188.276867831296
73,2020-04-04,180,33,25.1732205459867,94.3158925672019,True,74,176.91926499312956,188.276867831296
74,2020-04-05,180,33,25.1732205459867,94.3158925672019,True,75,177.51543531244852,188.276867831296
75,2020-04-06,180,33,25.1732205459867,94.3158925672019,True,76,178.08306972513435,188.276867831296
76,2020-04-07,180,26,25.1732205459867,94.3158925672019,True,77,178.6233532092345,188.276867831296
77,2020-04-08,180,25,25.1732205459867,94.3158925672019,True,78,179.1374398055829,188.276867831296
78,2020-04-09,182,27,25.1732205459867,94.3158925672019,True,79,179.62645144059292,188.276867831296
79,2020-04-10,183,22,25.1732205459867,94.3158925672019,True,80,180.0914770262582,188.276867831296
80,2020-04-11,183,19,25.1732205459867,94.3158925672019,True,81,180.53357181106176,188.276867831296
81,2020-04-12,183,19,25.1732205459867,94.3158925672019,True,82,180.9537569567647,188.276867831296
82,2020-04-13,184,17,25.1732205459867,94.3158925672019,True,83,181.35301931740457,188.276867831296
83,2020-04-14,185,14,25.1732205459867,94.3158925672019,True,84,181.73231139825225,188.276867831296
84,2020-04-15,185,11,25.1732205459867,94.3158925672019,True,85,182.09255147392014,188.276867831296
85,2020-04-16,186,11,25.1732205459867,94.3158925672019,True,86,182.4346238462648,188.276867831296
86,2020-04-17,189,13,25.1732205459867,94.3158925672019,True,87,182.75937922416398,188.276867831296
87,2020-04-18,189,13,25.1732205459867,94.3158925672019,True,88,183.0676352086528,188.276867831296
88,2020-04-19,189,12,25.1732205459867,94.3158925672019,True,89,183.36017686826762,188.276867831296
89,2020-04-20,189,12,25.1732205459867,94.3158925672019,True,90,183.6377573907557,188.276867831296
90,2020-04-21,189,10,25.1732205459867,94.3158925672019,True,91,183.90109879856126,188.276867831296
91,2020-04-22,189,10,25.1732205459867,94.3158925672019,True,92,184.1508927166837,188.276867831296
92,2020-04-23,189,7,25.1732205459867,94.3158925672019,True,93,184.3878011826227,188.276867831296
93,2020-04-24,190,6,25.1732205459867,94.3158925672019,True,94,184.61245748917287,188.276867831296
94,2020-04-25,190,5,25.1732205459867,94.3158925672019,True,95,184.82546705181042,188.276867831296
95,2020-04-26,190,5,25.1732205459867,94.3158925672019,True,96,185.02740829332126,188.276867831296
96,2020-04-27,190,5,25.1732205459867,94.3158925672019,True,97,185.21883353916152,188.276867831296
97,2020-04-28,190,4,25.1732205459867,94.3158925672019,True,98,185.4002699178154,188.276867831296
98,2020-04-29,190,4,25.1732205459867,94.3158925672019,True,99,185.5722202611245,188.276867831296
99,2020-04-30,190,3,25.1732205459867,94.3158925672019,True,100,185.73516400021308,188.276867831296
100,2020-05-01,190,2,25.1732205459867,94.3158925672019,True,101,185.8895580532244,188.276867831296
101,2020-05-02,190,2,25.1732205459867,94.3158925672019,True,102,186.03583770162007,188.276867831296
102,2020-05-03,190,1,25.1732205459867,94.3158925672019,True,103,186.1744174522802,188.276867831296
103,2020-05-04,190,1,25.1732205459867,94.3158925672019,True,104,186.30569188307888,188.276867831296
104,2020-05-05,190,1,25.1732205459867,94.3158925672019,True,105,186.43003647000413,188.276867831296
