,Report_Date,Guinea-Bissau_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.84567505123039,16.96290746532258,False,1,0.024524921662700882,0.22881035816171424
1,2020-01-23,0,84.84567505123039,16.96290746532258,False,2,0.02673230230785089,0.22881035816171424
2,2020-01-24,0,84.84567505123039,16.96290746532258,False,3,0.02913818884167494,0.22881035816171424
3,2020-01-25,0,84.84567505123039,16.96290746532258,False,4,0.03176040043565942,0.22881035816171424
4,2020-01-26,0,84.84567505123039,16.96290746532258,False,5,0.03461834978585126,0.22881035816171424
5,2020-01-27,0,84.84567505123039,16.96290746532258,False,6,0.037733184481903666,0.22881035816171424
6,2020-01-28,0,84.84567505123039,16.96290746532258,False,7,0.041127940703710154,0.22881035816171424
7,2020-01-29,0,84.84567505123039,16.96290746532258,False,8,0.04482771028015786,0.22881035816171424
8,2020-01-30,0,84.84567505123039,16.96290746532258,False,9,0.04885982222361331,0.22881035816171424
9,2020-01-31,0,84.84567505123039,16.96290746532258,False,10,0.05325403993735776,0.22881035816171424
10,2020-02-01,0,84.84567505123039,16.96290746532258,False,11,0.0580427753812487,0.22881035816171424
11,2020-02-02,0,84.84567505123039,16.96290746532258,False,12,0.06326132157324084,0.22881035816171424
12,2020-02-03,0,84.84567505123039,16.96290746532258,False,13,0.06894810490078389,0.22881035816171424
13,2020-02-04,0,84.84567505123039,16.96290746532258,False,14,0.0751449588161147,0.22881035816171424
14,2020-02-05,0,84.84567505123039,16.96290746532258,False,15,0.08189742059249097,0.22881035816171424
15,2020-02-06,0,84.84567505123039,16.96290746532258,False,16,0.08925505292368174,0.22881035816171424
16,2020-02-07,0,84.84567505123039,16.96290746532258,False,17,0.09727179225547794,0.22881035816171424
17,2020-02-08,0,84.84567505123039,16.96290746532258,False,18,0.10600632584425856,0.22881035816171424
18,2020-02-09,0,84.84567505123039,16.96290746532258,False,19,0.11552249964200516,0.22881035816171424
19,2020-02-10,0,84.84567505123039,16.96290746532258,False,20,0.12588975920742368,0.22881035816171424
20,2020-02-11,0,84.84567505123039,16.96290746532258,False,21,0.13718362593629746,0.22881035816171424
21,2020-02-12,0,84.84567505123039,16.96290746532258,False,22,0.1494862109875228,0.22881035816171424
