,Report_Date,Seychelles_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,60.11191638043926,5.473995092088633,True,1,0.00013258894744415598,10.912354756273555
1,2020-01-23,0,60.11191638043926,5.473995092088633,True,2,0.0001605773904912921,10.912354756273555
2,2020-01-24,0,60.11191638043926,5.473995092088633,True,3,0.00019447386014320088,10.912354756273555
3,2020-01-25,0,60.11191638043926,5.473995092088633,True,4,0.00023552542138703265,10.912354756273555
4,2020-01-26,0,60.11191638043926,5.473995092088633,True,5,0.0002852423465569474,10.912354756273555
5,2020-01-27,0,60.11191638043926,5.473995092088633,True,6,0.00034545365758817485,10.912354756273555
6,2020-01-28,0,60.11191638043926,5.473995092088633,True,7,0.00041837438386761413,10.912354756273555
7,2020-01-29,0,60.11191638043926,5.473995092088633,True,8,0.0005066870045415174,10.912354756273555
8,2020-01-30,0,60.11191638043926,5.473995092088633,True,9,0.0006136400633253269,10.912354756273555
9,2020-01-31,0,60.11191638043926,5.473995092088633,True,10,0.0007431675717191726,10.912354756273555
10,2020-02-01,0,60.11191638043926,5.473995092088633,True,11,0.0009000335755748859,10.912354756273555
11,2020-02-02,0,60.11191638043926,5.473995092088633,True,12,0.001090007177247815,10.912354756273555
12,2020-02-03,0,60.11191638043926,5.473995092088633,True,13,0.0013200744135789168,10.912354756273555
13,2020-02-04,0,60.11191638043926,5.473995092088633,True,14,0.0015986947275948766,10.912354756273555
14,2020-02-05,0,60.11191638043926,5.473995092088633,True,15,0.0019361113855735782,10.912354756273555
15,2020-02-06,0,60.11191638043926,5.473995092088633,True,16,0.0023447271363757705,10.912354756273555
16,2020-02-07,0,60.11191638043926,5.473995092088633,True,17,0.002839558752405415,10.912354756273555
17,2020-02-08,0,60.11191638043926,5.473995092088633,True,18,0.0034387869088384113,10.912354756273555
18,2020-02-09,0,60.11191638043926,5.473995092088633,True,19,0.004164421240948414,10.912354756273555
19,2020-02-10,0,60.11191638043926,5.473995092088633,True,20,0.005043104474556231,10.912354756273555
20,2020-02-11,0,60.11191638043926,5.473995092088633,True,21,0.006107084374152174,10.912354756273555
21,2020-02-12,0,60.11191638043926,5.473995092088633,True,22,0.007395388036212873,10.912354756273555
22,2020-02-13,0,60.11191638043926,5.473995092088633,True,23,0.00895523992701171,10.912354756273555
23,2020-02-14,0,60.11191638043926,5.473995092088633,True,24,0.010843773193836219,10.912354756273555
24,2020-02-15,0,60.11191638043926,5.473995092088633,True,25,0.013130093342907165,10.912354756273555
25,2020-02-16,0,60.11191638043926,5.473995092088633,True,26,0.015897764550433322,10.912354756273555
26,2020-02-17,0,60.11191638043926,5.473995092088633,True,27,0.019247801807575227,10.912354756273555
27,2020-02-18,0,60.11191638043926,5.473995092088633,True,28,0.023302266896213474,10.912354756273555
28,2020-02-19,0,60.11191638043926,5.473995092088633,True,29,0.02820858285140588,10.912354756273555
29,2020-02-20,0,60.11191638043926,5.473995092088633,True,30,0.03414469991695756,10.912354756273555
30,2020-02-21,0,60.11191638043926,5.473995092088633,True,31,0.0413252655897453,10.912354756273555
31,2020-02-22,0,60.11191638043926,5.473995092088633,True,32,0.050008971281593706,10.912354756273555
32,2020-02-23,0,60.11191638043926,5.473995092088633,True,33,0.060507266836904675,10.912354756273555
33,2020-02-24,0,60.11191638043926,5.473995092088633,True,34,0.0731946490625886,10.912354756273555
34,2020-02-25,0,60.11191638043926,5.473995092088633,True,35,0.0885207375354852,10.912354756273555
35,2020-02-26,0,60.11191638043926,5.473995092088633,True,36,0.10702434417309697,10.912354756273555
36,2020-02-27,0,60.11191638043926,5.473995092088633,True,37,0.1293497134566576,10.912354756273555
37,2020-02-28,0,60.11191638043926,5.473995092088633,True,38,0.1562650450190026,10.912354756273555
38,2020-02-29,0,60.11191638043926,5.473995092088633,True,39,0.18868329182650978,10.912354756273555
39,2020-03-01,0,60.11191638043926,5.473995092088633,True,40,0.22768503155805928,10.912354756273555
40,2020-03-02,0,60.11191638043926,5.473995092088633,True,41,0.27454290522316127,10.912354756273555
41,2020-03-03,0,60.11191638043926,5.473995092088633,True,42,0.3307466678845964,10.912354756273555
42,2020-03-04,0,60.11191638043926,5.473995092088633,True,43,0.39802725903366987,10.912354756273555
43,2020-03-05,0,60.11191638043926,5.473995092088633,True,44,0.47837743309268577,10.912354756273555
44,2020-03-06,0,60.11191638043926,5.473995092088633,True,45,0.5740653649444396,10.912354756273555
45,2020-03-07,0,60.11191638043926,5.473995092088633,True,46,0.6876362668023305,10.912354756273555
46,2020-03-08,0,60.11191638043926,5.473995092088633,True,47,0.8218954948173701,10.912354756273555
47,2020-03-09,0,60.11191638043926,5.473995092088633,True,48,0.9798650763305382,10.912354756273555
48,2020-03-10,0,60.11191638043926,5.473995092088633,True,49,1.164704415084524,10.912354756273555
49,2020-03-11,0,60.11191638043926,5.473995092088633,True,50,1.3795857208474838,10.912354756273555
50,2020-03-12,0,60.11191638043926,5.473995092088633,True,51,1.6275162873767148,10.912354756273555
51,2020-03-13,0,60.11191638043926,5.473995092088633,True,52,1.9111040848418832,10.912354756273555
52,2020-03-14,2,60.11191638043926,5.473995092088633,True,53,2.232271112115264,10.912354756273555
53,2020-03-15,2,60.11191638043926,5.473995092088633,True,54,2.5919308646294095,10.912354756273555
54,2020-03-16,3,60.11191638043926,5.473995092088633,True,55,2.989661176210625,10.912354756273555
55,2020-03-17,4,60.11191638043926,5.473995092088633,True,56,3.423418804633563,10.912354756273555
