,Report_Date,Sierra Leone_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,123.20135564516532,665.5142141998498,True,1,0.014613913486523558,1064.100054157599
1,2020-01-23,0,0,123.20135564516532,665.5142141998498,True,2,0.016045381000750196,1064.100054157599
2,2020-01-24,0,0,123.20135564516532,665.5142141998498,True,3,0.01761706229991968,1064.100054157599
3,2020-01-25,0,0,123.20135564516532,665.5142141998498,True,4,0.01934269109392144,1064.100054157599
4,2020-01-26,0,0,123.20135564516532,665.5142141998498,True,5,0.021237346208593896,1064.100054157599
5,2020-01-27,0,0,123.20135564516532,665.5142141998498,True,6,0.0233175833138404,1064.100054157599
6,2020-01-28,0,0,123.20135564516532,665.5142141998498,True,7,0.025601579548659003,1064.100054157599
7,2020-01-29,0,0,123.20135564516532,665.5142141998498,True,8,0.028109292305085413,1064.100054157599
8,2020-01-30,0,0,123.20135564516532,665.5142141998498,True,9,0.03086263355639878,1064.100054157599
9,2020-01-31,0,0,123.20135564516532,665.5142141998498,True,10,0.03388566125031799,1064.100054157599
10,2020-02-01,0,0,123.20135564516532,665.5142141998498,True,11,0.03720478943648916,1064.100054157599
11,2020-02-02,0,0,123.20135564516532,665.5142141998498,True,12,0.04084901896061106,1064.100054157599
12,2020-02-03,0,0,123.20135564516532,665.5142141998498,True,13,0.04485019073646685,1064.100054157599
13,2020-02-04,0,0,123.20135564516532,665.5142141998498,True,14,0.04924326380346156,1064.100054157599
14,2020-02-05,0,0,123.20135564516532,665.5142141998498,True,15,0.054066620592688165,1064.100054157599
15,2020-02-06,0,0,123.20135564516532,665.5142141998498,True,16,0.05936240206090207,1064.100054157599
16,2020-02-07,0,0,123.20135564516532,665.5142141998498,True,17,0.06517687561108874,1064.100054157599
17,2020-02-08,0,0,123.20135564516532,665.5142141998498,True,18,0.07156083900277145,1064.100054157599
18,2020-02-09,0,0,123.20135564516532,665.5142141998498,True,19,0.0785700637672361,1064.100054157599
19,2020-02-10,0,0,123.20135564516532,665.5142141998498,True,20,0.08626578198509136,1064.100054157599
20,2020-02-11,0,0,123.20135564516532,665.5142141998498,True,21,0.09471522065891756,1064.100054157599
21,2020-02-12,0,0,123.20135564516532,665.5142141998498,True,22,0.10399218832534464,1064.100054157599
22,2020-02-13,0,0,123.20135564516532,665.5142141998498,True,23,0.11417771900217959,1064.100054157599
23,2020-02-14,0,0,123.20135564516532,665.5142141998498,True,24,0.12536077906094167,1064.100054157599
24,2020-02-15,0,0,123.20135564516532,665.5142141998498,True,25,0.13763904315745737,1064.100054157599
25,2020-02-16,0,0,123.20135564516532,665.5142141998498,True,26,0.15111974594749528,1064.100054157599
26,2020-02-17,0,0,123.20135564516532,665.5142141998498,True,27,0.16592061696565485,1064.100054157599
27,2020-02-18,0,0,123.20135564516532,665.5142141998498,True,28,0.18217090675916536,1064.100054157599
28,2020-02-19,0,0,123.20135564516532,665.5142141998498,True,29,0.20001251314968022,1064.100054157599
29,2020-02-20,0,0,123.20135564516532,665.5142141998498,True,30,0.21960121735182483,1064.100054157599
30,2020-02-21,0,0,123.20135564516532,665.5142141998498,True,31,0.2411080406139885,1064.100054157599
31,2020-02-22,0,0,123.20135564516532,665.5142141998498,True,32,0.2647207330720094,1064.100054157599
32,2020-02-23,0,0,123.20135564516532,665.5142141998498,True,33,0.29064540762796454,1064.100054157599
33,2020-02-24,0,0,123.20135564516532,665.5142141998498,True,34,0.3191083328928789,1064.100054157599
34,2020-02-25,0,0,123.20135564516532,665.5142141998498,True,35,0.3503579005730924,1064.100054157599
35,2020-02-26,0,0,123.20135564516532,665.5142141998498,True,36,0.3846667841452979,1064.100054157599
36,2020-02-27,0,0,123.20135564516532,665.5142141998498,True,37,0.42233430726562127,1064.100054157599
37,2020-02-28,0,0,123.20135564516532,665.5142141998498,True,38,0.4636890421050728,1064.100054157599
38,2020-02-29,0,0,123.20135564516532,665.5142141998498,True,39,0.5090916597095427,1064.100054157599
39,2020-03-01,0,0,123.20135564516532,665.5142141998498,True,40,0.5589380565603091,1064.100054157599
40,2020-03-02,0,0,123.20135564516532,665.5142141998498,True,41,0.6136627837746094,1064.100054157599
41,2020-03-03,0,0,123.20135564516532,665.5142141998498,True,42,0.6737428078497979,1064.100054157599
42,2020-03-04,0,0,123.20135564516532,665.5142141998498,True,43,0.7397016345342458,1064.100054157599
43,2020-03-05,0,0,123.20135564516532,665.5142141998498,True,44,0.8121138303193368,1064.100054157599
44,2020-03-06,0,0,123.20135564516532,665.5142141998498,True,45,0.8916099792061043,1064.100054157599
45,2020-03-07,0,0,123.20135564516532,665.5142141998498,True,46,0.9788821158239553,1064.100054157599
46,2020-03-08,0,0,123.20135564516532,665.5142141998498,True,47,1.0746896796844352,1064.100054157599
47,2020-03-09,0,0,123.20135564516532,665.5142141998498,True,48,1.1798660393568379,1064.100054157599
48,2020-03-10,0,0,123.20135564516532,665.5142141998498,True,49,1.2953256396707218,1064.100054157599
49,2020-03-11,0,0,123.20135564516532,665.5142141998498,True,50,1.4220718296983736,1064.100054157599
50,2020-03-12,0,0,123.20135564516532,665.5142141998498,True,51,1.5612054342612844,1064.100054157599
51,2020-03-13,0,0,123.20135564516532,665.5142141998498,True,52,1.7139341370500056,1064.100054157599
52,2020-03-14,0,0,123.20135564516532,665.5142141998498,True,53,1.8815827491540704,1064.100054157599
53,2020-03-15,0,0,123.20135564516532,665.5142141998498,True,54,2.065604442871038,1064.100054157599
54,2020-03-16,0,0,123.20135564516532,665.5142141998498,True,55,2.267593037098574,1064.100054157599
