,Report_Date,Comoros_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,144.98151961524385,181.7530839473004,False,1,0.004035453112806139,354.78671140918675
1,2020-01-23,0,0,144.98151961524385,181.7530839473004,False,2,0.004368208610454927,354.78671140918675
2,2020-01-24,0,0,144.98151961524385,181.7530839473004,False,3,0.004728402112660795,354.78671140918675
3,2020-01-25,0,0,144.98151961524385,181.7530839473004,False,4,0.0051182960123986355,354.78671140918675
4,2020-01-26,0,0,144.98151961524385,181.7530839473004,False,5,0.005540339237097943,354.78671140918675
5,2020-01-27,0,0,144.98151961524385,181.7530839473004,False,6,0.005997182626614143,354.78671140918675
6,2020-01-28,0,0,144.98151961524385,181.7530839473004,False,7,0.006491695578655414,354.78671140918675
7,2020-01-29,0,0,144.98151961524385,181.7530839473004,False,8,0.007026984066075634,354.78671140918675
8,2020-01-30,0,0,144.98151961524385,181.7530839473004,False,9,0.007606410139036105,354.78671140918675
9,2020-01-31,0,0,144.98151961524385,181.7530839473004,False,10,0.008233613034336177,354.78671140918675
10,2020-02-01,0,0,144.98151961524385,181.7530839473004,False,11,0.00891253202427348,354.78671140918675
11,2020-02-02,0,0,144.98151961524385,181.7530839473004,False,12,0.009647431148280509,354.78671140918675
12,2020-02-03,0,0,144.98151961524385,181.7530839473004,False,13,0.010442925982363132,354.78671140918675
13,2020-02-04,0,0,144.98151961524385,181.7530839473004,False,14,0.011304012614111,354.78671140918675
14,2020-02-05,0,0,144.98151961524385,181.7530839473004,False,15,0.012236099004838451,354.78671140918675
15,2020-02-06,0,0,144.98151961524385,181.7530839473004,False,16,0.01324503893533233,354.78671140918675
16,2020-02-07,0,0,144.98151961524385,181.7530839473004,False,17,0.014337168747821894,354.78671140918675
17,2020-02-08,0,0,144.98151961524385,181.7530839473004,False,18,0.01551934711424482,354.78671140918675
18,2020-02-09,0,0,144.98151961524385,181.7530839473004,False,19,0.016798998079769208,354.78671140918675
19,2020-02-10,0,0,144.98151961524385,181.7530839473004,False,20,0.01818415765095999,354.78671140918675
20,2020-02-11,0,0,144.98151961524385,181.7530839473004,False,21,0.019683524220073897,354.78671140918675
21,2020-02-12,0,0,144.98151961524385,181.7530839473004,False,22,0.021306513140864736,354.78671140918675
22,2020-02-13,0,0,144.98151961524385,181.7530839473004,False,23,0.02306331579712514,354.78671140918675
23,2020-02-14,0,0,144.98151961524385,181.7530839473004,False,24,0.02496496353313882,354.78671140918675
24,2020-02-15,0,0,144.98151961524385,181.7530839473004,False,25,0.027023396845437222,354.78671140918675
25,2020-02-16,0,0,144.98151961524385,181.7530839473004,False,26,0.02925154026792836,354.78671140918675
26,2020-02-17,0,0,144.98151961524385,181.7530839473004,False,27,0.031663383417788946,354.78671140918675
27,2020-02-18,0,0,144.98151961524385,181.7530839473004,False,28,0.03427406870769492,354.78671140918675
28,2020-02-19,0,0,144.98151961524385,181.7530839473004,False,29,0.03709998627123686,354.78671140918675
29,2020-02-20,0,0,144.98151961524385,181.7530839473004,False,30,0.04015887669296985,354.78671140918675
30,2020-02-21,0,0,144.98151961524385,181.7530839473004,False,31,0.04346994218274446,354.78671140918675
31,2020-02-22,0,0,144.98151961524385,181.7530839473004,False,32,0.04705396688603777,354.78671140918675
32,2020-02-23,0,0,144.98151961524385,181.7530839473004,False,33,0.05093344707825618,354.78671140918675
