,Report_Date,Finland_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
19,2020-02-10,1,1,86.3471265363363,3380.3232238490937,True,20,25.010199204308037,6675.053830042703
20,2020-02-11,1,1,86.3471265363363,3380.3232238490937,True,21,27.20227832731147,6675.053830042703
21,2020-02-12,1,0,86.3471265363363,3380.3232238490937,True,22,29.585643589590724,6675.053830042703
22,2020-02-13,1,0,86.3471265363363,3380.3232238490937,True,23,32.17683280941688,6675.053830042703
23,2020-02-14,1,0,86.3471265363363,3380.3232238490937,True,24,34.99378541694855,6675.053830042703
24,2020-02-15,1,0,86.3471265363363,3380.3232238490937,True,25,38.055956089923384,6675.053830042703
25,2020-02-16,1,0,86.3471265363363,3380.3232238490937,True,26,41.384436652911084,6675.053830042703
26,2020-02-17,1,0,86.3471265363363,3380.3232238490937,True,27,45.00208666162542,6675.053830042703
27,2020-02-18,1,0,86.3471265363363,3380.3232238490937,True,28,48.93367307846736,6675.053830042703
28,2020-02-19,1,0,86.3471265363363,3380.3232238490937,True,29,53.20601942020799,6675.053830042703
29,2020-02-20,1,0,86.3471265363363,3380.3232238490937,True,30,57.848164721353065,6675.053830042703
30,2020-02-21,1,0,86.3471265363363,3380.3232238490937,True,31,62.891532604739396,6675.053830042703
31,2020-02-22,1,0,86.3471265363363,3380.3232238490937,True,32,68.37011068138794,6675.053830042703
32,2020-02-23,1,0,86.3471265363363,3380.3232238490937,True,33,74.32064041123127,6675.053830042703
33,2020-02-24,1,0,86.3471265363363,3380.3232238490937,True,34,80.78281744122627,6675.053830042703
34,2020-02-25,1,0,86.3471265363363,3380.3232238490937,True,35,87.79950229322499,6675.053830042703
35,2020-02-26,2,1,86.3471265363363,3380.3232238490937,True,36,95.41694109593558,6675.053830042703
36,2020-02-27,2,1,86.3471265363363,3380.3232238490937,True,37,103.68499583792787,6675.053830042703
37,2020-02-28,2,1,86.3471265363363,3380.3232238490937,True,38,112.65738335592371,6675.053830042703
38,2020-02-29,3,2,86.3471265363363,3380.3232238490937,True,39,122.3919219580194,6675.053830042703
39,2020-03-01,6,5,86.3471265363363,3380.3232238490937,True,40,132.95078420796543,6675.053830042703
40,2020-03-02,6,5,86.3471265363363,3380.3232238490937,True,41,144.40075395673833,6675.053830042703
41,2020-03-03,6,5,86.3471265363363,3380.3232238490937,True,42,156.81348519366813,6675.053830042703
42,2020-03-04,6,5,86.3471265363363,3380.3232238490937,True,43,170.26575969359217,6675.053830042703
43,2020-03-05,12,11,86.3471265363363,3380.3232238490937,True,44,184.83973975140583,6675.053830042703
44,2020-03-06,15,14,86.3471265363363,3380.3232238490937,True,45,200.6232115141891,6675.053830042703
45,2020-03-07,15,14,86.3471265363363,3380.3232238490937,True,46,217.7098135382247,6675.053830042703
46,2020-03-08,23,22,86.3471265363363,3380.3232238490937,True,47,236.19924421007886,6675.053830042703
47,2020-03-09,30,29,86.3471265363363,3380.3232238490937,True,48,256.19744057668635,6675.053830042703
48,2020-03-10,40,39,86.3471265363363,3380.3232238490937,True,49,277.81671993219294,6675.053830042703
49,2020-03-11,59,58,86.3471265363363,3380.3232238490937,True,50,301.1758742175334,6675.053830042703
50,2020-03-12,59,58,86.3471265363363,3380.3232238490937,True,51,326.40020591753665,6675.053830042703
51,2020-03-13,155,154,86.3471265363363,3380.3232238490937,True,52,353.6214927134705,6675.053830042703
52,2020-03-14,225,224,86.3471265363363,3380.3232238490937,True,53,382.97786670073003,6675.053830042703
53,2020-03-15,244,234,86.3471265363363,3380.3232238490937,True,54,414.61359255879063,6675.053830042703
54,2020-03-16,277,267,86.3471265363363,3380.3232238490937,True,55,448.67872772555444,6675.053830042703
55,2020-03-17,321,311,86.3471265363363,3380.3232238490937,True,56,485.3286464596501,6675.053830042703
56,2020-03-18,336,326,86.3471265363363,3380.3232238490937,True,57,524.7234087697319,6675.053830042703
57,2020-03-19,400,390,86.3471265363363,3380.3232238490937,True,58,567.0269546669314,6675.053830042703
58,2020-03-20,450,440,86.3471265363363,3380.3232238490937,True,59,612.4061041929385,6675.053830042703
59,2020-03-21,523,512,86.3471265363363,3380.3232238490937,True,60,661.0293443483318,6675.053830042703
60,2020-03-22,626,615,86.3471265363363,3380.3232238490937,True,61,713.0653855659461,6675.053830042703
61,2020-03-23,700,689,86.3471265363363,3380.3232238490937,True,62,768.6814729245013,6675.053830042703
62,2020-03-24,792,781,86.3471265363363,3380.3232238490937,True,63,828.0414410619352,6675.053830042703
63,2020-03-25,880,867,86.3471265363363,3380.3232238490937,True,64,891.3035068980139,6675.053830042703
64,2020-03-26,958,943,86.3471265363363,3380.3232238490937,True,65,958.6178009567163,6675.053830042703
65,2020-03-27,1041,1024,86.3471265363363,3380.3232238490937,True,66,1030.123646387342,6675.053830042703
66,2020-03-28,1167,1148,86.3471265363363,3380.3232238490937,True,67,1105.9466047448373,6675.053830042703
67,2020-03-29,1240,1219,86.3471265363363,3380.3232238490937,True,68,1186.1953191319317,6675.053830042703
68,2020-03-30,1352,1329,86.3471265363363,3380.3232238490937,True,69,1270.958198231463,6675.053830042703
69,2020-03-31,1418,1391,86.3471265363363,3380.3232238490937,True,70,1360.2999987206772,6675.053830042703
70,2020-04-01,1446,1419,86.3471265363363,3380.3232238490937,True,71,1454.2583780459042,6675.053830042703
71,2020-04-02,1518,1199,86.3471265363363,3380.3232238490937,True,72,1552.840503854722,6675.053830042703
72,2020-04-03,1615,1295,86.3471265363363,3380.3232238490937,True,73,1656.0198196706501,6675.053830042703
73,2020-04-04,1882,1557,86.3471265363363,3380.3232238490937,True,74,1763.7330776438444,6675.053830042703
74,2020-04-05,1927,1599,86.3471265363363,3380.3232238490937,True,75,1875.8777573123793,6675.053830042703
75,2020-04-06,2176,1849,86.3471265363363,3380.3232238490937,True,76,1992.3099931282165,6675.053830042703
76,2020-04-07,2308,1974,86.3471265363363,3380.3232238490937,True,77,2112.843131973628,6675.053830042703
77,2020-04-08,2487,2147,86.3471265363363,3380.3232238490937,True,78,2237.247034132096,6675.053830042703
78,2020-04-09,2605,2263,86.3471265363363,3380.3232238490937,True,79,2365.2482165993315,6675.053830042703
79,2020-04-10,2769,2421,86.3471265363363,3380.3232238490937,True,80,2496.530916060201,6675.053830042703
80,2020-04-11,2905,2556,86.3471265363363,3380.3232238490937,True,81,2630.7391206660145,6675.053830042703
81,2020-04-12,2974,2618,86.3471265363363,3380.3232238490937,True,82,2767.4795858464054,6675.053830042703
82,2020-04-13,3064,2705,86.3471265363363,3380.3232238490937,True,83,2906.3258112806398,6675.053830042703
83,2020-04-14,3161,2797,86.3471265363363,3380.3232238490937,True,84,3046.8229158531535,6675.053830042703
84,2020-04-15,3237,2865,86.3471265363363,3380.3232238490937,True,85,3188.493307337634,6675.053830042703
85,2020-04-16,3369,1594,86.3471265363363,3380.3232238490937,True,86,3330.843006309917,6675.053830042703
86,2020-04-17,3489,1707,86.3471265363363,3380.3232238490937,True,87,3473.3684519751355,6675.053830042703
87,2020-04-18,3681,1891,86.3471265363363,3380.3232238490937,True,88,3615.5635935299247,6675.053830042703
88,2020-04-19,3783,1989,86.3471265363363,3380.3232238490937,True,89,3756.9270561804115,6675.053830042703
89,2020-04-20,3868,1770,86.3471265363363,3380.3232238490937,True,90,3896.96916711641,6675.053830042703
90,2020-04-21,4014,1873,86.3471265363363,3380.3232238490937,True,91,4035.2186338987,6675.053830042703
91,2020-04-22,4129,1980,86.3471265363363,3380.3232238490937,True,92,4171.228685294384,6675.053830042703
92,2020-04-23,4284,2112,86.3471265363363,3380.3232238490937,True,93,4304.582511249795,6675.053830042703
93,2020-04-24,4395,1718,86.3471265363363,3380.3232238490937,True,94,4434.897872428961,6675.053830042703
94,2020-04-25,4475,1789,86.3471265363363,3380.3232238490937,True,95,4561.830788138024,6675.053830042703
95,2020-04-26,4576,1886,86.3471265363363,3380.3232238490937,True,96,4685.078251875976,6675.053830042703
96,2020-04-27,4695,2002,86.3471265363363,3380.3232238490937,True,97,4804.379963623203,6675.053830042703
97,2020-04-28,4740,1741,86.3471265363363,3380.3232238490937,True,98,4919.519104993917,6675.053830042703
98,2020-04-29,4906,1900,86.3471265363363,3380.3232238490937,True,99,5030.322215666358,6675.053830042703
99,2020-04-30,4995,1784,86.3471265363363,3380.3232238490937,True,100,5136.658255739292,6675.053830042703
100,2020-05-01,5051,1833,86.3471265363363,3380.3232238490937,True,101,5238.436958100369,6675.053830042703
101,2020-05-02,5176,1956,86.3471265363363,3380.3232238490937,True,102,5335.606587347251,6675.053830042703
102,2020-05-03,5254,2024,86.3471265363363,3380.3232238490937,True,103,5428.15122758001,6675.053830042703
103,2020-05-04,5327,1587,86.3471265363363,3380.3232238490937,True,104,5516.087721171914,6675.053830042703
104,2020-05-05,5412,1666,86.3471265363363,3380.3232238490937,True,105,5599.462375378653,6675.053830042703
105,2020-05-06,5573,1821,86.3471265363363,3380.3232238490937,True,106,5678.347544461939,6675.053830042703
106,2020-05-07,5673,1918,86.3471265363363,3380.3232238490937,True,107,5752.838183017171,6675.053830042703
107,2020-05-08,5738,1478,86.3471265363363,3380.3232238490937,True,108,5823.04845249072,6675.053830042703
108,2020-05-09,5880,1615,86.3471265363363,3380.3232238490937,True,109,5889.108448418445,6675.053830042703
109,2020-05-10,5962,1695,86.3471265363363,3380.3232238490937,True,110,5951.161101525216,6675.053830042703
110,2020-05-11,5984,1713,86.3471265363363,3380.3232238490937,True,111,6009.359292132534,6675.053830042703
111,2020-05-12,6003,1428,86.3471265363363,3380.3232238490937,True,112,6063.863204789244,6675.053830042703
112,2020-05-13,6054,1470,86.3471265363363,3380.3232238490937,True,113,6114.837938966786,6675.053830042703
113,2020-05-14,6145,1558,86.3471265363363,3380.3232238490937,True,114,6162.45138220176,6675.053830042703
114,2020-05-15,6228,935,86.3471265363363,3380.3232238490937,True,115,6206.87234426415,6675.053830042703
115,2020-05-16,6286,989,86.3471265363363,3380.3232238490937,True,116,6248.268944729662,6675.053830042703
116,2020-05-17,6347,1049,86.3471265363363,3380.3232238490937,True,117,6286.807241625181,6675.053830042703
117,2020-05-18,6380,1080,86.3471265363363,3380.3232238490937,True,118,6322.650085442371,6675.053830042703
118,2020-05-19,6399,1098,86.3471265363363,3380.3232238490937,True,119,6355.956180598595,6675.053830042703
119,2020-05-20,6443,1339,86.3471265363363,3380.3232238490937,True,120,6386.879335182475,6675.053830042703
120,2020-05-21,6493,1387,86.3471265363363,3380.3232238490937,True,121,6415.5678793735615,6675.053830042703
121,2020-05-22,6537,1431,86.3471265363363,3380.3232238490937,True,122,6442.164233103753,6675.053830042703
122,2020-05-23,6568,1462,86.3471265363363,3380.3232238490937,True,123,6466.804604181423,6675.053830042703
123,2020-05-24,6579,1472,86.3471265363363,3380.3232238490937,True,124,6489.618799095929,6675.053830042703
124,2020-05-25,6599,1191,86.3471265363363,3380.3232238490937,True,125,6510.730129949166,6675.053830042703
125,2020-05-26,6628,1216,86.3471265363363,3380.3232238490937,True,126,6530.255402330092,6675.053830042703
126,2020-05-27,6692,1279,86.3471265363363,3380.3232238490937,True,127,6548.304970384447,6675.053830042703
127,2020-05-28,6743,930,86.3471265363363,3380.3232238490937,True,128,6564.982846777939,6675.053830042703
