,Report_Date,Finland_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,86.3471265363363,3380.3232238490937,True,1,5.051749213547639,6675.053830042703
1,2020-01-23,0,0,86.3471265363363,3380.3232238490937,True,2,5.495949284142423,6675.053830042703
2,2020-01-24,0,0,86.3471265363363,3380.3232238490937,True,3,5.979173276545484,6675.053830042703
3,2020-01-25,0,0,86.3471265363363,3380.3232238490937,True,4,6.5048431798776125,6675.053830042703
4,2020-01-26,0,0,86.3471265363363,3380.3232238490937,True,5,7.076679891284606,6675.053830042703
5,2020-01-27,0,0,86.3471265363363,3380.3232238490937,True,6,7.6987291115387935,6675.053830042703
6,2020-01-28,0,0,86.3471265363363,3380.3232238490937,True,7,8.375389444786158,6675.053830042703
7,2020-01-29,1,1,86.3471265363363,3380.3232238490937,True,8,9.111442882795172,6675.053830042703
8,2020-01-30,1,1,86.3471265363363,3380.3232238490937,True,9,9.912087867466802,6675.053830042703
9,2020-01-31,1,1,86.3471265363363,3380.3232238490937,True,10,10.782975139503892,6675.053830042703
10,2020-02-01,1,1,86.3471265363363,3380.3232238490937,True,11,11.730246595998217,6675.053830042703
11,2020-02-02,1,1,86.3471265363363,3380.3232238490937,True,12,12.760577395245354,6675.053830042703
12,2020-02-03,1,1,86.3471265363363,3380.3232238490937,True,13,13.881221563293819,6675.053830042703
13,2020-02-04,1,1,86.3471265363363,3380.3232238490937,True,14,15.100061373504518,6675.053830042703
14,2020-02-05,1,1,86.3471265363363,3380.3232238490937,True,15,16.425660787640926,6675.053830042703
15,2020-02-06,1,1,86.3471265363363,3380.3232238490937,True,16,17.86732326459663,6675.053830042703
16,2020-02-07,1,1,86.3471265363363,3380.3232238490937,True,17,19.435154260620944,6675.053830042703
17,2020-02-08,1,1,86.3471265363363,3380.3232238490937,True,18,21.14012876260189,6675.053830042703
18,2020-02-09,1,1,86.3471265363363,3380.3232238490937,True,19,22.99416421332654,6675.053830042703
