,Report_Date,Netherlands_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,79.66417590700684,22292.693456795136,True,1,8.685461191322954,44506.514332801824
1,2020-01-23,0,0,79.66417590700684,22292.693456795136,True,2,9.681657024493829,44506.514332801824
2,2020-01-24,0,0,79.66417590700684,22292.693456795136,True,3,10.792085810085721,44506.514332801824
3,2020-01-25,0,0,79.66417590700684,22292.693456795136,True,4,12.029839837174174,44506.514332801824
4,2020-01-26,0,0,79.66417590700684,22292.693456795136,True,5,13.409510280772825,44506.514332801824
5,2020-01-27,0,0,79.66417590700684,22292.693456795136,True,6,14.94735840891902,44506.514332801824
6,2020-01-28,0,0,79.66417590700684,22292.693456795136,True,7,16.661506249791657,44506.514332801824
7,2020-01-29,0,0,79.66417590700684,22292.693456795136,True,8,18.572148907508904,44506.514332801824
8,2020-01-30,0,0,79.66417590700684,22292.693456795136,True,9,20.701790955743796,44506.514332801824
9,2020-01-31,0,0,79.66417590700684,22292.693456795136,True,10,23.075509603820905,44506.514332801824
10,2020-02-01,0,0,79.66417590700684,22292.693456795136,True,11,25.72124762277599,44506.514332801824
11,2020-02-02,0,0,79.66417590700684,22292.693456795136,True,12,28.670139341343294,44506.514332801824
12,2020-02-03,0,0,79.66417590700684,22292.693456795136,True,13,31.95687337644371,44506.514332801824
13,2020-02-04,0,0,79.66417590700684,22292.693456795136,True,14,35.620096152002155,44506.514332801824
14,2020-02-05,0,0,79.66417590700684,22292.693456795136,True,15,39.70286068635626,44506.514332801824
15,2020-02-06,0,0,79.66417590700684,22292.693456795136,True,16,44.25312559461326,44506.514332801824
16,2020-02-07,0,0,79.66417590700684,22292.693456795136,True,17,49.32430976041436,44506.514332801824
17,2020-02-08,0,0,79.66417590700684,22292.693456795136,True,18,54.975908683771564,44506.514332801824
18,2020-02-09,0,0,79.66417590700684,22292.693456795136,True,19,61.274179109651485,44506.514332801824
19,2020-02-10,0,0,79.66417590700684,22292.693456795136,True,20,68.29289918690326,44506.514332801824
20,2020-02-11,0,0,79.66417590700684,22292.693456795136,True,21,76.11421209923905,44506.514332801824
21,2020-02-12,0,0,79.66417590700684,22292.693456795136,True,22,84.82956184840113,44506.514332801824
22,2020-02-13,0,0,79.66417590700684,22292.693456795136,True,23,94.54073065197235,44506.514332801824
23,2020-02-14,0,0,79.66417590700684,22292.693456795136,True,24,105.36098824004787,44506.514332801824
24,2020-02-15,0,0,79.66417590700684,22292.693456795136,True,25,117.4163641890652,44506.514332801824
25,2020-02-16,0,0,79.66417590700684,22292.693456795136,True,26,130.84705530694063,44506.514332801824
26,2020-02-17,0,0,79.66417590700684,22292.693456795136,True,27,145.80898096635244,44506.514332801824
27,2020-02-18,0,0,79.66417590700684,22292.693456795136,True,28,162.47550015208537,44506.514332801824
28,2020-02-19,0,0,79.66417590700684,22292.693456795136,True,29,181.03930481638378,44506.514332801824
29,2020-02-20,0,0,79.66417590700684,22292.693456795136,True,30,201.71450488716795,44506.514332801824
30,2020-02-21,0,0,79.66417590700684,22292.693456795136,True,31,224.73892090094557,44506.514332801824
31,2020-02-22,0,0,79.66417590700684,22292.693456795136,True,32,250.37660067531624,44506.514332801824
32,2020-02-23,0,0,79.66417590700684,22292.693456795136,True,33,278.92057661907785,44506.514332801824
33,2020-02-24,0,0,79.66417590700684,22292.693456795136,True,34,310.6958801056236,44506.514332801824
34,2020-02-25,0,0,79.66417590700684,22292.693456795136,True,35,346.06282868874575,44506.514332801824
35,2020-02-26,0,0,79.66417590700684,22292.693456795136,True,36,385.4206006725779,44506.514332801824
36,2020-02-27,1,1,79.66417590700684,22292.693456795136,True,37,429.2111094799942,44506.514332801824
37,2020-02-28,1,1,79.66417590700684,22292.693456795136,True,38,477.9231871791212,44506.514332801824
38,2020-02-29,6,6,79.66417590700684,22292.693456795136,True,39,532.0970821649581,44506.514332801824
39,2020-03-01,10,10,79.66417590700684,22292.693456795136,True,40,592.3292700426045,44506.514332801824
40,2020-03-02,18,18,79.66417590700684,22292.693456795136,True,41,659.2775688563075,44506.514332801824
41,2020-03-03,24,24,79.66417590700684,22292.693456795136,True,42,733.6665395326329,44506.514332801824
42,2020-03-04,38,38,79.66417590700684,22292.693456795136,True,43,816.2931392749714,44506.514332801824
43,2020-03-05,82,82,79.66417590700684,22292.693456795136,True,44,908.0325791211695,44506.514332801824
44,2020-03-06,128,127,79.66417590700684,22292.693456795136,True,45,1009.8443163664532,44506.514332801824
45,2020-03-07,188,187,79.66417590700684,22292.693456795136,True,46,1122.7780874350074,44506.514332801824
46,2020-03-08,265,262,79.66417590700684,22292.693456795136,True,47,1247.9798564209455,44506.514332801824
47,2020-03-09,321,318,79.66417590700684,22292.693456795136,True,48,1386.6975183102495,44506.514332801824
48,2020-03-10,382,378,79.66417590700684,22292.693456795136,True,49,1540.2861533285331,44506.514332801824
49,2020-03-11,503,498,79.66417590700684,22292.693456795136,True,50,1710.2125796015932,44506.514332801824
50,2020-03-12,503,498,79.66417590700684,22292.693456795136,True,51,1898.0588953251704,44506.514332801824
51,2020-03-13,804,794,79.66417590700684,22292.693456795136,True,52,2105.5246393194698,44506.514332801824
52,2020-03-14,959,947,79.66417590700684,22292.693456795136,True,53,2334.4271312281394,44506.514332801824
53,2020-03-15,1135,1115,79.66417590700684,22292.693456795136,True,54,2586.699481610654,44506.514332801824
54,2020-03-16,1413,1389,79.66417590700684,22292.693456795136,True,55,2864.385690801294,44506.514332801824
55,2020-03-17,1705,1662,79.66417590700684,22292.693456795136,True,56,3169.632188118286,44506.514332801824
56,2020-03-18,2051,1993,79.66417590700684,22292.693456795136,True,57,3504.6751059622393,44506.514332801824
57,2020-03-19,2460,2384,79.66417590700684,22292.693456795136,True,58,3871.8225446588576,44506.514332801824
