,Report_Date,China_chongqing_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,6,6,12.328737864894396,288.7155951650426,True,1,35.845422387009,577.4311903300372
1,2020-01-23,9,9,12.328737864894396,288.7155951650426,True,2,44.80069134906685,577.4311903300372
2,2020-01-24,27,27,12.328737864894396,288.7155951650426,True,3,55.76289978945572,577.4311903300372
3,2020-01-25,57,57,12.328737864894396,288.7155951650426,True,4,69.05964911090237,577.4311903300372
4,2020-01-26,75,75,12.328737864894396,288.7155951650426,True,5,85.01034722141998,577.4311903300372
5,2020-01-27,110,110,12.328737864894396,288.7155951650426,True,6,103.89227640489241,577.4311903300372
6,2020-01-28,132,132,12.328737864894396,288.7155951650426,True,7,125.89588331948066,577.4311903300372
7,2020-01-29,147,146,12.328737864894396,288.7155951650426,True,8,151.07294786531844,577.4311903300372
8,2020-01-30,182,181,12.328737864894396,288.7155951650426,True,9,179.2858184116119,577.4311903300372
9,2020-01-31,211,210,12.328737864894396,288.7155951650426,True,10,210.17024788683148,577.4311903300372
10,2020-02-01,247,243,12.328737864894396,288.7155951650426,True,11,243.126140153024,577.4311903300372
11,2020-02-02,300,291,12.328737864894396,288.7155951650426,True,12,277.3471947940341,577.4311903300372
12,2020-02-03,337,326,12.328737864894396,288.7155951650426,True,13,311.8911945774501,577.4311903300372
13,2020-02-04,366,355,12.328737864894396,288.7155951650426,True,14,345.78001976531317,577.4311903300372
14,2020-02-05,389,372,12.328737864894396,288.7155951650426,True,15,378.10787531888957,577.4311903300372
15,2020-02-06,411,385,12.328737864894396,288.7155951650426,True,16,408.1331244937052,577.4311903300372
16,2020-02-07,426,393,12.328737864894396,288.7155951650426,True,17,435.3352276556607,577.4311903300372
17,2020-02-08,428,387,12.328737864894396,288.7155951650426,True,18,459.430289045769,577.4311903300372
18,2020-02-09,468,415,12.328737864894396,288.7155951650426,True,19,480.3507108650697,577.4311903300372
19,2020-02-10,486,418,12.328737864894396,288.7155951650426,True,20,498.2017642387438,577.4311903300372
20,2020-02-11,505,423,12.328737864894396,288.7155951650426,True,21,513.2092400440849,577.4311903300372
21,2020-02-12,518,413,12.328737864894396,288.7155951650426,True,22,525.6693777863215,577.4311903300372
22,2020-02-13,529,397,12.328737864894396,288.7155951650426,True,23,535.9076364130469,577.4311903300372
23,2020-02-14,537,380,12.328737864894396,288.7155951650426,True,24,544.2486446057333,577.4311903300372
24,2020-02-15,544,355,12.328737864894396,288.7155951650426,True,25,550.9968059480525,577.4311903300372
25,2020-02-16,551,339,12.328737864894396,288.7155951650426,True,26,556.4255951007085,577.4311903300372
26,2020-02-17,553,323,12.328737864894396,288.7155951650426,True,27,560.7731883760865,577.4311903300372
27,2020-02-18,555,296,12.328737864894396,288.7155951650426,True,28,564.2422754900675,577.4311903300372
28,2020-02-19,560,281,12.328737864894396,288.7155951650426,True,29,567.0023486681504,577.4311903300372
29,2020-02-20,567,262,12.328737864894396,288.7155951650426,True,30,569.1932483306495,577.4311903300372
30,2020-02-21,572,250,12.328737864894396,288.7155951650426,True,31,570.929160028403,577.4311903300372
31,2020-02-22,573,239,12.328737864894396,288.7155951650426,True,32,572.3025736893914,577.4311903300372
32,2020-02-23,575,234,12.328737864894396,288.7155951650426,True,33,573.3879378193922,577.4311903300372
33,2020-02-24,576,221,12.328737864894396,288.7155951650426,True,34,574.2448862269855,577.4311903300372
34,2020-02-25,576,198,12.328737864894396,288.7155951650426,True,35,574.9210035645349,577.4311903300372
35,2020-02-26,576,186,12.328737864894396,288.7155951650426,True,36,575.4541462238079,577.4311903300372
36,2020-02-27,576,169,12.328737864894396,288.7155951650426,True,37,575.8743604739533,577.4311903300372
37,2020-02-28,576,148,12.328737864894396,288.7155951650426,True,38,576.2054498062907,577.4311903300372
38,2020-02-29,576,132,12.328737864894396,288.7155951650426,True,39,576.4662447104777,577.4311903300372
39,2020-03-01,576,120,12.328737864894396,288.7155951650426,True,40,576.6716246852171,577.4311903300372
40,2020-03-02,576,101,12.328737864894396,288.7155951650426,True,41,576.8333367192075,577.4311903300372
41,2020-03-03,576,80,12.328737864894396,288.7155951650426,True,42,576.9606482453923,577.4311903300372
42,2020-03-04,576,68,12.328737864894396,288.7155951650426,True,43,577.0608664851718,577.4311903300372
43,2020-03-05,576,58,12.328737864894396,288.7155951650426,True,44,577.1397505604941,577.4311903300372
44,2020-03-06,576,57,12.328737864894396,288.7155951650426,True,45,577.2018379206751,577.4311903300372
45,2020-03-07,576,44,12.328737864894396,288.7155951650426,True,46,577.2507025323516,577.4311903300372
46,2020-03-08,576,43,12.328737864894396,288.7155951650426,True,47,577.2891588700136,577.4311903300372
47,2020-03-09,576,28,12.328737864894396,288.7155951650426,True,48,577.3194229443645,577.4311903300372
48,2020-03-10,576,23,12.328737864894396,288.7155951650426,True,49,577.3432393299095,577.4311903300372
49,2020-03-11,576,16,12.328737864894396,288.7155951650426,True,50,577.3619813172438,577.4311903300372
50,2020-03-12,576,6,12.328737864894396,288.7155951650426,True,51,577.3767298428305,577.4311903300372
51,2020-03-13,576,4,12.328737864894396,288.7155951650426,True,52,577.3883356727954,577.4311903300372
52,2020-03-14,576,1,12.328737864894396,288.7155951650426,True,53,577.3974683808874,577.4311903300372
53,2020-03-15,576,0,12.328737864894396,288.7155951650426,True,54,577.4046549172164,577.4311903300372
54,2020-03-16,576,0,12.328737864894396,288.7155951650426,True,55,577.4103099751476,577.4311903300372
55,2020-03-17,576,0,12.328737864894396,288.7155951650426,True,56,577.4147598974977,577.4311903300372
56,2020-03-18,576,0,12.328737864894396,288.7155951650426,True,57,577.418261494707,577.4311903300372
57,2020-03-19,576,0,12.328737864894396,288.7155951650426,True,58,577.4210168567262,577.4311903300372
58,2020-03-20,576,0,12.328737864894396,288.7155951650426,True,59,577.4231850108198,577.4311903300372
59,2020-03-21,576,0,12.328737864894396,288.7155951650426,True,60,577.4248910964808,577.4311903300372
60,2020-03-22,577,1,12.328737864894396,288.7155951650426,True,61,577.4262335859877,577.4311903300372
