,Report_Date,China_chongqing_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
61,2020-03-23,578,2,12.328737864894396,288.7155951650426,True,62,577.4272899667368,577.4311903300372
62,2020-03-24,578,2,12.328737864894396,288.7155951650426,True,63,577.4281212129351,577.4311903300372
63,2020-03-25,578,2,12.328737864894396,288.7155951650426,True,64,577.4287753045222,577.4311903300372
64,2020-03-26,578,2,12.328737864894396,288.7155951650426,True,65,577.4292899962835,577.4311903300372
65,2020-03-27,578,2,12.328737864894396,288.7155951650426,True,66,577.4296949968981,577.4311903300372
66,2020-03-28,578,2,12.328737864894396,288.7155951650426,True,67,577.4300136836434,577.4311903300372
67,2020-03-29,579,3,12.328737864894396,288.7155951650426,True,68,577.4302644516936,577.4311903300372
68,2020-03-30,579,3,12.328737864894396,288.7155951650426,True,69,577.4304617758769,577.4311903300372
69,2020-03-31,579,3,12.328737864894396,288.7155951650426,True,70,577.4306170461631,577.4311903300372
70,2020-04-01,579,3,12.328737864894396,288.7155951650426,True,71,577.4307392250985,577.4311903300372
71,2020-04-02,579,3,12.328737864894396,288.7155951650426,True,72,577.4308353651332,577.4311903300372
72,2020-04-03,579,3,12.328737864894396,288.7155951650426,True,73,577.4309110156985,577.4311903300372
73,2020-04-04,579,3,12.328737864894396,288.7155951650426,True,74,577.4309705435288,577.4311903300372
74,2020-04-05,579,3,12.328737864894396,288.7155951650426,True,75,577.4310173847176,577.4311903300372
75,2020-04-06,579,3,12.328737864894396,288.7155951650426,True,76,577.4310542430553,577.4311903300372
76,2020-04-07,579,3,12.328737864894396,288.7155951650426,True,77,577.4310832460984,577.4311903300372
77,2020-04-08,579,3,12.328737864894396,288.7155951650426,True,78,577.4311060679765,577.4311903300372
78,2020-04-09,579,3,12.328737864894396,288.7155951650426,True,79,577.4311240260269,577.4311903300372
79,2020-04-10,579,3,12.328737864894396,288.7155951650426,True,80,577.4311381568345,577.4311903300372
80,2020-04-11,579,3,12.328737864894396,288.7155951650426,True,81,577.4311492760662,577.4311903300372
81,2020-04-12,579,3,12.328737864894396,288.7155951650426,True,82,577.4311580255528,577.4311903300372
82,2020-04-13,579,3,12.328737864894396,288.7155951650426,True,83,577.4311649103372,577.4311903300372
83,2020-04-14,579,3,12.328737864894396,288.7155951650426,True,84,577.4311703278275,577.4311903300372
84,2020-04-15,579,3,12.328737864894396,288.7155951650426,True,85,577.431174590735,577.4311903300372
85,2020-04-16,579,3,12.328737864894396,288.7155951650426,True,86,577.4311779451261,577.4311903300372
86,2020-04-17,579,3,12.328737864894396,288.7155951650426,True,87,577.431180584625,577.4311903300372
87,2020-04-18,579,3,12.328737864894396,288.7155951650426,True,88,577.4311826615904,577.4311903300372
88,2020-04-19,579,3,12.328737864894396,288.7155951650426,True,89,577.4311842959102,577.4311903300372
89,2020-04-20,579,3,12.328737864894396,288.7155951650426,True,90,577.4311855819215,577.4311903300372
90,2020-04-21,579,3,12.328737864894396,288.7155951650426,True,91,577.4311865938564,577.4311903300372
91,2020-04-22,579,3,12.328737864894396,288.7155951650426,True,92,577.4311873901264,577.4311903300372
92,2020-04-23,579,0,12.328737864894396,288.7155951650426,True,93,577.4311880166944,577.4311903300372
93,2020-04-24,579,0,12.328737864894396,288.7155951650426,True,94,577.4311885097272,577.4311903300372
94,2020-04-25,579,0,12.328737864894396,288.7155951650426,True,95,577.4311888976844,577.4311903300372
95,2020-04-26,579,0,12.328737864894396,288.7155951650426,True,96,577.4311892029594,577.4311903300372
96,2020-04-27,579,0,12.328737864894396,288.7155951650426,True,97,577.4311894431739,577.4311903300372
97,2020-04-28,579,0,12.328737864894396,288.7155951650426,True,98,577.4311896321937,577.4311903300372
98,2020-04-29,579,0,12.328737864894396,288.7155951650426,True,99,577.4311897809292,577.4311903300372
99,2020-04-30,579,0,12.328737864894396,288.7155951650426,True,100,577.4311898979661,577.4311903300372
100,2020-05-01,579,0,12.328737864894396,288.7155951650426,True,101,577.4311899900598,577.4311903300372
101,2020-05-02,579,0,12.328737864894396,288.7155951650426,True,102,577.4311900625264,577.4311903300372
102,2020-05-03,579,0,12.328737864894396,288.7155951650426,True,103,577.4311901195489,577.4311903300372
103,2020-05-04,579,0,12.328737864894396,288.7155951650426,True,104,577.4311901644186,577.4311903300372
104,2020-05-05,579,0,12.328737864894396,288.7155951650426,True,105,577.4311901997257,577.4311903300372
105,2020-05-06,579,0,12.328737864894396,288.7155951650426,True,106,577.4311902275081,577.4311903300372
106,2020-05-07,579,0,12.328737864894396,288.7155951650426,True,107,577.4311902493695,577.4311903300372
107,2020-05-08,579,0,12.328737864894396,288.7155951650426,True,108,577.4311902665717,577.4311903300372
108,2020-05-09,579,0,12.328737864894396,288.7155951650426,True,109,577.4311902801077,577.4311903300372
109,2020-05-10,579,0,12.328737864894396,288.7155951650426,True,110,577.431190290759,577.4311903300372
110,2020-05-11,579,0,12.328737864894396,288.7155951650426,True,111,577.4311902991401,577.4311903300372
111,2020-05-12,579,0,12.328737864894396,288.7155951650426,True,112,577.4311903057352,577.4311903300372
112,2020-05-13,579,0,12.328737864894396,288.7155951650426,True,113,577.4311903109246,577.4311903300372
113,2020-05-14,579,0,12.328737864894396,288.7155951650426,True,114,577.4311903150083,577.4311903300372
114,2020-05-15,579,0,12.328737864894396,288.7155951650426,True,115,577.4311903182214,577.4311903300372
115,2020-05-16,579,0,12.328737864894396,288.7155951650426,True,116,577.4311903207498,577.4311903300372
116,2020-05-17,579,0,12.328737864894396,288.7155951650426,True,117,577.4311903227393,577.4311903300372
117,2020-05-18,579,0,12.328737864894396,288.7155951650426,True,118,577.4311903243049,577.4311903300372
118,2020-05-19,579,0,12.328737864894396,288.7155951650426,True,119,577.4311903255368,577.4311903300372
119,2020-05-20,579,0,12.328737864894396,288.7155951650426,True,120,577.4311903265061,577.4311903300372
120,2020-05-21,579,0,12.328737864894396,288.7155951650426,True,121,577.4311903272688,577.4311903300372
121,2020-05-22,579,0,12.328737864894396,288.7155951650426,True,122,577.431190327869,577.4311903300372
122,2020-05-23,579,0,12.328737864894396,288.7155951650426,True,123,577.4311903283414,577.4311903300372
123,2020-05-24,579,0,12.328737864894396,288.7155951650426,True,124,577.4311903287129,577.4311903300372
124,2020-05-25,579,0,12.328737864894396,288.7155951650426,True,125,577.4311903290054,577.4311903300372
125,2020-05-26,579,0,12.328737864894396,288.7155951650426,True,126,577.4311903292355,577.4311903300372
126,2020-05-27,579,0,12.328737864894396,288.7155951650426,True,127,577.4311903294166,577.4311903300372
127,2020-05-28,579,0,12.328737864894396,288.7155951650426,True,128,577.4311903295591,577.4311903300372
