,Report_Date,Congo (Kinshasa)_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,14,78.43113528015206,186.61985741190426,False,58,20.97923134130187,373.2396842565714
58,2020-03-20,18,78.43113528015206,186.61985741190426,False,59,23.886449538638157,373.2396842565714
59,2020-03-21,23,78.43113528015206,186.61985741190426,False,60,27.165470030745748,373.2396842565714
60,2020-03-22,30,78.43113528015206,186.61985741190426,False,61,30.85486383576676,373.2396842565714
61,2020-03-23,36,78.43113528015206,186.61985741190426,False,62,34.99465417861791,373.2396842565714
62,2020-03-24,45,78.43113528015206,186.61985741190426,False,63,39.62559655473072,373.2396842565714
63,2020-03-25,48,78.43113528015206,186.61985741190426,False,64,44.788218319568685,373.2396842565714
64,2020-03-26,51,78.43113528015206,186.61985741190426,False,65,50.52159384589576,373.2396842565714
65,2020-03-27,51,78.43113528015206,186.61985741190426,False,66,56.86184397710906,373.2396842565714
66,2020-03-28,65,78.43113528015206,186.61985741190426,False,67,63.840368056071604,373.2396842565714
67,2020-03-29,65,78.43113528015206,186.61985741190426,False,68,71.48184379737175,373.2396842565714
68,2020-03-30,81,78.43113528015206,186.61985741190426,False,69,79.80206423084572,373.2396842565714
69,2020-03-31,98,78.43113528015206,186.61985741190426,False,70,88.80571986465901,373.2396842565714
70,2020-04-01,109,78.43113528015206,186.61985741190426,False,71,98.484274135608,373.2396842565714
