,Report_Date,Congo (Kinshasa)_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,78.43113528015206,186.61985741190426,False,1,0.008494114187505033,373.2396842565714
1,2020-01-23,0,78.43113528015206,186.61985741190426,False,2,0.009751642716483084,373.2396842565714
2,2020-01-24,0,78.43113528015206,186.61985741190426,False,3,0.011195339047272504,373.2396842565714
3,2020-01-25,0,78.43113528015206,186.61985741190426,False,4,0.012852762170704173,373.2396842565714
4,2020-01-26,0,78.43113528015206,186.61985741190426,False,5,0.014755550154824673,373.2396842565714
5,2020-01-27,0,78.43113528015206,186.61985741190426,False,6,0.016940023720029732,373.2396842565714
6,2020-01-28,0,78.43113528015206,186.61985741190426,False,7,0.019447879067220706,373.2396842565714
7,2020-01-29,0,78.43113528015206,186.61985741190426,False,8,0.022326983139013303,373.2396842565714
8,2020-01-30,0,78.43113528015206,186.61985741190426,False,9,0.02563228643454832,373.2396842565714
9,2020-01-31,0,78.43113528015206,186.61985741190426,False,10,0.02942687072284001,373.2396842565714
10,2020-02-01,0,78.43113528015206,186.61985741190426,False,11,0.03378315154878672,373.2396842565714
11,2020-02-02,0,78.43113528015206,186.61985741190426,False,12,0.038784258346612734,373.2396842565714
12,2020-02-03,0,78.43113528015206,186.61985741190426,False,13,0.04452561832071392,373.2396842565714
13,2020-02-04,0,78.43113528015206,186.61985741190426,False,14,0.05111677408400931,373.2396842565714
14,2020-02-05,0,78.43113528015206,186.61985741190426,False,15,0.058683469427472455,373.2396842565714
15,2020-02-06,0,78.43113528015206,186.61985741190426,False,16,0.06737004260914885,373.2396842565714
16,2020-02-07,0,78.43113528015206,186.61985741190426,False,17,0.0773421722844051,373.2396842565714
17,2020-02-08,0,78.43113528015206,186.61985741190426,False,18,0.08879002775034006,373.2396842565714
18,2020-02-09,0,78.43113528015206,186.61985741190426,False,19,0.10193188265743493,373.2396842565714
19,2020-02-10,0,78.43113528015206,186.61985741190426,False,20,0.11701825987520512,373.2396842565714
20,2020-02-11,0,78.43113528015206,186.61985741190426,False,21,0.13433668492477271,373.2396842565714
21,2020-02-12,0,78.43113528015206,186.61985741190426,False,22,0.15421713646402177,373.2396842565714
22,2020-02-13,0,78.43113528015206,186.61985741190426,False,23,0.1770382949002235,373.2396842565714
23,2020-02-14,0,78.43113528015206,186.61985741190426,False,24,0.20323470449648917,373.2396842565714
24,2020-02-15,0,78.43113528015206,186.61985741190426,False,25,0.2333049805332477,373.2396842565714
25,2020-02-16,0,78.43113528015206,186.61985741190426,False,26,0.2678212113991164,373.2396842565714
26,2020-02-17,0,78.43113528015206,186.61985741190426,False,27,0.3074397261429426,373.2396842565714
27,2020-02-18,0,78.43113528015206,186.61985741190426,False,28,0.35291342125248193,373.2396842565714
28,2020-02-19,0,78.43113528015206,186.61985741190426,False,29,0.4051058664658211,373.2396842565714
29,2020-02-20,0,78.43113528015206,186.61985741190426,False,30,0.4650074384874346,373.2396842565714
30,2020-02-21,0,78.43113528015206,186.61985741190426,False,31,0.5337537637613736,373.2396842565714
31,2020-02-22,0,78.43113528015206,186.61985741190426,False,32,0.6126467870881558,373.2396842565714
32,2020-02-23,0,78.43113528015206,186.61985741190426,False,33,0.7031788219157896,373.2396842565714
33,2020-02-24,0,78.43113528015206,186.61985741190426,False,34,0.8070599805204262,373.2396842565714
34,2020-02-25,0,78.43113528015206,186.61985741190426,False,35,0.9262494277674208,373.2396842565714
35,2020-02-26,0,78.43113528015206,186.61985741190426,False,36,1.0629909501989752,373.2396842565714
36,2020-02-27,0,78.43113528015206,186.61985741190426,False,37,1.2198533819593425,373.2396842565714
37,2020-02-28,0,78.43113528015206,186.61985741190426,False,38,1.399776479179149,373.2396842565714
38,2020-02-29,0,78.43113528015206,186.61985741190426,False,39,1.6061228828677538,373.2396842565714
39,2020-03-01,0,78.43113528015206,186.61985741190426,False,40,1.8427368541922504,373.2396842565714
40,2020-03-02,0,78.43113528015206,186.61985741190426,False,41,2.1140105011737105,373.2396842565714
41,2020-03-03,0,78.43113528015206,186.61985741190426,False,42,2.4249582367092963,373.2396842565714
42,2020-03-04,0,78.43113528015206,186.61985741190426,False,43,2.78130020688788,373.2396842565714
43,2020-03-05,0,78.43113528015206,186.61985741190426,False,44,3.189555395787591,373.2396842565714
44,2020-03-06,0,78.43113528015206,186.61985741190426,False,45,3.657145035211516,373.2396842565714
45,2020-03-07,0,78.43113528015206,186.61985741190426,False,46,4.192506808205596,373.2396842565714
46,2020-03-08,0,78.43113528015206,186.61985741190426,False,47,4.805220112182068,373.2396842565714
47,2020-03-09,0,78.43113528015206,186.61985741190426,False,48,5.506142314094097,373.2396842565714
48,2020-03-10,0,78.43113528015206,186.61985741190426,False,49,6.30755545324348,373.2396842565714
49,2020-03-11,1,78.43113528015206,186.61985741190426,False,50,7.2233221870902415,373.2396842565714
50,2020-03-12,1,78.43113528015206,186.61985741190426,False,51,8.269048885160746,373.2396842565714
51,2020-03-13,2,78.43113528015206,186.61985741190426,False,52,9.462252602949075,373.2396842565714
52,2020-03-14,2,78.43113528015206,186.61985741190426,False,53,10.822527154543074,373.2396842565714
53,2020-03-15,2,78.43113528015206,186.61985741190426,False,54,12.371701592414858,373.2396842565714
54,2020-03-16,2,78.43113528015206,186.61985741190426,False,55,14.133982045070843,373.2396842565714
55,2020-03-17,3,78.43113528015206,186.61985741190426,False,56,16.13606502565336,373.2396842565714
56,2020-03-18,4,78.43113528015206,186.61985741190426,False,57,18.40720700908512,373.2396842565714
