,Report_Date,Costa Rica_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.7300799587744,313.5550951530572,True,1,0.007414588860194512,612.4225771109103
1,2020-01-23,0,68.7300799587744,313.5550951530572,True,2,0.008766666575576952,612.4225771109103
2,2020-01-24,0,68.7300799587744,313.5550951530572,True,3,0.010365296590251068,612.4225771109103
3,2020-01-25,0,68.7300799587744,313.5550951530572,True,4,0.012255436263399406,612.4225771109103
4,2020-01-26,0,68.7300799587744,313.5550951530572,True,5,0.014490240018378387,612.4225771109103
5,2020-01-27,0,68.7300799587744,313.5550951530572,True,6,0.017132553654560425,612.4225771109103
6,2020-01-28,0,68.7300799587744,313.5550951530572,True,7,0.020256680967650605,612.4225771109103
7,2020-01-29,0,68.7300799587744,313.5550951530572,True,8,0.023950472260576925,612.4225771109103
8,2020-01-30,0,68.7300799587744,313.5550951530572,True,9,0.02831779333879972,612.4225771109103
9,2020-01-31,0,68.7300799587744,313.5550951530572,True,10,0.033481444227104314,612.4225771109103
10,2020-02-01,0,68.7300799587744,313.5550951530572,True,11,0.039586609412417754,612.4225771109103
11,2020-02-02,0,68.7300799587744,313.5550951530572,True,12,0.04680493625322695,612.4225771109103
12,2020-02-03,0,68.7300799587744,313.5550951530572,True,13,0.05533935570523766,612.4225771109103
13,2020-02-04,0,68.7300799587744,313.5550951530572,True,14,0.06542978016956036,612.4225771109103
14,2020-02-05,0,68.7300799587744,313.5550951530572,True,15,0.07735983762992463,612.4225771109103
15,2020-02-06,0,68.7300799587744,313.5550951530572,True,16,0.09146482995943528,612.4225771109103
16,2020-02-07,0,68.7300799587744,313.5550951530572,True,17,0.10814113710402232,612.4225771109103
17,2020-02-08,0,68.7300799587744,313.5550951530572,True,18,0.12785732867228752,612.4225771109103
18,2020-02-09,0,68.7300799587744,313.5550951530572,True,19,0.151167291304851,612.4225771109103
19,2020-02-10,0,68.7300799587744,313.5550951530572,True,20,0.17872573524529903,612.4225771109103
20,2020-02-11,0,68.7300799587744,313.5550951530572,True,21,0.21130650815243715,612.4225771109103
21,2020-02-12,0,68.7300799587744,313.5550951530572,True,22,0.24982421993867646,612.4225771109103
22,2020-02-13,0,68.7300799587744,313.5550951530572,True,23,0.2953597710618593,612.4225771109103
23,2020-02-14,0,68.7300799587744,313.5550951530572,True,24,0.34919048022814475,612.4225771109103
24,2020-02-15,0,68.7300799587744,313.5550951530572,True,25,0.4128256280931677,612.4225771109103
25,2020-02-16,0,68.7300799587744,313.5550951530572,True,26,0.4880483736949031,612.4225771109103
26,2020-02-17,0,68.7300799587744,313.5550951530572,True,27,0.5769651625987492,612.4225771109103
27,2020-02-18,0,68.7300799587744,313.5550951530572,True,28,0.6820639327590307,612.4225771109103
28,2020-02-19,0,68.7300799587744,313.5550951530572,True,29,0.8062826385394566,612.4225771109103
29,2020-02-20,0,68.7300799587744,313.5550951530572,True,30,0.9530898575811515,612.4225771109103
30,2020-02-21,0,68.7300799587744,313.5550951530572,True,31,1.1265795210894038,612.4225771109103
31,2020-02-22,0,68.7300799587744,313.5550951530572,True,32,1.3315821164157873,612.4225771109103
32,2020-02-23,0,68.7300799587744,313.5550951530572,True,33,1.5737950505863443,612.4225771109103
33,2020-02-24,0,68.7300799587744,313.5550951530572,True,34,1.8599352309685029,612.4225771109103
34,2020-02-25,0,68.7300799587744,313.5550951530572,True,35,2.197917306711663,612.4225771109103
35,2020-02-26,0,68.7300799587744,313.5550951530572,True,36,2.5970614079212093,612.4225771109103
36,2020-02-27,0,68.7300799587744,313.5550951530572,True,37,3.0683345958394304,612.4225771109103
37,2020-02-28,0,68.7300799587744,313.5550951530572,True,38,3.6246305611477436,612.4225771109103
38,2020-02-29,0,68.7300799587744,313.5550951530572,True,39,4.281092325920939,612.4225771109103
39,2020-03-01,0,68.7300799587744,313.5550951530572,True,40,5.055482740883698,612.4225771109103
40,2020-03-02,0,68.7300799587744,313.5550951530572,True,41,5.968607314436998,612.4225771109103
41,2020-03-03,0,68.7300799587744,313.5550951530572,True,42,7.044793212134125,612.4225771109103
42,2020-03-04,0,68.7300799587744,313.5550951530572,True,43,8.312426919230532,612.4225771109103
43,2020-03-05,0,68.7300799587744,313.5550951530572,True,44,9.804550791154824,612.4225771109103
44,2020-03-06,1,68.7300799587744,313.5550951530572,True,45,11.559515172589364,612.4225771109103
